Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:48:55,1490197735000
Duration,  1 day, 3 hours, 48 minutes, 55 seconds,100135000
Slew time, 0 day, 0 hour, 42 minutes, 19 seconds,2539000.0
Integration time, 0 day, 15 hours, 0 minute, 36 seconds,5.4036E7
Waiting time, 0 day, 12 hours, 6 minutes, 0 second,4.356E7
Relative slew time, 0.025355769710890298
Relative integration time, 0.5396314974784041
Relative waiting time, 0.43501273281070557
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:27:29,B0943+10,2.5574600417681577,0.1721815788460517,42.0,1368,1607.0,1607.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:27:29,21/03/2017 13:35:24,B1257+12,3.4036521463529263,0.22134882305275824,311.0,352,164.0,164.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1422663317176873
21/03/2017 13:35:24,21/03/2017 13:45:38,J1238+21,3.30908390247795,0.3816991440880299,12.0,751,602.0,602.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:45:38,21/03/2017 13:48:40,J0843+0719,2.2844774567868544,0.12764077633515641,73.0,284,109.0,109.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.606019379499189
21/03/2017 13:48:40,21/03/2017 14:02:40,J0635+0533,1.724821633283396,0.09691910299060733,29.0,1039,811.0,811.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:02:40,21/03/2017 14:11:12,B1541+09,4.117437145251993,0.16559460443815205,219.0,512,293.0,293.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7452678445445264
21/03/2017 14:11:12,21/03/2017 14:39:55,B0823+26,2.2115782027959106,0.4646638064138933,108.0,1410,1615.0,1615.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:39:55,21/03/2017 14:52:24,J1342+2822D,3.5873933777804443,0.4952662640742576,292.0,374,457.0,457.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:52:24,21/03/2017 14:59:22,J0943+41,2.543817384781735,0.7182029871956666,53.0,450,365.0,365.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:22,21/03/2017 15:12:38,J1645+1012,4.38764247506106,0.17810134781787157,264.0,532,532.0,532.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:12:38,21/03/2017 15:18:05,J1627+1419,4.3079641222725975,0.24997332767584454,8.0,311,319.0,319.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:18:05,21/03/2017 15:49:15,J1649+2533,4.4058095345230175,0.4459655608422289,10.0,2597,incomplete,1860.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:15,21/03/2017 15:56:40,B1639+36A,4.370659330608373,0.6362473675842965,13.0,842,432.0,432.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
