Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 17:43:08,1490200988000
Duration,  1 day, 4 hours, 43 minutes, 8 seconds,103388000
Slew time, 0 day, 0 hour, 36 minutes, 43 seconds,2203000.0
Integration time, 0 day, 14 hours, 39 minutes, 25 seconds,5.2765E7
Waiting time, 0 day, 13 hours, 27 minutes, 0 second,4.842E7
Relative slew time, 0.021308082175881145
Relative integration time, 0.5103590358648973
Relative waiting time, 0.46833288195922157
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:47,J0533+0402,1.4548642856722165,0.07039737056551017,71.0,170,216.0,216.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:47,21/03/2017 13:13:20,B1257+12,3.4036521463529263,0.22134882305275824,236.0,352,277.0,277.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2685610388520776
21/03/2017 13:13:20,21/03/2017 13:17:47,J1518+0204E,4.008003183100644,0.03635132980959301,30.0,402,237.0,237.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6985469759471439
21/03/2017 13:17:47,21/03/2017 13:38:24,J1142+0119,3.0630528372500483,0.022980168484592004,44.0,1106,1193.0,1193.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:38:24,21/03/2017 13:44:38,J0740+41,2.011491962923465,0.7167485461523381,68.0,473,306.0,306.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.546502195530217
21/03/2017 13:44:38,21/03/2017 14:10:53,J1238+21,3.30908390247795,0.3816991440880299,296.0,751,1279.0,1279.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:10:53,21/03/2017 14:55:04,B0940+16,2.5460063185519446,0.2884495958497406,56.0,3073,2595.0,2595.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:55:04,21/03/2017 15:13:00,J0943+41,2.543817384781735,0.7182029871956666,359.0,450,717.0,717.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:13:00,21/03/2017 15:22:56,J1342+2822D,3.5873933777804443,0.4952662640742576,313.0,374,283.0,283.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:22:56,21/03/2017 16:25:01,J1612+2008,4.242854105472584,0.351481822415939,32.0,2597,3693.0,3693.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
