Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 19:39:08,1490207948000
Duration,  1 day, 6 hours, 39 minutes, 8 seconds,110348000
Slew time, 0 day, 0 hour, 20 minutes, 19 seconds,1219000.0
Integration time, 0 day, 18 hours, 17 minutes, 49 seconds,6.5869E7
Waiting time, 0 day, 12 hours, 1 minute, 0 second,4.326E7
Relative slew time, 0.011046869902490304
Relative integration time, 0.5969206510312829
Relative waiting time, 0.39203247906622685
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:27,J0605+37,1.5926129424448257,0.6457718232379019,87.0,284,240.0,240.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:05:27,21/03/2017 14:21:16,J0557+1550,1.5599934063134906,0.2763731100675954,17.0,4182,incomplete,4532.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:16,21/03/2017 14:31:11,J1313+0931,3.4617878492785863,0.1663686628095484,261.0,334,334.0,334.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:31:11,21/03/2017 14:59:45,B0823+26,2.2115782027959106,0.4646638064138933,80.0,1410,1634.0,1634.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:45,21/03/2017 15:04:15,J0843+0719,2.2844774567868544,0.12764077633515641,16.0,284,554.0,254.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.1173891740025035
21/03/2017 15:04:15,21/03/2017 15:15:03,J1738+0333,4.620320378054876,0.06201187154863972,218.0,613,incomplete,430.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 86 [+]
21/03/2017 15:15:03,21/03/2017 15:16:44,J1736+05,4.611596216082018,0.10122909661567112,3.0,186,98.0,98.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:16:44,21/03/2017 15:23:10,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,386.0,386.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:23:10,21/03/2017 15:24:12,J1738+0333,4.620320378054876,0.06201187154863972,2.0,613,incomplete,60.0,0,5400,2,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 50 [+]
21/03/2017 15:24:12,21/03/2017 15:38:42,J1802+03,4.724315396939985,0.06341362948912731,4.0,644,866.0,866.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
