Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:04:32,1490195072000
Duration,  1 day, 3 hours, 4 minutes, 32 seconds,97472000
Slew time, 0 day, 0 hour, 15 minutes, 11 seconds,911000.0
Integration time, 0 day, 1 hour, 27 minutes, 21 seconds,5241000.0
Waiting time, 1 day, 1 hour, 22 minutes, 0 second,9.132E7
Relative slew time, 0.009346273801707158
Relative integration time, 0.053769287590282336
Relative waiting time, 0.9368844386080105
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:00,J0848+16,2.3076888813973357,0.29176087329171874,51.0,547,369.0,369.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.483339516865155
21/03/2017 13:07:00,21/03/2017 13:09:54,J0533+0402,1.4548642856722165,0.07039737056551017,54.0,170,120.0,120.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:09:54,21/03/2017 13:16:22,J1518+0204E,4.008003183100644,0.03635132980959301,204.0,402,184.0,184.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.181592407158954
21/03/2017 13:16:22,21/03/2017 13:24:01,J1342+2822D,3.5873933777804443,0.4952662640742576,36.0,374,423.0,423.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:24:01,21/03/2017 13:29:12,J0843+0719,2.2844774567868544,0.12764077633515641,78.0,284,533.0,233.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.219880540250806
21/03/2017 13:29:12,21/03/2017 13:36:15,J0557+1550,1.5599934063134906,0.2763731100675954,33.0,4182,4737.0,390.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:36:15,21/03/2017 13:36:33,B0540+23,1.4973223286090653,0.40988572669405726,8.0,844,incomplete,10.0,16440,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 18:37:33,21/03/2017 19:15:56,J1800+50,4.716752303514675,0.8808094958398051,89.0,477,594.0,594.0,1620,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:48:56,21/03/2017 18:56:28,B1753+52,4.687875831040429,0.9079217313284935,89.0,455,363.0,363.0,31500,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2522272741311913Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:44:28,22/03/2017 03:52:01,J1940+2246,5.1487212933832724,0.39735329303737565,89.0,165,184.0,184.0,180,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:49:01,22/03/2017 03:50:30,B1911+11,5.036010839171565,0.19840369641622319,89.0,844,incomplete,0.0,0,600,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:50:30,22/03/2017 03:50:31,J1911+10,5.022184922613683,0.17453292519943295,1.0,1293,incomplete,0.0,0,600,3,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:50:31,22/03/2017 04:11:48,J1907+0919,5.0057737371012845,0.1627039561940414,1.0,1244,1276.0,1276.0,60,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.Waited for more observables to rise above the horizon. 
22/03/2017 04:14:48,22/03/2017 04:36:32,J1911+0101B,5.0230992206145455,0.017988720749360667,89.0,5293,2839.0,1095.0,41520,5400,5,0,2,0,Completed: Nominal time; scintillation good.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
