Start time,  21/03/2017 13:00:00,1490054400000
End time,  26/03/2017 08:26:51,1490470011000
Duration,  4 days, 19 hours, 26 minutes, 51 seconds,415611000
Slew time, 0 day, 6 hours, 30 minutes, 13 seconds,2.3413E7
Integration time, 3 days, 2 hours, 16 minutes, 38 seconds,2.67398E8
Waiting time, 1 day, 10 hours, 40 minutes, 0 second,1.248E8
Relative slew time, 0.05633392763906634
Relative integration time, 0.6433852809478093
Relative waiting time, 0.3002807914131243
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:32,J1933+0758,5.119589348339765,0.1390785491812607,51.0,104,41.0,41.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.51843863615394
21/03/2017 13:01:32,21/03/2017 13:05:27,J1845+0623,4.909363203662161,0.11168943659929047,12.0,402,223.0,223.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8000933708668425
21/03/2017 13:05:27,21/03/2017 13:13:02,J1839+15,4.882558582454136,0.2617993877991494,7.0,327,448.0,448.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:13:02,21/03/2017 13:17:53,J1736+05,4.611596216082018,0.10122909661567112,19.0,186,272.0,272.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:17:53,21/03/2017 13:29:05,J1843+2024,4.901915738299797,0.356311875676729,21.0,364,651.0,651.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:29:05,21/03/2017 13:32:27,J1821+1715,4.805000731984796,0.301297449287352,8.0,194,194.0,194.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:32:27,21/03/2017 13:39:11,J0241+16,0.7058402383273735,0.28041623315375563,239.0,165,165.0,165.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:11,21/03/2017 13:41:02,J0137+1654,0.4249789462143593,0.2951647501467888,12.0,104,99.0,99.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0463617957995037
21/03/2017 13:41:02,21/03/2017 13:42:55,B0045+33,0.21191060557193486,0.5969413892765495,20.0,133,93.0,93.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4365354182565468
21/03/2017 13:42:55,21/03/2017 13:52:40,J2205+1444,5.7826573844649305,0.25729692314268515,37.0,548,548.0,548.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:52:40,21/03/2017 13:56:26,B1925+22,5.092585686874961,0.39414043277266275,38.0,354,188.0,188.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8818574080336337
21/03/2017 13:56:26,21/03/2017 14:04:24,J1929+2121,5.101033007732561,0.372737751043665,1.0,517,477.0,477.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0827502650978507
21/03/2017 14:04:24,21/03/2017 14:16:35,J1739+0612,4.622065719044209,0.10834810070908354,30.0,366,701.0,701.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:16:35,21/03/2017 14:20:46,J1822+0705,4.809723083886327,0.12371960328234248,5.0,352,246.0,246.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4300890934283004
21/03/2017 14:20:46,21/03/2017 14:21:58,J1828+0625,4.836600427146518,0.11199438440470835,0.0,135,72.0,72.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.867325950279844
21/03/2017 14:21:58,21/03/2017 14:31:07,B2000+40,5.247916354199848,0.7129374742865041,320.0,326,229.0,229.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4220543460528092
21/03/2017 14:31:07,21/03/2017 14:37:35,J1938+2012,5.1399946471233005,0.35255650890285456,19.0,477,369.0,369.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2943661953098162
21/03/2017 14:37:35,21/03/2017 14:46:08,J1910+0225,5.01857492722209,0.04229320628527147,19.0,575,494.0,494.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1640207789925074
21/03/2017 14:46:08,21/03/2017 14:49:24,J1913+0617,5.0309115688736545,0.10966485466697704,3.0,399,193.0,193.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0714640836862213
21/03/2017 14:49:24,21/03/2017 14:50:52,J1848+0351,4.9249002701075195,0.0673682546859378,6.0,189,82.0,82.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.305425849485597
21/03/2017 14:50:52,21/03/2017 15:02:19,J1851+0232,4.934918460013967,0.04421500771718968,0.0,432,687.0,687.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:19,21/03/2017 15:04:36,J1807+04,4.744750293598751,0.07126761112310179,12.0,165,incomplete,125.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:04:36,21/03/2017 15:12:13,J1848+0647,4.925901652765852,0.11854518686386041,7.0,450,450.0,450.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:12:13,21/03/2017 15:12:38,J1853+0853,4.945250081965251,0.15512583354461823,1.0,47,24.0,24.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9978855448839166
21/03/2017 15:12:38,21/03/2017 15:18:51,J1911+1347,5.026199521686915,0.24073137780235834,6.0,261,367.0,367.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:18:51,21/03/2017 15:23:12,J1853+0545,4.947892874063031,0.10062434002985507,10.0,422,251.0,251.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6845980467122794
21/03/2017 15:23:12,21/03/2017 15:28:13,J1910+1027,5.017821599483698,0.18238690683340741,5.0,427,296.0,296.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:28:13,21/03/2017 15:34:46,J1901+1306,4.982098345797981,0.22887229701923306,4.0,407,389.0,389.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0469640365170256
21/03/2017 15:34:46,21/03/2017 15:34:54,B1920+21,5.074074361218049,0.3696315013074281,8.0,240,incomplete,0.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:34:54,21/03/2017 15:48:35,J1907+0602,5.008712435229331,0.10538346504909872,14.0,545,807.0,807.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:48:35,21/03/2017 15:53:44,J1937+1505,5.136817420664149,0.2633459434418889,9.0,202,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:53:44,21/03/2017 15:56:20,J1909+0749,5.014054597181476,0.13658171024217847,10.0,402,incomplete,146.0,0,600,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:56:20,21/03/2017 16:03:35,J1906+0414,5.004571132524609,0.07402833414881194,3.0,477,incomplete,432.0,0,1800,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:03:35,21/03/2017 16:03:37,J1904+0451,4.995960245227275,0.08491488838390511,2.0,211,incomplete,0.0,0,600,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:03:37,21/03/2017 16:03:39,J1902+0248,4.986570024785696,0.04914071471726257,2.0,273,incomplete,0.0,0,1800,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:03:39,21/03/2017 16:10:34,B1923+04,5.089414278179983,0.07898390567164117,4.0,202,411.0,411.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:10:34,21/03/2017 16:20:27,J2017+0603,5.311815405568848,0.1056194170803032,8.0,518,585.0,585.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:20:27,21/03/2017 16:23:12,J1919+0134,5.06026364356907,0.027617411344404718,13.0,240,incomplete,152.0,0,1800,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:23:12,21/03/2017 16:30:09,J2007+0809,5.267512765597136,0.142404322552304,11.0,284,406.0,406.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:30:09,21/03/2017 16:30:19,J2017+2043,5.31226867993834,0.36172869893576587,10.0,456,incomplete,0.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:30:19,21/03/2017 16:30:31,J1947+10,5.181882549171165,0.1873320063807247,12.0,204,incomplete,0.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:30:31,21/03/2017 16:38:07,J0102+4839,0.2748893571891069,0.8377580409572782,285.0,255,171.0,171.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:38:07,21/03/2017 16:50:03,B0052+51,0.24328275343242856,0.8951840760405984,362.0,354,354.0,354.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:50:03,21/03/2017 17:04:35,J2139+2242,5.669912969054862,0.3963933619487788,49.0,545,823.0,823.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:04:35,21/03/2017 17:10:43,B2127+11E,5.628554992601135,0.21239023174665653,11.0,543,357.0,357.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.519383691033399
21/03/2017 17:10:43,21/03/2017 17:22:06,J0006+1834,0.02652900463031381,0.3243355045254685,325.0,524,358.0,358.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.465006867639466
21/03/2017 17:22:06,21/03/2017 17:35:47,J0621+0336,1.6632421266719581,0.06305254025943692,256.0,427,565.0,565.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:35:47,21/03/2017 17:36:40,J0623+0340,1.6745531692218207,0.0640283732367742,2.0,82,51.0,51.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6030516593317017
21/03/2017 17:36:40,21/03/2017 17:45:12,J0625+10,1.6831518973920316,0.17918713653808452,5.0,402,507.0,507.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:45:12,21/03/2017 17:47:23,B0523+11,1.4221850534626992,0.19644204329971776,13.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:47:23,21/03/2017 17:50:35,J0533+0402,1.4548642856722165,0.07039737056551017,6.0,170,186.0,186.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:50:35,21/03/2017 17:56:53,J0453+1559,1.2817562530918758,0.27906508796776525,18.0,455,360.0,360.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.265364189910073
21/03/2017 17:56:53,21/03/2017 18:01:24,B0331+45,0.9393250842215719,0.8016562932307203,29.0,545,242.0,242.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.256135336277931
21/03/2017 18:01:24,21/03/2017 18:19:56,J0517+22,1.3839006527271704,0.38862664677740405,28.0,477,1084.0,1084.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:19:56,21/03/2017 18:36:09,B0301+19,0.805259646674883,0.341170174788316,38.0,628,935.0,935.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:36:09,21/03/2017 18:41:01,J2215+1538,5.82792002606563,0.27302224274041786,68.0,389,incomplete,224.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
