Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 04:00:07,1490281207000
Duration,  2 days, 15 hours, 0 minute, 7 seconds,226807000
Slew time, 0 day, 1 hour, 5 minutes, 57 seconds,3957000.0
Integration time, 1 day, 2 hours, 59 minutes, 10 seconds,9.715E7
Waiting time, 1 day, 10 hours, 55 minutes, 0 second,1.257E8
Relative slew time, 0.017446551473279042
Relative integration time, 0.4283377497167195
Relative waiting time, 0.5542156988100014
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:35,J1933+0758,5.119589348339765,0.1390785491812607,51.0,104,104.0,104.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:02:35,21/03/2017 13:06:48,J1913+0617,5.0309115688736545,0.10966485466697704,6.0,399,247.0,247.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6131794793961556
21/03/2017 13:06:48,21/03/2017 13:13:17,J1903+0601,4.98879633769072,0.10517547997990273,3.0,472,386.0,386.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2233040975363423
21/03/2017 13:13:17,21/03/2017 13:16:13,J1907+0534,5.006428962791304,0.09741361294533905,0.0,450,176.0,176.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.552585845237669
21/03/2017 13:16:13,21/03/2017 13:25:50,J1910+0225,5.01857492722209,0.04229320628527147,2.0,575,575.0,575.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:25:50,21/03/2017 13:29:50,J1919+0134,5.06026364356907,0.027617411344404718,0.0,240,240.0,240.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:29:50,21/03/2017 13:31:52,J1736+05,4.611596216082018,0.10122909661567112,23.0,186,99.0,99.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:31:52,21/03/2017 13:52:28,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,1236.0,1236.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:52:28,21/03/2017 13:59:21,J1946+3417,5.176728869688264,0.5984282013293657,321.0,127,92.0,92.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:59:21,21/03/2017 14:01:58,J1931+1952,5.113513929935625,0.34679449830286774,13.0,257,144.0,144.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7891259316585173
21/03/2017 14:01:58,21/03/2017 14:08:43,J1843+2024,4.901915738299797,0.356311875676729,8.0,364,397.0,397.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:08:43,21/03/2017 14:14:41,J1839+15,4.882558582454136,0.2617993877991494,5.0,327,353.0,353.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:14:41,21/03/2017 14:18:43,B1842+14,4.908367246068921,0.2601225142389278,0.0,231,242.0,242.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:18:43,21/03/2017 14:23:58,J1842+1332,4.897827304527,0.23620849764178256,2.0,450,313.0,313.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4370303937353655
21/03/2017 14:23:58,21/03/2017 14:28:33,J1901+1306,4.982098345797981,0.22887229701923306,2.0,407,273.0,273.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4912714411480261
21/03/2017 14:28:33,21/03/2017 14:34:36,J1822+0705,4.809723083886327,0.12371960328234248,11.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:34:36,21/03/2017 14:39:36,J1828+0625,4.836600427146518,0.11199438440470835,0.0,135,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:39:36,21/03/2017 14:45:27,J1822+1120,4.809443831206008,0.19807644718147424,5.0,346,346.0,346.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:45:27,21/03/2017 14:50:31,J1821+1715,4.805000731984796,0.301297449287352,4.0,194,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:50:31,21/03/2017 14:52:40,J1848+0351,4.9249002701075195,0.0673682546859378,12.0,189,117.0,117.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.61172111288137
21/03/2017 14:52:40,21/03/2017 14:53:39,J1807+04,4.744750293598751,0.07126761112310179,9.0,165,incomplete,50.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-2 (PRN 31)
21/03/2017 14:53:39,21/03/2017 14:59:25,J1851+0232,4.934918460013967,0.04421500771718968,9.0,432,337.0,337.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:59:25,21/03/2017 15:01:45,J1807+04,4.744750293598751,0.07126761112310179,11.0,165,179.0,129.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:01:45,21/03/2017 15:06:04,J1848+0647,4.925901652765852,0.11854518686386041,7.0,450,252.0,252.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7835137772760998
21/03/2017 15:06:04,21/03/2017 15:13:06,J1853+0545,4.947892874063031,0.10062434002985507,0.0,422,422.0,422.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:13:06,21/03/2017 15:13:45,J1901+0621,4.978985114744737,0.11092052210105073,0.0,50,39.0,39.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.27872977841831
21/03/2017 15:13:45,21/03/2017 15:17:11,J1904+0738,4.992189475922752,0.133477399760666,1.0,182,205.0,205.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:17:11,21/03/2017 15:21:47,J1910+0728,5.01942722967348,0.1304977348765668,0.0,284,276.0,276.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:21:47,21/03/2017 15:26:17,J1902+02,4.982915014443811,0.03490658503988659,6.0,481,264.0,264.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8189205829198662
21/03/2017 15:26:17,21/03/2017 15:28:54,J1905+0616,4.996503057169056,0.1094549303430566,3.0,196,154.0,154.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2757618572292668
21/03/2017 15:28:54,21/03/2017 15:31:16,B1911+09,5.034744021022826,0.16775426031015941,3.0,202,139.0,139.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4492073984513056
21/03/2017 15:31:16,21/03/2017 15:37:47,J1922+1733,5.0740515992157205,0.3064190694959612,7.0,512,384.0,384.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:37:47,21/03/2017 15:38:02,J1845+0623,4.909363203662161,0.11168943659929047,15.0,402,incomplete,0.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:38:02,21/03/2017 15:38:05,J1853+0853,4.945250081965251,0.15512583354461823,3.0,47,incomplete,0.0,0,180,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:38:05,21/03/2017 15:39:49,B1907+10,5.016999389417493,0.19258423539502487,4.0,193,100.0,100.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9316097454498233
21/03/2017 15:39:49,21/03/2017 15:43:50,B1911+13,5.032682888987093,0.2446016890518871,2.0,211,incomplete,239.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
