Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 06:46:41,1490291201000
Duration,  2 days, 17 hours, 46 minutes, 41 seconds,236801000
Slew time, 0 day, 1 hour, 53 minutes, 21 seconds,6801000.0
Integration time, 1 day, 10 hours, 23 minutes, 20 seconds,1.238E8
Waiting time, 1 day, 5 hours, 30 minutes, 0 second,1.062E8
Relative slew time, 0.028720317904062907
Relative integration time, 0.522801846275987
Relative waiting time, 0.4484778358199501
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:10,J0241+16,0.7058402383273735,0.28041623315375563,85.0,165,165.0,165.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:10,21/03/2017 13:15:02,J0229+20,0.6503533125243871,0.36593736650147773,6.0,1116,646.0,646.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7264627669256214
21/03/2017 13:15:02,21/03/2017 13:29:22,B0301+19,0.805259646674883,0.341170174788316,4.0,628,856.0,856.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:29:22,21/03/2017 13:36:28,J0102+4839,0.2748893571891069,0.8377580409572782,39.0,255,387.0,387.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:36:28,21/03/2017 13:37:38,B0045+33,0.21191060557193486,0.5969413892765495,13.0,133,57.0,57.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3441754284394696
21/03/2017 13:37:38,21/03/2017 13:39:41,J0137+1654,0.4249789462143593,0.2951647501467888,19.0,104,104.0,104.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:41,21/03/2017 13:46:14,J0006+1834,0.02652900463031381,0.3243355045254685,21.0,524,372.0,372.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4087339996984314
21/03/2017 13:46:14,21/03/2017 13:52:41,B0052+51,0.24328275343242856,0.8951840760405984,33.0,354,354.0,354.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:52:41,21/03/2017 14:13:20,J0106+4855,0.28980174120635516,0.8540080259207076,1.0,1238,1238.0,1238.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:13:20,21/03/2017 14:43:17,B0011+47,0.06237734024575567,0.8338475338054486,10.0,1709,1787.0,1787.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:43:17,21/03/2017 14:50:57,B2310+42,6.078736049609773,0.7485185951453288,15.0,545,445.0,445.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2246156914800637
21/03/2017 14:50:57,21/03/2017 14:59:34,J1946+3417,5.176728869688264,0.5984282013293657,401.0,127,116.0,116.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:34,21/03/2017 15:02:01,B2000+32,5.245036124601745,0.5635392295705138,2.0,192,145.0,145.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3242738596642467
21/03/2017 15:02:01,21/03/2017 15:06:04,J1953+2732,5.206011726079986,0.4807810009100669,5.0,456,238.0,238.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.915731508635317
