Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:11:19,1490195479000
Duration,  1 day, 15 hours, 11 minutes, 19 seconds,141079000
Slew time, 0 day, 1 hour, 20 minutes, 12 seconds,4812000.0
Integration time, 0 day, 2 hours, 42 minutes, 7 seconds,9727000.0
Waiting time, 1 day, 11 hours, 9 minutes, 0 second,1.2654E8
Relative slew time, 0.0341085491107819
Relative integration time, 0.06894718561940473
Relative waiting time, 0.8969442652698134
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:51,J2143+0654,5.68565583890785,0.12051270622590723,39.0,354,312.0,312.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1346956148488636
21/03/2017 13:05:51,21/03/2017 13:14:31,B2127+11G,5.6285377574747715,0.21233530235658682,366.0,154,154.0,154.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:14:31,21/03/2017 13:23:32,B2127+11H,5.628554774434979,0.21234562888799444,362.0,384,179.0,179.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1483420531365485
21/03/2017 13:23:32,21/03/2017 13:32:37,J2156+2618,5.743857042585898,0.45916931600314276,352.0,193,193.0,193.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:32:37,21/03/2017 13:47:16,J2215+1538,5.82792002606563,0.27302224274041786,357.0,389,522.0,522.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:47:16,21/03/2017 14:00:28,J2225+35,5.867796945204935,0.619591884457987,360.0,234,432.0,432.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:00:28,21/03/2017 14:09:11,B2110+27,5.554829557919938,0.4869579635397153,380.0,166,143.0,143.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:09:11,21/03/2017 14:19:53,J2205+1444,5.7826573844649305,0.25729692314268515,353.0,548,289.0,289.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8967313918167852
21/03/2017 14:19:53,21/03/2017 14:33:37,J2139+2242,5.669912969054862,0.3963933619487788,367.0,545,457.0,457.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:33:37,21/03/2017 14:44:45,J2208+5500,5.7962180836985615,0.9599718614274626,346.0,455,incomplete,322.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:44:45,21/03/2017 14:58:49,B2127+11E,5.628554992601135,0.21239023174665653,387.0,543,757.0,457.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.187014468334794
21/03/2017 14:58:49,21/03/2017 15:09:40,J2044+4614,5.432250030369751,0.8071856902265109,351.0,529,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:09:40,21/03/2017 15:24:47,J2138+4911,5.6635934227216,0.8584111037725444,352.0,581,555.0,555.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0464738442671586
21/03/2017 15:24:47,21/03/2017 15:25:37,J2055+2539,5.479519364277931,0.4479775376188334,22.0,47,28.0,28.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6626544074160297
21/03/2017 15:25:37,21/03/2017 15:27:39,J2036+2835,5.396439001167071,0.49892389241002033,5.0,133,117.0,117.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:27:39,21/03/2017 15:36:55,J2010+2845,5.279989542643227,0.5019235800991494,4.0,581,552.0,552.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:36:55,21/03/2017 15:42:26,J1957+2831,5.224308376238903,0.49792226734484807,3.0,3073,incomplete,328.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:42:26,21/03/2017 15:42:27,J1954+2836,5.211200444502061,0.49919325489124483,1.0,1358,incomplete,0.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:42:27,21/03/2017 15:42:27,J1953+2732,5.206011726079986,0.4807810009100669,0.0,456,incomplete,0.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:42:27,21/03/2017 15:44:48,J1952+2630,5.203760258617119,0.46264835352319517,0.0,311,incomplete,141.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:44:48,21/03/2017 15:44:48,J1953+2732,5.206011726079986,0.4807810009100669,0.0,456,incomplete,0.0,0,5400,2,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:44:48,21/03/2017 15:44:48,J1952+2630,5.203760258617119,0.46264835352319517,0.0,311,incomplete,0.0,0,5400,2,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:44:48,21/03/2017 15:44:49,J1946+2535,5.178471884924559,0.446763079347654,1.0,910,incomplete,0.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:44:49,21/03/2017 15:52:30,J1949+2306,5.188523526975002,0.40344012880370594,1.0,2597,incomplete,460.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:30,21/03/2017 15:52:32,J1944+2236,5.16625244940447,0.3945540758053855,2.0,186,incomplete,0.0,0,180,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:52:32,21/03/2017 15:52:33,J1949+2306,5.188523526975002,0.40344012880370594,1.0,2597,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
