Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:00:15,1490194815000
Duration,  1 day, 15 hours, 0 minute, 15 seconds,140415000
Slew time, 0 day, 0 hour, 19 minutes, 58 seconds,1198000.0
Integration time, 0 day, 23 hours, 14 minutes, 17 seconds,8.3657E7
Waiting time, 0 day, 15 hours, 26 minutes, 0 second,5.556E7
Relative slew time, 0.00853185201011288
Relative integration time, 0.5957839262187088
Relative waiting time, 0.3956842217711783
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:36,J1342+2822D,3.5873933777804443,0.4952662640742576,0.0,374,276.0,276.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:04:36,21/03/2017 13:07:13,J1710+49,4.496331763398225,0.8610290976505359,0.0,231,157.0,157.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:07:13,21/03/2017 13:11:24,J2143+0654,5.68565583890785,0.12051270622590723,39.0,354,212.0,212.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.668408803837647
21/03/2017 13:11:24,21/03/2017 13:46:20,B1919+14,5.0675750459718305,0.24995587438332456,40.0,1410,2056.0,2056.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:20,21/03/2017 13:49:45,J1937+1505,5.136817420664149,0.2633459434418889,3.0,202,202.0,202.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:49:45,21/03/2017 14:01:18,B1933+15,5.131378538382623,0.2724458962363148,1.0,575,692.0,692.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:01:18,21/03/2017 14:08:54,J1941+1341,5.153438554741152,0.23896660267361475,2.0,609,454.0,454.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:08:54,21/03/2017 14:10:33,J1947+10,5.181882549171165,0.1873320063807247,2.0,204,97.0,97.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0975601135907245
21/03/2017 14:10:33,21/03/2017 14:20:44,J1939+10,5.145157912827116,0.18762289458939044,1.0,658,610.0,610.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:20:44,21/03/2017 14:25:45,J1941+1026,5.155436011348008,0.18222013092710576,1.0,193,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:25:45,21/03/2017 14:31:52,J1944+0907,5.166853006291774,0.15922764478131782,1.0,570,366.0,366.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5584905888536296
21/03/2017 14:31:52,21/03/2017 16:31:17,J1956+0838,5.222334917909262,0.1507615407872702,1.0,6023,7164.0,7164.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:31:17,21/03/2017 16:37:04,J2205+1444,5.7826573844649305,0.25729692314268515,6.0,548,341.0,341.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6069741503518382
21/03/2017 16:37:04,21/03/2017 16:45:06,J2215+1538,5.82792002606563,0.27302224274041786,1.0,389,481.0,481.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:45:06,21/03/2017 17:23:54,J2243+1518,5.947919775176239,0.2671571122704591,3.0,1703,2325.0,2325.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:23:54,21/03/2017 17:27:50,J2234+2114,5.912058495035511,0.3706827228121779,11.0,542,225.0,225.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.404537841453511
