Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:04:14,1490195054000
Duration,  1 day, 15 hours, 4 minutes, 14 seconds,140654000
Slew time, 0 day, 1 hour, 34 minutes, 4 seconds,5644000.0
Integration time, 0 day, 3 hours, 52 minutes, 10 seconds,1.393E7
Waiting time, 1 day, 9 hours, 38 minutes, 0 second,1.2108E8
Relative slew time, 0.04012683606580687
Relative integration time, 0.09903735407453752
Relative waiting time, 0.8608358098596556
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:50,J2143+0654,5.68565583890785,0.12051270622590723,39.0,354,131.0,131.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.693804847959708
21/03/2017 13:02:50,21/03/2017 13:09:49,J2055+2539,5.479519364277931,0.4479775376188334,372.0,47,47.0,47.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:49,21/03/2017 13:25:57,J2139+2242,5.669912969054862,0.3963933619487788,350.0,545,618.0,618.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:57,21/03/2017 13:34:35,B2127+11H,5.628554774434979,0.21234562888799444,369.0,384,149.0,149.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.5834190662189402
21/03/2017 13:34:35,21/03/2017 13:46:14,B2110+27,5.554829557919938,0.4869579635397153,362.0,166,337.0,337.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:46:14,21/03/2017 13:54:30,B2127+11G,5.6285377574747715,0.21233530235658682,364.0,154,132.0,132.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1635745504725519
21/03/2017 13:54:30,21/03/2017 14:09:15,B2127+11E,5.628554992601135,0.21239023174665653,362.0,543,523.0,523.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0384750095197675
21/03/2017 14:09:15,21/03/2017 14:19:47,J2213+53,5.816309732271103,0.9250245035569946,342.0,364,290.0,290.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.254712739130792
21/03/2017 14:19:47,21/03/2017 14:38:16,B2127+11A,5.628559320435904,0.21235437444198796,384.0,456,725.0,725.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:38:16,21/03/2017 14:53:12,J2138+4911,5.6635934227216,0.8584111037725444,345.0,581,551.0,551.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0547240675581142
21/03/2017 14:53:12,21/03/2017 15:08:48,J2111+40,5.545783698211982,0.6981317007977318,370.0,581,566.0,566.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
