Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:04:55,1490195095000
Duration,  1 day, 15 hours, 4 minutes, 55 seconds,140695000
Slew time, 0 day, 0 hour, 45 minutes, 54 seconds,2754000.0
Integration time, 0 day, 16 hours, 39 minutes, 1 second,5.9941E7
Waiting time, 0 day, 21 hours, 40 minutes, 0 second,7.8E7
Relative slew time, 0.01957425637016241
Relative integration time, 0.42603504033547746
Relative waiting time, 0.5543907032943601
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:15,J2017+0603,5.311815405568848,0.1056194170803032,44.0,518,631.0,631.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:15,21/03/2017 13:12:32,J1933+0758,5.119589348339765,0.1390785491812607,13.0,104,64.0,64.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6233881406162842
21/03/2017 13:12:32,21/03/2017 13:22:58,J1802+03,4.724315396939985,0.06341362948912731,22.0,644,604.0,604.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:22:58,21/03/2017 13:28:12,J1807+04,4.744750293598751,0.07126761112310179,1.0,165,313.0,313.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:28:12,21/03/2017 13:40:01,B1810+02,4.768616725733095,0.04274660403984512,1.0,613,708.0,708.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:01,21/03/2017 13:41:33,J1821+1715,4.805000731984796,0.301297449287352,11.0,194,81.0,81.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.4030078574245475
21/03/2017 13:41:33,21/03/2017 13:51:47,J1828+1359,4.838440876842745,0.24422663718818075,3.0,486,611.0,611.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:51:47,21/03/2017 14:00:18,J1839+15,4.882558582454136,0.2617993877991494,0.0,327,511.0,511.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:00:18,21/03/2017 14:03:15,B1842+14,4.908367246068921,0.2601225142389278,0.0,231,177.0,177.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:03:15,21/03/2017 14:17:45,J1859+1526,4.9730531042274695,0.26941581072938026,2.0,598,868.0,868.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:17:45,21/03/2017 14:24:35,J1901+1306,4.982098345797981,0.22887229701923306,3.0,407,407.0,407.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:24:35,21/03/2017 14:37:34,J1909+1148,5.013458276353711,0.2059488517353309,0.0,1728,779.0,779.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.219205175190469
21/03/2017 14:37:34,21/03/2017 14:52:47,J1913+1145,5.034102612522718,0.205236660437781,1.0,1410,912.0,912.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.545898724013225
21/03/2017 14:52:47,21/03/2017 15:21:17,J1935+12,5.127995508515839,0.21031217486531673,1.0,1709,1709.0,1709.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:21:17,21/03/2017 15:26:20,J1947+10,5.181882549171165,0.1873320063807247,3.0,204,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:26:20,21/03/2017 15:31:21,J1941+1026,5.155436011348008,0.18222013092710576,1.0,193,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:31:21,21/03/2017 15:38:18,B1855+09,4.963744815940518,0.16967128429110123,9.0,243,408.0,408.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:38:18,21/03/2017 15:43:26,B1911+13,5.032682888987093,0.2446016890518871,4.0,211,304.0,304.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:43:26,21/03/2017 15:49:37,B1914+13,5.0482681410642165,0.23062596506654248,0.0,5293,incomplete,371.0,0,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:49:37,21/03/2017 15:52:05,J1919+1314,5.059490317266332,0.23114607318363678,0.0,612,incomplete,148.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:05,21/03/2017 15:53:54,J1932+17,5.113814708343386,0.29670597283903605,4.0,635,incomplete,105.0,0,5400,2,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:53:54,21/03/2017 15:53:57,J1938+2012,5.1399946471233005,0.35255650890285456,3.0,477,incomplete,0.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:53:57,21/03/2017 15:53:57,J1938+2010,5.140601149038368,0.35222538115865676,0.0,606,incomplete,0.0,0,600,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:53:57,21/03/2017 15:53:58,J1934+19,5.122541354603357,0.33161255787892263,1.0,532,incomplete,0.0,0,600,2,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:53:58,21/03/2017 15:53:59,J1932+17,5.113814708343386,0.29670597283903605,1.0,635,incomplete,0.0,0,5400,3,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:53:59,21/03/2017 15:55:41,J1935+1726,5.127191784395295,0.3044070442379886,0.0,322,incomplete,102.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:55:41,21/03/2017 15:55:41,J1933+1726,5.118178031473371,0.3042690662643448,0.0,640,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:55:41,21/03/2017 15:55:41,J1932+17,5.113814708343386,0.29670597283903605,0.0,635,incomplete,0.0,0,5400,4,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:55:41,21/03/2017 15:55:41,J1935+1726,5.127191784395295,0.3044070442379886,0.0,322,incomplete,0.0,0,5400,2,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:55:41,21/03/2017 16:01:55,B1933+15,5.131378538382623,0.2724458962363148,1.0,575,incomplete,373.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:01:55,21/03/2017 16:03:30,J1937+1505,5.136817420664149,0.2633459434418889,1.0,202,94.0,94.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1532435277617332
21/03/2017 16:03:30,21/03/2017 16:03:30,B1933+15,5.131378538382623,0.2724458962363148,0.0,575,incomplete,0.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:03:30,21/03/2017 16:16:58,J2043+1711,5.42512924919179,0.3000459848970053,11.0,871,797.0,797.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:16:58,21/03/2017 16:17:49,J2055+2539,5.479519364277931,0.4479775376188334,6.0,47,45.0,45.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.047304921072164
