Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 05:23:10,1490199790000
Duration,  1 day, 16 hours, 23 minutes, 10 seconds,145390000
Slew time, 0 day, 0 hour, 47 minutes, 1 second,2821000.0
Integration time, 0 day, 16 hours, 5 minutes, 9 seconds,5.7909E7
Waiting time, 0 day, 23 hours, 31 minutes, 0 second,8.466E7
Relative slew time, 0.019402985074626865
Relative integration time, 0.3983011211224981
Relative waiting time, 0.582295893802875
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:10,J2017+0603,5.311815405568848,0.1056194170803032,44.0,518,626.0,626.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:10,21/03/2017 13:12:20,J1933+0758,5.119589348339765,0.1390785491812607,13.0,104,57.0,57.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8224004168653376
21/03/2017 13:12:20,21/03/2017 14:27:55,J1926+0737,5.090088411603566,0.13297081794527466,2.0,2800,4533.0,4533.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:27:55,21/03/2017 14:48:08,J2047+1053,5.441063943092322,0.1899500002587162,3.0,1096,1210.0,1210.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:48:08,21/03/2017 14:58:42,J2033+1734,5.381978526526395,0.30688045697999955,10.0,864,624.0,624.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3855431785080154
21/03/2017 14:58:42,21/03/2017 15:07:56,B2025+21,5.355011211543263,0.37992147776350554,5.0,352,549.0,549.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:07:56,21/03/2017 15:19:30,J2007+20,5.2665310178928895,0.3551745027808461,6.0,311,688.0,688.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:19:30,21/03/2017 15:52:35,J1949+2306,5.188523526975002,0.40344012880370594,6.0,2597,incomplete,1979.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:35,21/03/2017 15:52:41,J1944+2236,5.16625244940447,0.3945540758053855,6.0,186,incomplete,0.0,0,180,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:52:41,21/03/2017 15:52:42,J1949+2306,5.188523526975002,0.40344012880370594,1.0,2597,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
