Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 16:30:45,1490153445000
Duration,  1 day, 3 hours, 30 minutes, 45 seconds,99045000
Slew time, 0 day, 1 hour, 32 minutes, 54 seconds,5574000.0
Integration time, 0 day, 23 hours, 53 minutes, 51 seconds,8.6031E7
Waiting time, 0 day, 2 hours, 4 minutes, 0 second,7440000.0
Relative slew time, 0.05627744964410117
Relative integration time, 0.86860517946388
Relative waiting time, 0.07511737089201878
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:13,J1917+1737,5.050108445316341,0.3076220376828983,62.0,231,131.0,131.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7618329733473985
21/03/2017 13:03:13,21/03/2017 13:09:24,J1822+0705,4.809723083886327,0.12371960328234248,19.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:24,21/03/2017 13:28:07,B2025+21,5.355011211543263,0.37992147776350554,323.0,352,800.0,800.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:28:07,21/03/2017 13:39:27,J1924+17,5.078908123303498,0.29670597283903605,21.0,659,659.0,659.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:27,21/03/2017 13:47:51,B1930+22,5.115468407809651,0.39003987865783835,356.0,178,148.0,148.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2054587894218198
21/03/2017 13:47:51,21/03/2017 13:56:21,J1828+1359,4.838440876842745,0.24422663718818075,18.0,486,492.0,492.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:56:21,21/03/2017 14:01:12,J1842+1332,4.897827304527,0.23620849764178256,1.0,450,290.0,290.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5505468744866044
21/03/2017 14:01:12,21/03/2017 14:11:21,B1810+02,4.768616725733095,0.04274660403984512,14.0,613,595.0,595.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:11:21,21/03/2017 14:22:26,J2143+0654,5.68565583890785,0.12051270622590723,311.0,354,354.0,354.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:22:26,21/03/2017 14:23:33,J1901+0621,4.978985114744737,0.11092052210105073,40.0,50,27.0,27.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.8190751101099247
21/03/2017 14:23:33,21/03/2017 14:36:44,J1953+2732,5.206011726079986,0.4807810009100669,335.0,456,456.0,456.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:36:44,21/03/2017 14:47:05,B1937+21,5.147162220796673,0.37669599430801487,8.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:47:05,21/03/2017 15:04:29,J1914+0659,5.035274892003641,0.12188215943093735,17.0,769,1027.0,1027.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:04:29,21/03/2017 15:16:26,B2127+11H,5.628554774434979,0.21234562888799444,333.0,384,384.0,384.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:16:26,21/03/2017 15:21:43,J2007+0809,5.267512765597136,0.142404322552304,22.0,284,295.0,295.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:21:43,21/03/2017 15:25:35,J1903+0601,4.98879633769072,0.10517547997990273,12.0,472,220.0,220.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.143085060097152
21/03/2017 15:25:35,21/03/2017 15:31:47,J0533+0402,1.4548642856722165,0.07039737056551017,201.0,170,171.0,171.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:31:47,21/03/2017 15:34:07,J0241+16,0.7058402383273735,0.28041623315375563,40.0,165,100.0,100.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6531600416423915
21/03/2017 15:34:07,21/03/2017 15:38:40,J0102+4839,0.2748893571891069,0.8377580409572782,33.0,255,240.0,240.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:38:40,21/03/2017 15:49:48,J2215+1538,5.82792002606563,0.27302224274041786,44.0,389,624.0,624.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:49:48,21/03/2017 15:55:55,J1907+0731,5.008716071331938,0.13129675630440343,41.0,1045,incomplete,326.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:55:55,21/03/2017 16:00:55,B0523+11,1.4221850534626992,0.19644204329971776,210.0,118,90.0,90.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3100120311079118
21/03/2017 16:00:55,21/03/2017 16:05:11,J2156+2618,5.743857042585898,0.45916931600314276,109.0,193,147.0,147.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3149297202351946
21/03/2017 16:05:11,21/03/2017 16:11:51,B2127+11E,5.628554992601135,0.21239023174665653,15.0,543,385.0,385.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4094355436116086
21/03/2017 16:11:51,21/03/2017 16:21:38,J2017+0603,5.311815405568848,0.1056194170803032,18.0,518,569.0,569.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:21:38,21/03/2017 16:32:20,B0052+51,0.24328275343242856,0.8951840760405984,288.0,354,354.0,354.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:32:20,21/03/2017 16:48:27,B0301+19,0.805259646674883,0.341170174788316,328.0,628,639.0,639.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:48:27,21/03/2017 20:38:06,J0337+1715,0.9500282278657441,0.3011411841416568,5.0,5293,13774.0,13774.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 20:38:06,21/03/2017 20:53:39,J0751+1807,2.055791112963893,0.3163826354449581,4.0,1039,929.0,929.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1188824873049064
21/03/2017 20:53:39,21/03/2017 20:58:44,J0815+0939,2.160483158072796,0.16867007335377535,7.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:58:44,21/03/2017 21:00:53,J0843+0719,2.2844774567868544,0.12764077633515641,7.0,284,122.0,122.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.3299067075869786
21/03/2017 21:00:53,21/03/2017 21:05:16,J0848+16,2.3076888813973357,0.29176087329171874,7.0,547,256.0,256.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1382406398872233
21/03/2017 21:05:16,21/03/2017 21:59:43,B0940+16,2.5460063185519446,0.2884495958497406,9.0,3073,3258.0,3258.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:59:43,21/03/2017 22:03:31,J1010+15,2.6616271092913526,0.27663468644110123,5.0,261,223.0,223.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:03:31,21/03/2017 23:12:19,J1022+1001,2.718204916782272,0.17507964958762018,6.0,3754,4122.0,4122.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 23:12:19,21/03/2017 23:15:35,B1133+16,3.0371090778789545,0.27665640609401493,4.0,192,192.0,192.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:15:35,21/03/2017 23:34:09,J1142+0119,3.0630528372500483,0.022980168484592004,12.0,1106,1102.0,1102.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 23:34:09,21/03/2017 23:42:13,J1046+0304,2.821850516285997,0.05355688253848934,17.0,768,467.0,467.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6452228997078586
21/03/2017 23:42:13,22/03/2017 00:09:15,B0943+10,2.5574600417681577,0.1721815788460517,24.0,1368,1598.0,1598.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:09:15,22/03/2017 00:22:06,J0943+41,2.543817384781735,0.7182029871956666,28.0,450,743.0,743.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:22:06,22/03/2017 00:23:26,J1012+5307,2.672785151988384,0.9270733295670593,12.0,118,68.0,68.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7320609214520566
22/03/2017 00:23:26,22/03/2017 00:33:38,B0823+26,2.2115782027959106,0.4646638064138933,26.0,1410,2036.0,586.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:33:38,22/03/2017 00:42:17,J1313+0931,3.4617878492785863,0.1663686628095484,285.0,334,234.0,234.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4243752839045332
22/03/2017 00:42:17,22/03/2017 00:44:58,B1257+12,3.4036521463529263,0.22134882305275824,6.0,352,155.0,155.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2666405825242553
