Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:06:00,1490195160000
Duration,  1 day, 15 hours, 6 minutes, 0 second,140760000
Slew time, 0 day, 0 hour, 39 minutes, 34 seconds,2374000.0
Integration time, 0 day, 17 hours, 46 minutes, 26 seconds,6.3986E7
Waiting time, 0 day, 20 hours, 40 minutes, 0 second,7.44E7
Relative slew time, 0.01686558681443592
Relative integration time, 0.4545751633986928
Relative waiting time, 0.5285592497868713
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:42,J1848+0351,4.9249002701075195,0.0673682546859378,57.0,189,165.0,165.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1446547523556598
21/03/2017 13:03:42,21/03/2017 13:09:11,J0137+1654,0.4249789462143593,0.2951647501467888,245.0,104,84.0,84.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2318852512325515
21/03/2017 13:09:11,21/03/2017 13:11:32,J0241+16,0.7058402383273735,0.28041623315375563,10.0,165,131.0,131.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2549156039466378
21/03/2017 13:11:32,21/03/2017 13:20:35,B0301+19,0.805259646674883,0.341170174788316,5.0,628,538.0,538.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:20:35,21/03/2017 13:26:08,B0045+33,0.21191060557193486,0.5969413892765495,33.0,133,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:26:08,21/03/2017 13:30:22,J0006+1834,0.02652900463031381,0.3243355045254685,18.0,524,236.0,236.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2179961110696143
21/03/2017 13:30:22,21/03/2017 13:36:55,B1842+14,4.908367246068921,0.2601225142389278,87.0,231,306.0,306.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:36:55,21/03/2017 13:43:15,J1839+15,4.882558582454136,0.2617993877991494,2.0,327,378.0,378.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:43:15,21/03/2017 13:45:57,J1736+05,4.611596216082018,0.10122909661567112,18.0,186,144.0,144.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:45:57,21/03/2017 13:52:54,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,417.0,417.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:52:54,21/03/2017 13:54:43,J1828+0625,4.836600427146518,0.11199438440470835,8.0,135,101.0,101.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3391873122752787
21/03/2017 13:54:43,21/03/2017 13:58:00,J1845+0623,4.909363203662161,0.11168943659929047,2.0,402,195.0,195.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.060611494426955
21/03/2017 13:58:00,21/03/2017 14:07:27,B0045+33,0.21191060557193486,0.5969413892765495,267.0,133,incomplete,300.0,0,1800,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:07:27,21/03/2017 14:12:41,J0102+4839,0.2748893571891069,0.8377580409572782,12.0,255,302.0,302.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:12:41,21/03/2017 14:17:52,B0052+51,0.24328275343242856,0.8951840760405984,3.0,354,308.0,308.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1506873342366413
21/03/2017 14:17:52,21/03/2017 14:23:48,J1843+2024,4.901915738299797,0.356311875676729,77.0,364,279.0,279.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:23:48,21/03/2017 14:32:37,J1828+1359,4.838440876842745,0.24422663718818075,8.0,486,521.0,521.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:32:37,21/03/2017 14:35:48,J1842+1332,4.897827304527,0.23620849764178256,1.0,450,190.0,190.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.3622052483549534
21/03/2017 14:35:48,21/03/2017 14:37:32,J1738+0333,4.620320378054876,0.06201187154863972,17.0,613,incomplete,87.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 14:37:32,21/03/2017 14:43:32,J1822+0705,4.809723083886327,0.12371960328234248,8.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:43:32,21/03/2017 14:49:11,B0045+33,0.21191060557193486,0.5969413892765495,266.0,133,673.0,73.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 1.812333223761503
21/03/2017 14:49:11,21/03/2017 15:36:28,B0011+47,0.06237734024575567,0.8338475338054486,11.0,1709,2826.0,2826.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:36:28,21/03/2017 15:45:00,J0106+4855,0.28980174120635516,0.8540080259207076,1.0,1238,511.0,511.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.423124631621267
21/03/2017 15:45:00,21/03/2017 15:52:53,B2310+42,6.078736049609773,0.7485185951453288,21.0,545,452.0,452.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.204610489687062
21/03/2017 15:52:53,21/03/2017 15:57:37,J2038+35,5.40179403492245,0.6108652381980153,30.0,1643,incomplete,254.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:57:37,21/03/2017 16:09:02,J2105+28,5.523967082562054,0.4971279486097182,8.0,829,677.0,677.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2253821165099201
21/03/2017 16:09:02,21/03/2017 16:16:39,J1956+0838,5.222334917909262,0.1507615407872702,27.0,6023,incomplete,430.0,0,600,4,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 16:16:39,21/03/2017 16:20:36,J0623+0340,1.6745531692218207,0.0640283732367742,204.0,82,33.0,33.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.505696543159293
21/03/2017 16:20:36,21/03/2017 16:49:07,J0627+0649,1.6925060331513266,0.11923570698986471,2.0,1709,1709.0,1709.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:49:07,21/03/2017 17:04:22,J0557+1550,1.5599934063134906,0.2763731100675954,15.0,4182,incomplete,900.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0102 (PRN E12)
21/03/2017 17:04:22,21/03/2017 17:15:43,B0540+23,1.4973223286090653,0.40988572669405726,10.0,844,671.0,671.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:15:43,21/03/2017 17:28:53,J0517+22,1.3839006527271704,0.38862664677740405,6.0,477,784.0,784.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:28:53,21/03/2017 17:33:12,J0453+1559,1.2817562530918758,0.27906508796776525,10.0,455,249.0,249.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8308613299950947
21/03/2017 17:33:12,21/03/2017 18:16:46,J0557+1550,1.5599934063134906,0.2763731100675954,11.0,4182,3963.0,2603.0,0,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:16:46,21/03/2017 18:37:29,J0408+551,1.0821041362364845,0.9599310885968813,46.0,1150,1197.0,1197.0,15060,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 23:22:29,22/03/2017 00:02:58,J1012+5307,2.672785151988384,0.9270733295670593,89.0,118,incomplete,300.0,14580,1800,1,0,4,0,Waited for more observables to rise above the horizon. Aborted: Scintillation too low within first five minutes.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:21:58,22/03/2017 04:01:05,J1802+03,4.724315396939985,0.06341362948912731,89.0,644,818.0,818.0,1440,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 03:37:05,22/03/2017 03:41:59,J1807+04,4.744750293598751,0.07126761112310179,88.0,165,206.0,206.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:41:59,22/03/2017 03:56:05,B1810+02,4.768616725733095,0.04274660403984512,1.0,613,845.0,845.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:56:05,22/03/2017 04:07:28,J1806+1023,4.742358756191207,0.1813120749023876,9.0,647,674.0,674.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 04:07:28,22/03/2017 04:11:15,J1822+1120,4.809443831206008,0.19807644718147424,1.0,346,226.0,226.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5328574648780569
22/03/2017 04:11:15,22/03/2017 04:16:47,J1810+1744,4.758733289789313,0.3096862773743265,7.0,664,325.0,325.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.042002238549358
22/03/2017 04:16:47,22/03/2017 04:20:51,J1848+0647,4.925901652765852,0.11854518686386041,13.0,450,231.0,231.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9522029062002713
22/03/2017 04:20:51,22/03/2017 04:27:07,J1853+0545,4.947892874063031,0.10062434002985507,0.0,422,376.0,376.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1225252573369933
22/03/2017 04:27:07,22/03/2017 04:41:04,J1901+0510,4.982758662031652,0.09034018133795094,0.0,844,837.0,837.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 04:41:04,22/03/2017 04:42:25,J1907+0602,5.008712435229331,0.10538346504909872,1.0,545,incomplete,80.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 44 [-]
22/03/2017 04:42:25,22/03/2017 04:44:00,J1905+0616,4.996503057169056,0.1094549303430566,0.0,196,95.0,95.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0526801982760507
22/03/2017 04:44:00,22/03/2017 04:54:06,B1900+06,4.9865712610605835,0.10953594270917001,0.0,1358,606.0,606.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 04:54:06,22/03/2017 05:17:09,J1906+0649,5.001238789928187,0.11920647272489382,1.0,2072,1382.0,1382.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4988156229432568
22/03/2017 05:17:09,22/03/2017 05:36:50,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,4121.0,1180.0,0,180,4,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 05:36:50,22/03/2017 06:10:27,J1956+0838,5.222334917909262,0.1507615407872702,2.0,6023,5385.0,2015.0,0,600,8,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 06:10:27,22/03/2017 06:15:40,J1913+1145,5.034102612522718,0.205236660437781,13.0,1410,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 06:15:40,22/03/2017 06:34:54,J1909+1148,5.013458276353711,0.2059488517353309,1.0,1728,1153.0,1153.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4990747411515126
22/03/2017 06:34:54,22/03/2017 06:54:09,B1911+11,5.036010839171565,0.19840369641622319,2.0,844,1153.0,1153.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
