Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:00:46,1490194846000
Duration,  1 day, 15 hours, 0 minute, 46 seconds,140446000
Slew time, 0 day, 0 hour, 30 minutes, 47 seconds,1847000.0
Integration time, 0 day, 21 hours, 19 minutes, 59 seconds,7.6799E7
Waiting time, 0 day, 17 hours, 10 minutes, 0 second,6.18E7
Relative slew time, 0.013150961935548182
Relative integration time, 0.5468222662090768
Relative waiting time, 0.44002677185537503
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:29,J1900+30,4.975497365122835,0.5390158506575821,75.0,234,134.0,134.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7422688988761745
21/03/2017 13:03:29,21/03/2017 13:07:05,J1853+0545,4.947892874063031,0.10062434002985507,19.0,422,197.0,197.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1396871437952885
21/03/2017 13:07:05,21/03/2017 13:12:57,J1900+0227,4.976995439397463,0.04291570705181613,2.0,322,350.0,350.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:57,21/03/2017 13:18:03,J1853+0853,4.945250081965251,0.15512583354461823,6.0,47,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:18:03,21/03/2017 13:20:18,J1902+0248,4.986570024785696,0.04914071471726257,5.0,273,130.0,130.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.102800092943766
21/03/2017 13:20:18,21/03/2017 13:23:36,J1905+0616,4.996503057169056,0.1094549303430566,2.0,196,196.0,196.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:23:36,21/03/2017 13:30:51,J1851+0232,4.934918460013967,0.04421500771718968,6.0,432,429.0,429.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:30:51,21/03/2017 13:34:05,J1901+0355,4.980792257741073,0.0686442842946181,1.0,231,193.0,193.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:05,21/03/2017 13:39:07,J1902+02,4.982915014443811,0.03490658503988659,2.0,481,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:39:07,21/03/2017 13:46:48,J1857+0143,4.963498808291791,0.030189347922690807,2.0,512,459.0,459.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1158454074834216
21/03/2017 13:46:48,21/03/2017 13:56:39,J1855+0527,4.953467892026215,0.09531776340190254,4.0,542,587.0,587.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:56:39,21/03/2017 13:57:02,J1901+0621,4.978985114744737,0.11092052210105073,1.0,50,22.0,22.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 2.3122344304142732
21/03/2017 13:57:02,21/03/2017 14:00:34,J1904+0451,4.995960245227275,0.08491488838390511,1.0,211,211.0,211.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:00:34,21/03/2017 14:10:21,B1852+10,4.950141367193965,0.18811740454412218,6.0,581,581.0,581.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
