Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:29:39,1490196579000
Duration,  1 day, 15 hours, 29 minutes, 39 seconds,142179000
Slew time, 0 day, 1 hour, 48 minutes, 35 seconds,6515000.0
Integration time, 1 day, 0 hour, 7 minutes, 4 seconds,8.6824E7
Waiting time, 0 day, 13 hours, 34 minutes, 0 second,4.884E7
Relative slew time, 0.04582251950006682
Relative integration time, 0.6106668354679664
Relative waiting time, 0.34351064503196677
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:09,B2127+11H,5.628554774434979,0.21234562888799444,45.0,384,384.0,384.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:07:09,21/03/2017 13:15:54,J2111+4606,5.547538481330759,0.8047485318515732,361.0,387,164.0,164.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.359827615773141
21/03/2017 13:15:54,21/03/2017 13:24:31,B2127+11G,5.6285377574747715,0.21233530235658682,363.0,154,154.0,154.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:24:31,21/03/2017 13:37:36,B2127+11A,5.628559320435904,0.21235437444198796,362.0,456,423.0,423.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:37:36,21/03/2017 13:47:24,B2110+27,5.554829557919938,0.4869579635397153,363.0,166,225.0,225.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:47:24,21/03/2017 13:59:53,B2127+11E,5.628554992601135,0.21239023174665653,363.0,543,386.0,386.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4061937994118718
21/03/2017 13:59:53,21/03/2017 14:06:31,J2055+2539,5.479519364277931,0.4479775376188334,366.0,47,32.0,32.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.46267652991985
21/03/2017 14:06:31,21/03/2017 14:14:30,J2156+2618,5.743857042585898,0.45916931600314276,346.0,193,133.0,133.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4470031215894028
21/03/2017 14:14:30,21/03/2017 14:30:09,J2138+4911,5.6635934227216,0.8584111037725444,358.0,581,581.0,581.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:30:09,21/03/2017 14:51:51,J2215+1538,5.82792002606563,0.27302224274041786,365.0,389,937.0,937.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:51:51,21/03/2017 15:01:56,J2143+0654,5.68565583890785,0.12051270622590723,380.0,354,225.0,225.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5748393946078678
21/03/2017 15:01:56,21/03/2017 15:20:08,J2111+40,5.545783698211982,0.6981317007977318,349.0,581,743.0,743.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:20:08,21/03/2017 15:41:23,J2047+1053,5.441063943092322,0.1899500002587162,26.0,1096,1249.0,1249.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:41:23,21/03/2017 15:51:57,J2234+2114,5.912058495035511,0.3706827228121779,334.0,542,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:51:57,21/03/2017 16:26:17,J2243+1518,5.947919775176239,0.2671571122704591,363.0,1703,1697.0,1697.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:26:17,21/03/2017 16:29:58,J2205+1444,5.7826573844649305,0.25729692314268515,16.0,548,205.0,205.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.66842694548563
21/03/2017 16:29:58,21/03/2017 17:08:07,B2127+11C,5.628774409576931,0.2125336347853919,9.0,1436,2280.0,2280.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:08:07,21/03/2017 17:44:36,J2151+2315,5.722418290719025,0.4058511072398636,10.0,1245,2179.0,2179.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:44:36,21/03/2017 17:50:39,J2234+2114,5.912058495035511,0.3706827228121779,2.0,542,661.0,361.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.500835956442338
21/03/2017 17:50:39,21/03/2017 18:45:04,J2307+2225,6.054931729380185,0.3914876292723677,5.0,4689,incomplete,3260.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-8  (PRN 16)
21/03/2017 18:45:04,21/03/2017 19:14:58,J2317+1439,6.096234120297008,0.2558422663572685,13.0,2597,1781.0,1781.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.457869334504682
21/03/2017 19:14:58,21/03/2017 19:15:10,J2307+2225,6.054931729380185,0.3914876292723677,12.0,4689,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 19:15:10,21/03/2017 19:23:38,J0843+0719,2.2844774567868544,0.12764077633515641,224.0,284,284.0,284.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:23:38,21/03/2017 19:29:02,J0848+16,2.3076888813973357,0.29176087329171874,8.0,547,316.0,316.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.72859416754178
21/03/2017 19:29:02,21/03/2017 20:06:03,B0823+26,2.2115782027959106,0.4646638064138933,11.0,1410,2210.0,2210.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:06:03,21/03/2017 20:57:09,B0940+16,2.5460063185519446,0.2884495958497406,13.0,3073,3053.0,3053.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:57:09,21/03/2017 21:03:01,J1010+15,2.6616271092913526,0.27663468644110123,5.0,261,347.0,347.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:03:01,21/03/2017 22:00:33,J1022+1001,2.718204916782272,0.17507964958762018,5.0,3754,3447.0,3447.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 22:00:33,21/03/2017 22:03:22,B1133+16,3.0371090778789545,0.27665640609401493,6.0,192,163.0,163.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:03:22,21/03/2017 22:17:44,J0943+41,2.543817384781735,0.7182029871956666,35.0,450,827.0,827.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:17:44,21/03/2017 22:18:28,J0645+5158,1.7714424245127065,0.907061772699451,34.0,427,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 22:18:28,21/03/2017 22:38:02,J0229+20,0.6503533125243871,0.36593736650147773,58.0,1116,1116.0,1116.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:38:02,21/03/2017 22:49:14,J0740+41,2.011491962923465,0.7167485461523381,295.0,473,677.0,377.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.2551698983200157
21/03/2017 22:49:14,21/03/2017 22:56:17,B1257+12,3.4036521463529263,0.22134882305275824,71.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:56:17,21/03/2017 23:00:45,J1313+0931,3.4617878492785863,0.1663686628095484,3.0,334,265.0,265.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2594186119620958
21/03/2017 23:00:45,21/03/2017 23:19:38,J1238+21,3.30908390247795,0.3816991440880299,15.0,751,1118.0,1118.0,120,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.Waited for more observables to rise above the horizon. 
22/03/2017 00:14:38,22/03/2017 01:29:35,J1342+2822A,3.5874515554221773,0.49524687152701324,89.0,844,1228.0,1228.0,3180,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 00:36:35,22/03/2017 00:42:45,J1342+2822B,3.587457889512921,0.4952863402087923,86.0,647,284.0,284.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2810115641390105
22/03/2017 00:42:45,22/03/2017 00:48:49,J1342+2822D,3.5873933777804443,0.4952662640742576,1.0,374,363.0,363.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:48:49,22/03/2017 00:54:25,J1518+0204E,4.008003183100644,0.03635132980959301,34.0,402,302.0,302.0,3780,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3321149901452756Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 02:15:25,22/03/2017 02:38:40,J1627+1419,4.3079641222725975,0.24997332767584454,89.0,311,226.0,226.0,1080,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 02:20:40,22/03/2017 03:35:05,J1612+2008,4.242854105472584,0.351481822415939,89.0,2597,4376.0,4376.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 03:35:05,22/03/2017 03:41:07,J1720+2150,4.537950593853073,0.38112560950327723,2.0,507,360.0,360.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.40757033756347
22/03/2017 03:41:07,22/03/2017 03:47:52,J1640+2224,4.364540848022992,0.3909966186058234,7.0,395,398.0,398.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 03:47:52,22/03/2017 03:49:24,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,90.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
22/03/2017 03:49:24,22/03/2017 04:15:24,B1639+36A,4.370659330608373,0.6362473675842965,9.0,842,1551.0,1551.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 04:15:24,22/03/2017 04:23:32,B1639+36B,4.370668057254633,0.6363518934139437,3.0,548,485.0,485.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 04:23:32,22/03/2017 04:30:14,J1629+43,4.3153265755559795,0.7676539826688393,7.0,405,395.0,395.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 04:30:14,22/03/2017 04:35:40,J1641+3627D,4.370668057254633,0.6363518934139437,5.0,336,321.0,321.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0468524228956846
22/03/2017 04:35:40,22/03/2017 05:24:43,J1649+2533,4.4058095345230175,0.4459655608422289,7.0,2597,3026.0,2936.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 05:24:43,22/03/2017 05:37:21,J1746+2540,4.651802057063271,0.4481496464756274,1.0,640,757.0,757.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 05:37:21,22/03/2017 05:38:18,J1758+3030,4.705544380834785,0.5324417771417368,3.0,85,54.0,54.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5710868649011174
22/03/2017 05:38:18,22/03/2017 05:53:43,J1741+2758,4.633377197926385,0.48815404737238066,4.0,1116,921.0,921.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 05:53:43,22/03/2017 07:17:38,J1746+2245,4.651363543088708,0.39720251598255063,5.0,3754,5030.0,5030.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 07:17:38,22/03/2017 07:57:55,J1923+2515,5.076180559836729,0.4408925499925424,3.0,2414,2414.0,2414.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 07:57:55,22/03/2017 08:07:26,J2015+2524,5.302361172995289,0.44346537668874697,1.0,570,870.0,570.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
