Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 08:36:44,1490125004000
Duration,  0 day, 19 hours, 36 minutes, 44 seconds,70604000
Slew time, 0 day, 0 hour, 19 minutes, 5 seconds,1145000.0
Integration time, 0 day, 3 hours, 16 minutes, 39 seconds,1.1799E7
Waiting time, 0 day, 16 hours, 1 minute, 0 second,5.766E7
Relative slew time, 0.016217211489434027
Relative integration time, 0.1671151776103337
Relative waiting time, 0.8166676109002323
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:53,J1925+1721,5.083271446433485,0.3028146252210162,60.0,243,233.0,233.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:53,21/03/2017 13:08:27,B1923+04,5.089414278179983,0.07898390567164117,10.0,202,204.0,204.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:08:27,21/03/2017 13:18:14,J1935+1726,5.127191784395295,0.3044070442379886,349.0,322,238.0,238.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.353967465191015
21/03/2017 13:18:14,21/03/2017 13:27:52,B1920+21,5.074074361218049,0.3696315013074281,362.0,240,216.0,216.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1094075534598156
21/03/2017 13:27:52,21/03/2017 13:28:47,J1924+1639,5.079134397968815,0.29079491112092887,4.0,80,51.0,51.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5838836715554703
21/03/2017 13:28:47,21/03/2017 13:39:46,J1924+17,5.078908123303498,0.29670597283903605,0.0,659,659.0,659.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:46,21/03/2017 13:45:20,J1932+17,5.113814708343386,0.29670597283903605,0.0,635,334.0,334.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8998276808799752
21/03/2017 13:45:20,21/03/2017 13:46:24,J1933+0758,5.119589348339765,0.1390785491812607,7.0,104,57.0,57.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8148577015793665
21/03/2017 13:46:24,21/03/2017 13:54:13,J1922+1733,5.0740515992157205,0.3064190694959612,8.0,512,461.0,461.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:13,21/03/2017 13:59:14,J1932+1916,5.115247332771065,0.33645584655320687,1.0,620,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:59:14,21/03/2017 14:02:30,J1936+21,5.133376940376155,0.3700098014227979,1.0,133,195.0,195.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:02:30,21/03/2017 14:06:24,J1929+2121,5.101033007732561,0.372737751043665,1.0,517,233.0,233.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2210754192921414
21/03/2017 14:06:24,21/03/2017 14:08:49,J1931+1952,5.113513929935625,0.34679449830286774,1.0,257,144.0,144.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7875082031120395
21/03/2017 14:08:49,21/03/2017 14:12:21,J1935+2025,5.129954713323255,0.3565324659016339,0.0,656,212.0,212.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.099469913545217
21/03/2017 14:12:21,21/03/2017 14:15:47,J1934+19,5.122541354603357,0.33161255787892263,1.0,532,205.0,205.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.592825150919723
21/03/2017 14:15:47,21/03/2017 14:18:40,B1925+18,5.092756001921134,0.32932666137249117,1.0,123,172.0,172.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:18:40,21/03/2017 14:26:02,J1929+1955,5.1020025599486605,0.3476497581177131,0.0,327,442.0,442.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:26:02,21/03/2017 14:54:19,J1926+2016,5.0889484207138045,0.353725540132114,1.0,1244,1696.0,1696.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:54:19,21/03/2017 15:05:07,J1953+1846A,5.208789708472744,0.3277437447036685,1.0,700,647.0,647.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:05:07,21/03/2017 15:23:55,B1943+18,5.17316317511641,0.32414691200351686,3.0,768,1125.0,1125.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:23:55,21/03/2017 15:35:46,J1933+1726,5.118178031473371,0.3042690662643448,5.0,640,706.0,706.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:35:46,21/03/2017 15:47:29,J1924+1628,5.078908123303498,0.2873975501617329,3.0,1410,incomplete,700.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:47:29,21/03/2017 15:47:31,J1928+1746,5.09945595730928,0.3102304322500038,2.0,2072,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:47:31,21/03/2017 15:47:32,J1924+1628,5.078908123303498,0.2873975501617329,1.0,1410,incomplete,0.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:47:32,21/03/2017 15:52:33,J1918+1541,5.053288144325266,0.27379949603397263,1.0,692,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:52:33,21/03/2017 15:52:34,B1919+14,5.0675750459718305,0.24995587438332456,1.0,1410,incomplete,0.0,0,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:34,21/03/2017 15:52:35,B1914+13,5.0482681410642165,0.23062596506654248,1.0,5293,incomplete,0.0,0,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:35,21/03/2017 15:52:36,J1913+1145,5.034102612522718,0.205236660437781,1.0,1410,incomplete,0.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:52:36,21/03/2017 15:52:36,B1911+11,5.036010839171565,0.19840369641622319,0.0,844,incomplete,0.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:36,21/03/2017 15:52:36,B1910+10,5.029917458420539,0.18520658320274047,0.0,5293,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:36,21/03/2017 15:52:36,J1911+10,5.022184922613683,0.17453292519943295,0.0,1293,incomplete,0.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:36,21/03/2017 15:52:36,B1906+09,5.013368101009025,0.16180171793349657,0.0,322,incomplete,0.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:52:36,21/03/2017 15:52:36,J1907+0919,5.0057737371012845,0.1627039561940414,0.0,1244,incomplete,0.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
