Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 04:30:58,1490283058000
Duration,  2 days, 15 hours, 30 minutes, 58 seconds,228658000
Slew time, 0 day, 1 hour, 34 minutes, 35 seconds,5675000.0
Integration time, 1 day, 4 hours, 44 minutes, 23 seconds,1.03463E8
Waiting time, 1 day, 9 hours, 12 minutes, 0 second,1.1952E8
Relative slew time, 0.02481872490794112
Relative integration time, 0.45247924848463644
Relative waiting time, 0.5227020266074225
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:16,J1915+1410,5.042213739333153,0.24750465641163474,59.0,257,257.0,257.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:16,21/03/2017 13:11:07,B1855+09,4.963744815940518,0.16967128429110123,8.0,243,343.0,343.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:07,21/03/2017 13:12:54,J1736+05,4.611596216082018,0.10122909661567112,18.0,186,89.0,89.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:12:54,21/03/2017 13:14:28,J1828+0625,4.836600427146518,0.11199438440470835,9.0,135,85.0,85.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5875013596759693
21/03/2017 13:14:28,21/03/2017 13:17:42,J1848+0351,4.9249002701075195,0.0673682546859378,5.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:17:42,21/03/2017 13:20:19,J1901+0355,4.980792257741073,0.0686442842946181,1.0,231,156.0,156.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:20:19,21/03/2017 13:24:21,J1822+0705,4.809723083886327,0.12371960328234248,9.0,352,233.0,233.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.509192966820223
21/03/2017 13:24:21,21/03/2017 13:30:10,J1822+1120,4.809443831206008,0.19807644718147424,3.0,346,346.0,346.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:10,21/03/2017 13:30:29,J1645+1012,4.38764247506106,0.17810134781787157,19.0,532,incomplete,0.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 13:30:29,21/03/2017 13:37:43,J1907+0249,5.007788137946295,0.049358880873761855,32.0,402,402.0,402.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:37:43,21/03/2017 13:38:54,J1905+0616,4.996503057169056,0.1094549303430566,4.0,196,67.0,67.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.926617175781101
21/03/2017 13:38:54,21/03/2017 13:41:30,J1906+0725,5.000368306963755,0.1294452528562461,0.0,123,156.0,156.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:30,21/03/2017 13:44:27,J1904+0738,4.992189475922752,0.133477399760666,0.0,182,177.0,177.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:44:27,21/03/2017 13:49:47,J1903+0415,4.987278337573797,0.07417649320975901,3.0,570,317.0,317.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:49:47,21/03/2017 13:53:30,J1902+02,4.982915014443811,0.03490658503988659,3.0,481,220.0,220.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.186777812646626
21/03/2017 13:53:30,21/03/2017 13:59:50,J1910+0225,5.01857492722209,0.04229320628527147,1.0,575,379.0,379.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5152061022297778
21/03/2017 13:59:50,21/03/2017 14:07:28,J1848+0647,4.925901652765852,0.11854518686386041,8.0,450,450.0,450.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:07:28,21/03/2017 14:14:33,J1858+0241,4.969374895550943,0.0470172307940028,3.0,415,422.0,422.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:14:33,21/03/2017 14:19:28,J1842+1332,4.897827304527,0.23620849764178256,11.0,450,284.0,284.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5833199662728608
21/03/2017 14:19:28,21/03/2017 14:24:43,J1900+30,4.975497365122835,0.5390158506575821,15.0,234,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:24:43,21/03/2017 14:29:53,B1930+22,5.115468407809651,0.39003987865783835,10.0,178,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:29:53,21/03/2017 14:33:58,J1828+1359,4.838440876842745,0.24422663718818075,17.0,486,228.0,228.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:33:58,21/03/2017 14:36:41,J1935+1726,5.127191784395295,0.3044070442379886,12.0,322,151.0,151.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1270443739375797
21/03/2017 14:36:41,21/03/2017 14:37:42,J1839+15,4.882558582454136,0.2617993877991494,11.0,327,377.0,50.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:37:42,21/03/2017 14:38:26,J1853+0853,4.945250081965251,0.15512583354461823,6.0,47,38.0,38.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2352048775169315
21/03/2017 14:38:26,21/03/2017 14:39:00,J1901+0621,4.978985114744737,0.11092052210105073,2.0,50,32.0,32.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.5497932472999607
21/03/2017 14:39:00,21/03/2017 14:50:38,J1859+1526,4.9730531042274695,0.26941581072938026,7.0,598,691.0,691.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:50:38,21/03/2017 14:51:40,J1924+1639,5.079134397968815,0.29079491112092887,2.0,80,60.0,60.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.333738109491989
21/03/2017 14:51:40,21/03/2017 14:56:12,J1925+1721,5.083271446433485,0.3028146252210162,0.0,243,272.0,272.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:56:12,21/03/2017 15:03:50,J1929+1955,5.1020025599486605,0.3476497581177131,1.0,327,457.0,457.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:03:50,21/03/2017 15:08:55,B1918+26,5.06424546681339,0.4685161844053578,7.0,644,298.0,298.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1632006292785517
21/03/2017 15:08:55,21/03/2017 15:12:22,B1920+21,5.074074361218049,0.3696315013074281,4.0,240,203.0,203.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1807884266747106
21/03/2017 15:12:22,21/03/2017 15:19:41,J1853+0545,4.947892874063031,0.10062434002985507,17.0,422,422.0,422.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:19:41,21/03/2017 15:26:31,B1852+10,4.950141367193965,0.18811740454412218,4.0,581,406.0,406.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.432518526146206
21/03/2017 15:26:31,21/03/2017 15:29:22,B1907+10,5.016999389417493,0.19258423539502487,1.0,193,170.0,170.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1363148262950034
21/03/2017 15:29:22,21/03/2017 15:34:37,J1910+1027,5.017821599483698,0.18238690683340741,0.0,427,315.0,315.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:34:37,21/03/2017 15:39:37,B1848+04,4.935158297342012,0.07510733547748931,8.0,647,292.0,292.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2147107494129727
21/03/2017 15:39:37,21/03/2017 15:41:52,J1938+2010,5.140601149038368,0.35222538115865676,18.0,606,404.0,117.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 2.6175157740342536
21/03/2017 15:41:52,21/03/2017 15:50:45,J1857+0143,4.963498808291791,0.030189347922690807,21.0,512,512.0,512.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:50:45,21/03/2017 15:54:47,J1919+0134,5.06026364356907,0.027617411344404718,2.0,240,240.0,240.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:54:47,21/03/2017 15:57:12,B1923+04,5.089414278179983,0.07898390567164117,2.0,202,143.0,143.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:57:12,21/03/2017 16:00:56,J2017+0603,5.311815405568848,0.1056194170803032,8.0,518,639.0,216.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:00:56,21/03/2017 16:03:09,J1902+0248,4.986570024785696,0.04914071471726257,14.0,273,incomplete,119.0,0,1800,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:03:09,21/03/2017 16:03:11,J1856+0102,4.958807872316796,0.01808645918747235,2.0,481,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:03:11,21/03/2017 16:03:16,J1907+0602,5.008712435229331,0.10538346504909872,5.0,545,incomplete,0.0,0,20,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:03:16,21/03/2017 16:03:27,B1933+15,5.131378538382623,0.2724458962363148,11.0,575,incomplete,0.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:03:27,21/03/2017 16:05:29,J2036+2835,5.396439001167071,0.49892389241002033,18.0,133,104.0,104.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:05:29,21/03/2017 16:05:58,J1914+0631,5.03652862018299,0.11401023969076181,29.0,635,incomplete,0.0,0,600,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:05:58,21/03/2017 16:11:03,J2015+2524,5.302361172995289,0.44346537668874697,23.0,570,incomplete,282.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:11:03,21/03/2017 16:13:33,B2110+27,5.554829557919938,0.4869579635397153,9.0,166,141.0,141.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:13:33,21/03/2017 16:13:43,J2015+2524,5.302361172995289,0.44346537668874697,10.0,570,incomplete,0.0,0,1800,2,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:13:43,21/03/2017 16:21:54,B0052+51,0.24328275343242856,0.8951840760405984,301.0,354,incomplete,190.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIF-1  (PRN 25)
21/03/2017 16:21:54,21/03/2017 16:36:33,B0331+45,0.9393250842215719,0.8016562932307203,334.0,545,545.0,545.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:36:33,21/03/2017 16:42:00,J0538+2817,1.476625428940753,0.493681703887056,27.0,127,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:42:00,21/03/2017 16:45:00,B0052+51,0.24328275343242856,0.8951840760405984,57.0,354,313.0,123.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.0948093570970485
21/03/2017 16:45:00,21/03/2017 16:48:21,B2034+19,5.398488090430964,0.34409311647172536,59.0,167,142.0,142.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
