Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:08:34,1490195314000
Duration,  1 day, 15 hours, 8 minutes, 34 seconds,140914000
Slew time, 0 day, 1 hour, 10 minutes, 3 seconds,4203000.0
Integration time, 1 day, 0 hour, 4 minutes, 31 seconds,8.6671E7
Waiting time, 0 day, 13 hours, 54 minutes, 0 second,5.004E7
Relative slew time, 0.02982670281164398
Relative integration time, 0.6150630881246718
Relative waiting time, 0.35511020906368423
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:35,J1933+0758,5.119589348339765,0.1390785491812607,51.0,104,104.0,104.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:02:35,21/03/2017 13:03:38,J1758+3030,4.705544380834785,0.5324417771417368,31.0,85,32.0,32.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.6529573002591884
21/03/2017 13:03:38,21/03/2017 13:10:35,J1845+0623,4.909363203662161,0.11168943659929047,24.0,402,393.0,393.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0241616555909774
21/03/2017 13:10:35,21/03/2017 13:15:19,J1822+0705,4.809723083886327,0.12371960328234248,5.0,352,279.0,279.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2613850764320782
21/03/2017 13:15:19,21/03/2017 13:17:11,J1736+05,4.611596216082018,0.10122909661567112,9.0,186,103.0,103.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:17:11,21/03/2017 13:22:46,J1720+2150,4.537950593853073,0.38112560950327723,13.0,507,322.0,322.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.573030470652084
21/03/2017 13:22:46,21/03/2017 13:30:09,J1900+30,4.975497365122835,0.5390158506575821,338.0,234,105.0,105.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.234758870296697
21/03/2017 13:30:09,21/03/2017 13:39:25,J1843+2024,4.901915738299797,0.356311875676729,11.0,364,545.0,545.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:25,21/03/2017 13:44:31,J1901+1306,4.982098345797981,0.22887229701923306,6.0,407,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:44:31,21/03/2017 13:51:19,B0045+33,0.21191060557193486,0.5969413892765495,275.0,133,133.0,133.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:51:19,21/03/2017 13:57:13,J2021+4026,5.329798476057163,0.7059134451932209,54.0,402,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:57:13,21/03/2017 14:01:38,J1913+0617,5.0309115688736545,0.10966485466697704,36.0,399,229.0,229.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7397779881732278
21/03/2017 14:01:38,21/03/2017 14:05:04,J1904+0451,4.995960245227275,0.08491488838390511,3.0,211,203.0,203.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0383746068199515
21/03/2017 14:05:04,21/03/2017 14:10:05,J1907+0249,5.007788137946295,0.049358880873761855,1.0,402,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:10:05,21/03/2017 14:18:48,J1910+0728,5.01942722967348,0.1304977348765668,3.0,284,520.0,520.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:18:48,21/03/2017 14:22:22,J1853+0545,4.947892874063031,0.10062434002985507,5.0,422,509.0,209.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 2.0211246532862033
21/03/2017 14:22:22,21/03/2017 14:25:05,J1905+0616,4.996503057169056,0.1094549303430566,1.0,196,162.0,162.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2116217974257562
21/03/2017 14:25:05,21/03/2017 14:29:56,J1901+1306,4.982098345797981,0.22887229701923306,5.0,407,586.0,286.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.421558001331534
21/03/2017 14:29:56,21/03/2017 14:32:53,J1940+2246,5.1487212933832724,0.39735329303737565,12.0,165,165.0,165.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:32:53,21/03/2017 14:40:06,J1929+1955,5.1020025599486605,0.3476497581177131,4.0,327,429.0,429.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:40:06,21/03/2017 14:41:44,J1936+21,5.133376940376155,0.3700098014227979,0.0,133,98.0,98.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
