Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 06:19:23,1490203163000
Duration,  1 day, 17 hours, 19 minutes, 23 seconds,148763000
Slew time, 0 day, 1 hour, 4 minutes, 0 second,3840000.0
Integration time, 0 day, 19 hours, 46 minutes, 23 seconds,7.1183E7
Waiting time, 0 day, 20 hours, 29 minutes, 0 second,7.374E7
Relative slew time, 0.025812870135719233
Relative integration time, 0.4784993580392974
Relative waiting time, 0.49568777182498336
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:19,J1937+1505,5.136817420664149,0.2633459434418889,57.0,202,202.0,202.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:19,21/03/2017 13:09:14,J1842+1332,4.897827304527,0.23620849764178256,14.0,450,281.0,281.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6035250382946908
21/03/2017 13:09:14,21/03/2017 13:13:47,B1855+09,4.963744815940518,0.16967128429110123,4.0,243,269.0,269.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:13:47,21/03/2017 13:15:06,J1758+3030,4.705544380834785,0.5324417771417368,25.0,85,54.0,54.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5817041007185346
21/03/2017 13:15:06,21/03/2017 13:21:08,B1842+14,4.908367246068921,0.2601225142389278,18.0,231,344.0,344.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:08,21/03/2017 13:23:17,J1821+1715,4.805000731984796,0.301297449287352,6.0,194,123.0,123.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.5818546265853943
21/03/2017 13:23:17,21/03/2017 13:30:58,J1848+0647,4.925901652765852,0.11854518686386041,11.0,450,450.0,450.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:58,21/03/2017 13:38:01,J1853+0545,4.947892874063031,0.10062434002985507,1.0,422,422.0,422.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:38:01,21/03/2017 13:38:51,J1901+0621,4.978985114744737,0.11092052210105073,0.0,50,50.0,50.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:38:51,21/03/2017 13:42:48,J1909+0749,5.014054597181476,0.13658171024217847,2.0,402,235.0,235.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7142716654620727
21/03/2017 13:42:48,21/03/2017 13:49:41,J1738+0333,4.620320378054876,0.06201187154863972,19.0,613,394.0,394.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.556625168499685
21/03/2017 13:49:41,21/03/2017 13:56:08,B0045+33,0.21191060557193486,0.5969413892765495,254.0,133,133.0,133.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:56:08,21/03/2017 13:59:29,J2011+3331,5.284342539241804,0.5850956457177915,59.0,305,142.0,142.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1515231204362326
