Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 04:06:03,1490195163000
Duration,  1 day, 15 hours, 6 minutes, 3 seconds,140763000
Slew time, 0 day, 0 hour, 39 minutes, 3 seconds,2343000.0
Integration time, 0 day, 6 hours, 31 minutes, 0 second,2.346E7
Waiting time, 1 day, 7 hours, 56 minutes, 0 second,1.1496E8
Relative slew time, 0.016644999040941157
Relative integration time, 0.1666631145968756
Relative waiting time, 0.8166918863621833
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:08,J1925+1721,5.083271446433485,0.3028146252210162,60.0,243,368.0,368.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:07:08,21/03/2017 13:08:09,J1853+0853,4.945250081965251,0.15512583354461823,14.0,47,47.0,47.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:08:09,21/03/2017 13:11:40,B1842+14,4.908367246068921,0.2601225142389278,5.0,231,206.0,206.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:11:40,21/03/2017 13:14:25,J1848+0351,4.9249002701075195,0.0673682546859378,8.0,189,157.0,157.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.205195299389253
21/03/2017 13:14:25,21/03/2017 13:21:10,J1907+0249,5.007788137946295,0.049358880873761855,3.0,402,402.0,402.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:21:10,21/03/2017 13:26:14,J1909+0749,5.014054597181476,0.13658171024217847,4.0,402,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:26:14,21/03/2017 13:40:02,J1848+12,4.924010152189003,0.22398392067260564,8.0,598,820.0,820.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:40:02,21/03/2017 13:46:11,B1855+09,4.963744815940518,0.16967128429110123,3.0,243,366.0,366.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:46:11,21/03/2017 13:59:16,J1839+15,4.882558582454136,0.2617993877991494,8.0,327,777.0,777.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:59:16,21/03/2017 14:02:18,B1907+10,5.016999389417493,0.19258423539502487,5.0,193,177.0,177.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0893658326191358
21/03/2017 14:02:18,21/03/2017 14:07:04,J1934+19,5.122541354603357,0.33161255787892263,9.0,532,277.0,277.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.919723230271104
21/03/2017 14:07:04,21/03/2017 14:13:18,B1915+22,5.051580630540398,0.39060856510577985,5.0,364,369.0,369.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:13:18,21/03/2017 14:17:31,J1940+2246,5.1487212933832724,0.39735329303737565,3.0,165,250.0,250.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:17:31,21/03/2017 14:19:54,J1936+21,5.133376940376155,0.3700098014227979,2.0,133,141.0,141.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:19:54,21/03/2017 14:25:54,J0102+4839,0.2748893571891069,0.8377580409572782,290.0,255,incomplete,70.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 37 [+]
21/03/2017 14:25:54,21/03/2017 14:32:02,J2030+4415,5.370621727261309,0.7724929080199936,46.0,322,322.0,322.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:32:02,21/03/2017 14:39:28,J1855+0307,4.954308340783102,0.054494027384074065,45.0,613,401.0,401.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5285422668999287
21/03/2017 14:39:28,21/03/2017 14:42:14,J1901+0355,4.980792257741073,0.0686442842946181,0.0,231,166.0,166.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:42:14,21/03/2017 14:47:55,J1902+02,4.982915014443811,0.03490658503988659,1.0,481,340.0,340.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4153975316152643
21/03/2017 14:47:55,21/03/2017 14:52:56,J1902+0248,4.986570024785696,0.04914071471726257,1.0,273,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:52:56,21/03/2017 15:00:18,J0102+4839,0.2748893571891069,0.8377580409572782,270.0,255,242.0,172.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:00:18,21/03/2017 15:06:18,B2127+11H,5.628554774434979,0.21234562888799444,55.0,384,305.0,305.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2606128541532198
21/03/2017 15:06:18,21/03/2017 15:09:46,J2017+2043,5.31226867993834,0.36172869893576587,18.0,456,190.0,190.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3971881368653434
