Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 20:12:54,1490296374000
Duration,  2 days, 7 hours, 12 minutes, 54 seconds,198774000
Slew time, 0 day, 1 hour, 44 minutes, 56 seconds,6296000.0
Integration time, 1 day, 2 hours, 37 minutes, 58 seconds,9.5878E7
Waiting time, 1 day, 2 hours, 50 minutes, 0 second,9.66E7
Relative slew time, 0.03167416261684124
Relative integration time, 0.48234678579693524
Relative waiting time, 0.48597905158622356
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:02,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,139.0,139.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0467058959366717
21/03/2017 13:03:02,21/03/2017 13:19:57,B0540+23,1.4973223286090653,0.40988572669405726,38.0,844,977.0,977.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:19:57,21/03/2017 13:52:49,B0943+10,2.5574600417681577,0.1721815788460517,313.0,1368,1659.0,1659.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:52:49,21/03/2017 14:00:37,J0625+10,1.6831518973920316,0.17918713653808452,58.0,402,incomplete,410.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 45 [+]
21/03/2017 14:00:37,21/03/2017 14:15:38,J1342+2822B,3.587457889512921,0.4952863402087923,254.0,647,647.0,647.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:15:38,21/03/2017 14:21:20,J1342+2822D,3.5873933777804443,0.4952662640742576,2.0,374,incomplete,340.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 36 [-]
21/03/2017 14:21:20,21/03/2017 14:25:34,J1518+0204E,4.008003183100644,0.03635132980959301,36.0,402,218.0,218.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8433983174496131
21/03/2017 14:25:34,21/03/2017 14:27:49,J1012+5307,2.672785151988384,0.9270733295670593,81.0,118,54.0,54.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1666550158886713
21/03/2017 14:27:49,21/03/2017 14:38:47,J0848+16,2.3076888813973357,0.29176087329171874,392.0,547,266.0,266.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0529884550560284
21/03/2017 14:38:47,21/03/2017 14:52:40,J1627+1419,4.3079641222725975,0.24997332767584454,248.0,311,585.0,585.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:52:40,21/03/2017 15:20:56,J1238+21,3.30908390247795,0.3816991440880299,54.0,751,1642.0,1642.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:20:56,21/03/2017 15:23:02,J1549+2113,4.143770963894292,0.37043110451168204,36.0,346,incomplete,90.0,0,600,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite BEIDOU M4
21/03/2017 15:23:02,21/03/2017 15:24:00,J1736+05,4.611596216082018,0.10122909661567112,28.0,186,incomplete,30.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 50 [+]
