Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:00:49,1490194849000
Duration,  1 day, 3 hours, 0 minute, 49 seconds,97249000
Slew time, 0 day, 0 hour, 44 minutes, 43 seconds,2683000.0
Integration time, 0 day, 12 hours, 26 minutes, 6 seconds,4.4766E7
Waiting time, 0 day, 13 hours, 50 minutes, 0 second,4.98E7
Relative slew time, 0.02758897263725077
Relative integration time, 0.46032349947043155
Relative waiting time, 0.5120875278923177
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:46,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:46,21/03/2017 13:20:44,J0711+0931,1.8832233528712716,0.16621837056840444,17.0,659,881.0,881.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:20:44,21/03/2017 13:35:45,J0627+0649,1.6925060331513266,0.11923570698986471,13.0,1709,888.0,888.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.924334967869425
21/03/2017 13:35:45,21/03/2017 13:44:55,J0621+0336,1.6632421266719581,0.06305254025943692,6.0,427,544.0,544.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:44:55,21/03/2017 13:54:30,J1313+0931,3.4617878492785863,0.1663686628095484,241.0,334,334.0,334.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:54:30,21/03/2017 14:05:14,J0943+41,2.543817384781735,0.7182029871956666,60.0,450,584.0,584.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:05:14,21/03/2017 14:28:54,J1142+0119,3.0630528372500483,0.022980168484592004,327.0,1106,1093.0,1093.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:28:54,21/03/2017 14:34:55,J1627+1419,4.3079641222725975,0.24997332767584454,51.0,311,310.0,310.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:34:55,21/03/2017 14:38:20,J1645+1012,4.38764247506106,0.17810134781787157,5.0,532,200.0,200.0,3600,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.6611009266439813Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 16:07:20,21/03/2017 16:43:44,J1851+0232,4.934918460013967,0.04421500771718968,89.0,432,355.0,355.0,1740,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:14:44,21/03/2017 16:17:27,J1848+0351,4.9249002701075195,0.0673682546859378,88.0,189,75.0,75.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.5138580783231457
