Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 03:43:00,1490236980000
Duration,  1 day, 14 hours, 43 minutes, 0 second,139380000
Slew time, 0 day, 0 hour, 56 minutes, 7 seconds,3367000.0
Integration time, 0 day, 12 hours, 50 minutes, 53 seconds,4.6253E7
Waiting time, 1 day, 0 hour, 56 minutes, 0 second,8.976E7
Relative slew time, 0.024156980915482854
Relative integration time, 0.33184818481848183
Relative waiting time, 0.6439948342660353
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:54,B0523+11,1.4221850534626992,0.19644204329971776,76.0,118,98.0,98.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.202311718808641
21/03/2017 13:02:54,21/03/2017 13:05:12,J0533+0402,1.4548642856722165,0.07039737056551017,5.0,170,133.0,133.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:05:12,21/03/2017 13:11:10,J1012+5307,2.672785151988384,0.9270733295670593,285.0,118,73.0,73.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.626152198451478
21/03/2017 13:11:10,21/03/2017 13:38:19,J0627+0649,1.6925060331513266,0.11923570698986471,64.0,1709,1565.0,1565.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0919606096050969
21/03/2017 13:38:19,21/03/2017 13:53:21,J1342+2822B,3.587457889512921,0.4952863402087923,255.0,647,647.0,647.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:53:21,21/03/2017 14:23:01,B0823+26,2.2115782027959106,0.4646638064138933,75.0,1410,1705.0,1705.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:23:01,21/03/2017 14:30:48,J1627+1419,4.3079641222725975,0.24997332767584454,255.0,311,212.0,212.0,5640,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.Waited for more observables to rise above the horizon. 
21/03/2017 16:12:48,21/03/2017 16:37:47,J1544+4937,4.11930335455354,0.8662420785732818,89.0,1709,930.0,930.0,480,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:53:47,21/03/2017 17:24:43,J1641+3627D,4.370668057254633,0.6363518934139437,80.0,336,636.0,336.0,39720,600,2,0,2,0,Completed: Nominal time; scintillation good.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:44:43,22/03/2017 03:52:12,J1924+1628,5.078908123303498,0.2873975501617329,89.0,1410,incomplete,0.0,360,60,2,0,3,1,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:46:12,22/03/2017 03:52:41,J1924+1639,5.079134397968815,0.29079491112092887,89.0,80,incomplete,300.0,0,600,2,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 03:52:41,22/03/2017 03:52:49,J1913+0904,5.032443168014332,0.15846329092537628,8.0,1410,incomplete,0.0,0,5400,4,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:52:49,22/03/2017 03:52:58,J1932+17,5.113814708343386,0.29670597283903605,9.0,635,incomplete,0.0,0,5400,4,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 03:52:58,22/03/2017 03:52:58,J1933+1726,5.118178031473371,0.3042690662643448,0.0,640,incomplete,0.0,0,20,3,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:52:58,22/03/2017 03:52:58,J1935+1726,5.127191784395295,0.3044070442379886,0.0,322,incomplete,0.0,0,5400,3,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:53:58,22/03/2017 03:54:58,J1932+17,5.113814708343386,0.29670597283903605,0.0,635,incomplete,0.0,60,5400,5,0,1,1,Waited for more observables to rise above the horizon. Aborted: High scintillation; observed until object set.
22/03/2017 03:53:58,22/03/2017 03:55:27,J1913+0904,5.032443168014332,0.15846329092537628,89.0,1410,incomplete,0.0,0,5400,5,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 03:55:27,22/03/2017 03:55:29,J1907+0731,5.008716071331938,0.13129675630440343,2.0,1045,incomplete,0.0,0,60,3,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:55:29,22/03/2017 03:55:29,J1906+0649,5.001238789928187,0.11920647272489382,0.0,2072,incomplete,0.0,0,5400,4,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:55:29,22/03/2017 03:55:41,J1935+1726,5.127191784395295,0.3044070442379886,12.0,322,incomplete,0.0,0,5400,4,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 03:56:41,22/03/2017 03:57:51,J1913+0904,5.032443168014332,0.15846329092537628,10.0,1410,incomplete,0.0,420,5400,6,0,1,1,Waited for more observables to rise above the horizon. Aborted: High scintillation; observed until object set.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 04:03:51,22/03/2017 04:08:55,J1902+02,4.982915014443811,0.03490658503988659,89.0,481,283.0,155.0,60,1800,4,0,1,0,Completed: Shortened interval; scintillation of 2.278200844739666
22/03/2017 16:04:55,23/03/2017 04:11:49,J1856+0102,4.958807872316796,0.01808645918747235,89.0,481,505.0,505.0,43020,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:14:49,22/03/2017 16:38:49,B1853+01,4.957509565519468,0.021338104546674008,87.0,1106,1353.0,1353.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 16:38:49,22/03/2017 16:43:53,J1857+0143,4.963498808291791,0.030189347922690807,4.0,512,300.0,300.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.703989611844769
22/03/2017 16:43:53,22/03/2017 16:49:32,J1855+0307,4.954308340783102,0.054494027384074065,2.0,613,637.0,337.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.8173615951889872
22/03/2017 16:49:32,22/03/2017 16:50:40,J1904+0451,4.995960245227275,0.08491488838390511,1.0,211,97.0,67.0,0,600,4,0,1,0,Completed: Shortened interval; scintillation of 2.608203714660611
22/03/2017 16:50:40,22/03/2017 16:51:31,J1901+0621,4.978985114744737,0.11092052210105073,1.0,50,50.0,50.0,0,60,2,0,1,0,Completed: Shortened interval; scintillation of 1.0058832755341423
22/03/2017 16:51:31,22/03/2017 17:10:37,B1900+06,4.9865712610605835,0.10953594270917001,0.0,1358,1146.0,1146.0,0,600,3,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 17:10:37,22/03/2017 17:40:59,J1906+0649,5.001238789928187,0.11920647272489382,2.0,2072,1888.0,1820.0,0,5400,5,0,1,0,Completed: Shortened interval; scintillation of 1.1013982362162171
