Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 17:09:32,1490285372000
Duration,  2 days, 4 hours, 9 minutes, 32 seconds,187772000
Slew time, 0 day, 1 hour, 31 minutes, 26 seconds,5486000.0
Integration time, 1 day, 0 hour, 36 minutes, 6 seconds,8.8566E7
Waiting time, 1 day, 2 hours, 2 minutes, 0 second,9.372E7
Relative slew time, 0.029216283577956245
Relative integration time, 0.471667767292248
Relative waiting time, 0.49911594912979573
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:58,J0751+1807,2.055791112963893,0.3163826354449581,58.0,1039,660.0,660.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5752588575690922
21/03/2017 13:11:58,21/03/2017 13:32:10,J0627+0649,1.6925060331513266,0.11923570698986471,28.0,1709,1184.0,1184.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4439721850504827
21/03/2017 13:32:10,21/03/2017 13:39:15,J0621+0336,1.6632421266719581,0.06305254025943692,7.0,427,418.0,418.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:39:15,21/03/2017 13:44:48,J1046+0304,2.821850516285997,0.05355688253848934,283.0,768,incomplete,50.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIF-8  (PRN 03)
21/03/2017 13:44:48,21/03/2017 14:44:24,B0940+16,2.5460063185519446,0.2884495958497406,23.0,3073,3553.0,3553.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:44:24,21/03/2017 15:11:10,J0635+0533,1.724821633283396,0.09691910299060733,61.0,1039,1545.0,1545.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:11:10,21/03/2017 15:27:58,J1342+2822A,3.5874515554221773,0.49524687152701324,258.0,844,750.0,750.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:27:58,21/03/2017 15:48:26,J0943+41,2.543817384781735,0.7182029871956666,52.0,450,1176.0,1176.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:48:26,21/03/2017 16:00:11,J1342+2822D,3.5873933777804443,0.4952662640742576,315.0,374,390.0,390.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:00:11,21/03/2017 16:07:14,J0848+16,2.3076888813973357,0.29176087329171874,74.0,547,349.0,349.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.569235463154904
21/03/2017 16:07:14,21/03/2017 16:17:43,J1313+0931,3.4617878492785863,0.1663686628095484,295.0,334,334.0,334.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:17:43,21/03/2017 16:22:01,J1549+2113,4.143770963894292,0.37043110451168204,35.0,346,223.0,223.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5515537309080418
21/03/2017 16:22:01,21/03/2017 16:56:12,J1612+2008,4.242854105472584,0.351481822415939,4.0,2597,2047.0,2047.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:56:12,21/03/2017 17:00:26,J1627+1419,4.3079641222725975,0.24997332767584454,7.0,311,247.0,247.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:00:26,21/03/2017 17:09:24,J1645+1012,4.38764247506106,0.17810134781787157,6.0,532,532.0,532.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:09:24,21/03/2017 17:14:51,J1640+2224,4.364540848022992,0.3909966186058234,11.0,395,316.0,316.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:14:51,21/03/2017 18:04:08,J1649+2533,4.4058095345230175,0.4459655608422289,3.0,2597,2954.0,2954.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:04:08,21/03/2017 18:15:59,J1746+2540,4.651802057063271,0.4481496464756274,1.0,640,710.0,710.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:15:59,21/03/2017 19:31:51,J1746+2245,4.651363543088708,0.39720251598255063,3.0,3754,4549.0,4549.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:31:51,21/03/2017 20:02:59,J1849+2423,4.928713545451534,0.4257923472159776,3.0,1096,1865.0,1865.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:02:59,21/03/2017 20:43:14,J1923+2515,5.076180559836729,0.4408925499925424,1.0,2414,2414.0,2414.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:43:14,21/03/2017 20:48:27,J1952+2630,5.203760258617119,0.46264835352319517,2.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:48:27,21/03/2017 20:55:08,J1953+2732,5.206011726079986,0.4807810009100669,1.0,456,400.0,400.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1408850320437824
21/03/2017 20:55:08,21/03/2017 21:16:30,J1954+2836,5.211200444502061,0.49919325489124483,1.0,1358,1281.0,1281.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:16:30,21/03/2017 21:30:29,J2010+2845,5.279989542643227,0.5019235800991494,1.0,581,838.0,838.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:30:29,21/03/2017 21:32:34,J2036+2835,5.396439001167071,0.49892389241002033,2.0,133,123.0,123.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:32:34,21/03/2017 21:42:41,J2028+3332,5.359605063578616,0.5852882137119282,4.0,165,603.0,603.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:42:41,21/03/2017 22:10:05,J2038+35,5.40179403492245,0.6108652381980153,1.0,1643,1643.0,1643.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:10:05,21/03/2017 22:23:48,J2111+40,5.545783698211982,0.6981317007977318,4.0,581,819.0,819.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:23:48,21/03/2017 22:27:31,J2111+4606,5.547538481330759,0.8047485318515732,4.0,387,219.0,219.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7691187289169557
21/03/2017 22:27:31,21/03/2017 22:36:24,J2044+4614,5.432250030369751,0.8071856902265109,4.0,529,529.0,529.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:36:24,21/03/2017 22:41:49,J2030+4415,5.370621727261309,0.7724929080199936,3.0,322,322.0,322.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:41:49,21/03/2017 22:46:53,J2021+4026,5.329798476057163,0.7059134451932209,4.0,402,300.0,300.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3412681978074514
21/03/2017 22:46:53,21/03/2017 23:04:53,B2011+38,5.293464866187613,0.6765250579530913,2.0,881,1078.0,1078.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 23:04:53,21/03/2017 23:05:41,B2027+37,5.364260147581895,0.6586105136969403,1.0,47,47.0,47.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:05:41,21/03/2017 23:13:02,J2021+3651,5.32801460411752,0.6431771004166037,1.0,575,440.0,440.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
