Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:00:51,1490194851000
Duration,  1 day, 3 hours, 0 minute, 51 seconds,97251000
Slew time, 0 day, 0 hour, 56 minutes, 0 second,3360000.0
Integration time, 0 day, 14 hours, 3 minutes, 51 seconds,5.0631E7
Waiting time, 0 day, 12 hours, 1 minute, 0 second,4.326E7
Relative slew time, 0.034549773267112935
Relative integration time, 0.520621895918808
Relative waiting time, 0.444828330814079
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:46,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:46,21/03/2017 13:14:02,J0711+0931,1.8832233528712716,0.16621837056840444,17.0,659,479.0,479.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:14:02,21/03/2017 13:22:37,J0625+10,1.6831518973920316,0.17918713653808452,10.0,402,505.0,505.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:37,21/03/2017 13:23:33,J0623+0340,1.6745531692218207,0.0640283732367742,7.0,82,49.0,49.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6617902017322046
21/03/2017 13:23:33,21/03/2017 13:42:49,J1142+0119,3.0630528372500483,0.022980168484592004,256.0,1106,900.0,900.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:42:49,21/03/2017 13:51:40,J0943+41,2.543817384781735,0.7182029871956666,45.0,450,486.0,486.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:51:40,21/03/2017 14:03:18,J0751+1807,2.055791112963893,0.3163826354449581,35.0,1039,963.0,663.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.5661902719957588
21/03/2017 14:03:18,21/03/2017 14:11:02,B1133+16,3.0371090778789545,0.27665640609401493,301.0,192,163.0,163.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:00:02,21/03/2017 18:01:43,J1842+0257,4.897897844917602,0.05177228337832513,72.0,1039,689.0,689.0,6540,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:12:43,21/03/2017 16:32:42,J1544+4937,4.11930335455354,0.8662420785732818,89.0,1709,incomplete,1110.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0212 (PRN E03)
21/03/2017 16:32:42,21/03/2017 16:38:46,J1629+43,4.3153265755559795,0.7676539826688393,6.0,405,358.0,358.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:38:46,21/03/2017 16:52:16,J1544+4937,4.11930335455354,0.8662420785732818,10.0,1709,incomplete,800.0,0,600,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2433 (720)
21/03/2017 16:52:16,21/03/2017 17:00:08,J1843+2024,4.901915738299797,0.356311875676729,43.0,364,429.0,429.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:00:08,21/03/2017 17:04:24,B1842+14,4.908367246068921,0.2601225142389278,4.0,231,252.0,252.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:04:24,21/03/2017 17:08:04,J1839+15,4.882558582454136,0.2617993877991494,1.0,327,219.0,219.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:08:04,21/03/2017 17:31:35,J1859+1526,4.9730531042274695,0.26941581072938026,3.0,598,1408.0,1408.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:31:35,21/03/2017 17:36:35,J1918+1541,5.053288144325266,0.27379949603397263,0.0,692,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:36:35,21/03/2017 18:07:07,J1924+1628,5.078908123303498,0.2873975501617329,0.0,1410,1832.0,1832.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:07:07,21/03/2017 18:52:39,J1928+1746,5.09945595730928,0.3102304322500038,4.0,2072,2728.0,2728.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:52:39,21/03/2017 19:03:06,J1932+1916,5.115247332771065,0.33645584655320687,7.0,620,620.0,620.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:03:06,21/03/2017 19:10:08,J1934+19,5.122541354603357,0.33161255787892263,1.0,532,421.0,421.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2645024171642907
21/03/2017 19:10:08,21/03/2017 19:21:05,J1935+2025,5.129954713323255,0.3565324659016339,1.0,656,656.0,656.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:21:05,21/03/2017 19:26:06,J1938+2010,5.140601149038368,0.35222538115865676,1.0,606,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:26:06,21/03/2017 19:34:03,J1938+2012,5.1399946471233005,0.35255650890285456,0.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:34:03,21/03/2017 19:38:30,J1929+1955,5.1020025599486605,0.3476497581177131,2.0,327,265.0,265.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:38:30,21/03/2017 19:42:47,J1931+1952,5.113513929935625,0.34679449830286774,0.0,257,257.0,257.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:42:47,21/03/2017 19:47:47,J1938+2010,5.140601149038368,0.35222538115865676,0.0,606,incomplete,300.0,0,600,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:47:47,21/03/2017 19:50:55,J1936+21,5.133376940376155,0.3700098014227979,1.0,133,187.0,187.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:50:55,21/03/2017 20:01:08,B1937+21,5.147162220796673,0.37669599430801487,0.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:01:08,21/03/2017 20:06:09,J1944+2236,5.16625244940447,0.3945540758053855,1.0,186,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:06:09,21/03/2017 20:09:20,J1940+2246,5.1487212933832724,0.39735329303737565,1.0,165,190.0,190.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:09:20,21/03/2017 20:11:52,J1944+2236,5.16625244940447,0.3945540758053855,0.0,186,452.0,152.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.2247508883400982
21/03/2017 20:11:52,21/03/2017 20:14:47,B1930+22,5.115468407809651,0.39003987865783835,2.0,178,173.0,173.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.027404447761942
21/03/2017 20:14:47,21/03/2017 20:16:47,J1935+2154,5.126590518467983,0.3821698981723873,0.0,192,120.0,120.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5957503582561678
21/03/2017 20:16:47,21/03/2017 20:23:16,J1929+2121,5.101033007732561,0.372737751043665,1.0,517,388.0,388.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3323874062301104
21/03/2017 20:23:16,21/03/2017 20:28:16,J1938+2010,5.140601149038368,0.35222538115865676,1.0,606,899.0,299.0,0,600,3,0,1,0,Completed: Shortened interval; scintillation of 2.0278672967714457
21/03/2017 20:28:16,21/03/2017 20:29:58,B1925+18,5.092756001921134,0.32932666137249117,3.0,123,99.0,99.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:29:58,21/03/2017 20:48:00,J1922+1733,5.0740515992157205,0.3064190694959612,1.0,512,1081.0,1081.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:48:00,21/03/2017 20:49:23,J1924+1639,5.079134397968815,0.29079491112092887,3.0,80,80.0,80.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
