Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 17:04:22,1490371462000
Duration,  3 days, 4 hours, 4 minutes, 22 seconds,273862000
Slew time, 0 day, 3 hours, 19 minutes, 50 seconds,1.199E7
Integration time, 1 day, 7 hours, 3 minutes, 32 seconds,1.11812E8
Waiting time, 1 day, 17 hours, 41 minutes, 0 second,1.5006E8
Relative slew time, 0.04378117446012955
Relative integration time, 0.4082786220797336
Relative waiting time, 0.5479402034601368
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:24,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,96.0,96.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.0897216010416177
21/03/2017 13:02:24,21/03/2017 13:04:30,J0633+0632,1.7180010320107069,0.11419737777167009,27.0,263,99.0,99.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.65795756731051
21/03/2017 13:04:30,21/03/2017 13:05:41,J0627+0649,1.6925060331513266,0.11923570698986471,1.0,1709,incomplete,70.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 13:05:41,21/03/2017 13:08:29,J0533+0402,1.4548642856722165,0.07039737056551017,11.0,170,157.0,157.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:08:29,21/03/2017 13:19:21,J0848+16,2.3076888813973357,0.29176087329171874,308.0,547,344.0,344.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5898464794411302
21/03/2017 13:19:21,21/03/2017 13:24:11,B0626+24,1.6977492494792945,0.42345226793254537,28.0,609,262.0,262.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3208113618283672
21/03/2017 13:24:11,21/03/2017 13:24:24,J0517+22,1.3839006527271704,0.38862664677740405,13.0,477,incomplete,0.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 13:24:24,21/03/2017 13:30:56,J1518+0204E,4.008003183100644,0.03635132980959301,216.0,402,176.0,176.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.286659752717928
21/03/2017 13:30:56,21/03/2017 13:36:01,B1257+12,3.4036521463529263,0.22134882305275824,34.0,352,271.0,271.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3010566203089144
21/03/2017 13:36:01,21/03/2017 13:38:44,B1133+16,3.0371090778789545,0.27665640609401493,24.0,192,139.0,139.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
