Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 00:26:16,1490225176000
Duration,  1 day, 11 hours, 26 minutes, 16 seconds,127576000
Slew time, 0 day, 2 hours, 31 minutes, 57 seconds,9117000.0
Integration time, 1 day, 1 hour, 40 minutes, 19 seconds,9.2419E7
Waiting time, 0 day, 7 hours, 14 minutes, 0 second,2.604E7
Relative slew time, 0.07146328463033799
Relative integration time, 0.7244230889822537
Relative waiting time, 0.2041136263874083
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:14:05,J0751+1807,2.055791112963893,0.3163826354449581,58.0,1039,787.0,787.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3205708027080125
21/03/2017 13:14:05,21/03/2017 13:27:50,J0627+0649,1.6925060331513266,0.11923570698986471,29.0,1709,796.0,796.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.146828630887016
21/03/2017 13:27:50,21/03/2017 13:33:15,J0621+0336,1.6632421266719581,0.06305254025943692,6.0,427,319.0,319.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:33:15,21/03/2017 13:44:46,J1046+0304,2.821850516285997,0.05355688253848934,281.0,768,incomplete,410.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIF-8  (PRN 03)
21/03/2017 13:44:46,21/03/2017 13:49:00,J0605+37,1.5926129424448257,0.6457718232379019,57.0,284,197.0,197.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:49:00,21/03/2017 14:21:09,J0557+1550,1.5599934063134906,0.2763731100675954,18.0,4182,incomplete,1911.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:09,21/03/2017 14:29:16,J0740+41,2.011491962923465,0.7167485461523381,330.0,473,incomplete,157.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 14:29:16,21/03/2017 14:39:07,J0711+0931,1.8832233528712716,0.16621837056840444,29.0,659,562.0,562.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:39:07,21/03/2017 14:52:55,J0635+0533,1.724821633283396,0.09691910299060733,10.0,1039,818.0,818.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:52:55,21/03/2017 14:53:30,J0623+0340,1.6745531692218207,0.0640283732367742,5.0,82,30.0,30.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.773605330269368
