Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 17:37:49,1490287069000
Duration,  2 days, 4 hours, 37 minutes, 49 seconds,189469000
Slew time, 0 day, 2 hours, 16 minutes, 26 seconds,8186000.0
Integration time, 1 day, 3 hours, 31 minutes, 23 seconds,9.9083E7
Waiting time, 0 day, 22 hours, 50 minutes, 0 second,8.22E7
Relative slew time, 0.04320495701143723
Relative integration time, 0.5229509840659949
Relative waiting time, 0.43384405892256783
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:40,J0751+1807,2.055791112963893,0.3163826354449581,58.0,1039,462.0,462.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2510470441978705
21/03/2017 13:08:40,21/03/2017 13:37:37,J0627+0649,1.6925060331513266,0.11923570698986471,28.0,1709,1709.0,1709.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:37:37,21/03/2017 13:43:34,J0621+0336,1.6632421266719581,0.06305254025943692,8.0,427,349.0,349.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:43:34,21/03/2017 14:01:05,J1046+0304,2.821850516285997,0.05355688253848934,283.0,768,768.0,768.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:01:05,21/03/2017 14:07:42,J0605+37,1.5926129424448257,0.6457718232379019,60.0,284,337.0,337.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:07:42,21/03/2017 14:21:05,J0557+1550,1.5599934063134906,0.2763731100675954,18.0,4182,incomplete,785.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:05,21/03/2017 14:29:16,J0740+41,2.011491962923465,0.7167485461523381,328.0,473,incomplete,163.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 14:29:16,21/03/2017 14:40:46,J0711+0931,1.8832233528712716,0.16621837056840444,29.0,659,661.0,661.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:40:46,21/03/2017 14:59:47,J0635+0533,1.724821633283396,0.09691910299060733,10.0,1039,1131.0,1131.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:59:47,21/03/2017 15:01:06,J0623+0340,1.6745531692218207,0.0640283732367742,5.0,82,74.0,74.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1116523193442258
21/03/2017 15:01:06,21/03/2017 15:24:26,J1342+2822A,3.5874515554221773,0.49524687152701324,251.0,844,1149.0,1149.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:24:26,21/03/2017 15:29:47,B1541+09,4.117437145251993,0.16559460443815205,32.0,512,289.0,289.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.769488395317314
21/03/2017 15:29:47,21/03/2017 15:32:19,J1342+2822B,3.587457889512921,0.4952863402087923,39.0,647,453.0,113.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:32:19,21/03/2017 15:36:55,B1133+16,3.0371090778789545,0.27665640609401493,34.0,192,242.0,242.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:36:55,21/03/2017 15:52:03,B1810+02,4.768616725733095,0.04274660403984512,259.0,613,649.0,649.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:52:03,21/03/2017 15:54:17,J1807+04,4.744750293598751,0.07126761112310179,4.0,165,130.0,130.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:54:17,21/03/2017 16:02:56,J1738+0333,4.620320378054876,0.06201187154863972,6.0,613,613.0,513.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:02:56,21/03/2017 16:16:32,J1649+2533,4.4058095345230175,0.4459655608422289,26.0,2597,incomplete,790.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
