Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 22:49:20,1490219360000
Duration,  1 day, 9 hours, 49 minutes, 20 seconds,121760000
Slew time, 0 day, 2 hours, 24 minutes, 50 seconds,8690000.0
Integration time, 0 day, 17 hours, 6 minutes, 30 seconds,6.159E7
Waiting time, 0 day, 14 hours, 18 minutes, 0 second,5.148E7
Relative slew time, 0.07136990801576873
Relative integration time, 0.5058311432325887
Relative waiting time, 0.4227989487516426
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:27,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,284.0,284.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:27,21/03/2017 13:07:29,J0623+0340,1.6745531692218207,0.0640283732367742,40.0,82,82.0,82.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:07:29,21/03/2017 13:10:12,J0635+0533,1.724821633283396,0.09691910299060733,3.0,1039,incomplete,160.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 13:10:12,21/03/2017 13:36:16,J1142+0119,3.0630528372500483,0.022980168484592004,258.0,1106,1306.0,1306.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:36:16,21/03/2017 13:44:47,J1046+0304,2.821850516285997,0.05355688253848934,31.0,768,incomplete,480.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GPS BIIF-8  (PRN 03)
21/03/2017 13:44:47,21/03/2017 14:37:44,B0940+16,2.5460063185519446,0.2884495958497406,24.0,3073,3153.0,3153.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:44,21/03/2017 14:45:48,J1313+0931,3.4617878492785863,0.1663686628095484,308.0,334,176.0,176.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8968083910288702
21/03/2017 14:45:48,21/03/2017 14:50:14,B1257+12,3.4036521463529263,0.22134882305275824,8.0,352,258.0,258.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.365084953801638
21/03/2017 14:50:14,21/03/2017 15:22:42,J1238+21,3.30908390247795,0.3816991440880299,11.0,751,1937.0,1937.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:22:42,21/03/2017 15:28:48,J1627+1419,4.3079641222725975,0.24997332767584454,46.0,311,320.0,320.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
