Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:08:15,1490281695000
Duration,  2 days, 3 hours, 8 minutes, 15 seconds,184095000
Slew time, 0 day, 2 hours, 23 minutes, 54 seconds,8634000.0
Integration time, 1 day, 1 hour, 32 minutes, 21 seconds,9.1941E7
Waiting time, 0 day, 23 hours, 12 minutes, 0 second,8.352E7
Relative slew time, 0.046899698525217956
Relative integration time, 0.4994214943371629
Relative waiting time, 0.45367880713761916
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:18:17,J0751+1807,2.055791112963893,0.3163826354449581,58.0,1039,1039.0,1039.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:18:17,21/03/2017 13:36:07,J0627+0649,1.6925060331513266,0.11923570698986471,29.0,1709,1041.0,1041.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6416983942429557
21/03/2017 13:36:07,21/03/2017 13:42:40,J0621+0336,1.6632421266719581,0.06305254025943692,6.0,427,387.0,387.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:42:40,21/03/2017 14:00:11,J1046+0304,2.821850516285997,0.05355688253848934,283.0,768,768.0,768.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:00:11,21/03/2017 14:08:36,J0605+37,1.5926129424448257,0.6457718232379019,60.0,284,445.0,445.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:08:36,21/03/2017 14:21:05,J0557+1550,1.5599934063134906,0.2763731100675954,19.0,4182,incomplete,730.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:21:05,21/03/2017 14:29:16,J0740+41,2.011491962923465,0.7167485461523381,328.0,473,incomplete,163.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 14:29:16,21/03/2017 14:36:22,J0711+0931,1.8832233528712716,0.16621837056840444,29.0,659,397.0,397.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:36:22,21/03/2017 14:57:38,J0635+0533,1.724821633283396,0.09691910299060733,9.0,1039,1267.0,1267.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:57:38,21/03/2017 15:07:58,J1518+0204E,4.008003183100644,0.03635132980959301,218.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:07:58,21/03/2017 15:11:24,J1313+0931,3.4617878492785863,0.1663686628095484,39.0,334,167.0,167.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.003541784828535
21/03/2017 15:11:24,21/03/2017 15:26:11,J1238+21,3.30908390247795,0.3816991440880299,15.0,751,872.0,872.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
