Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:04:53,1490195093000
Duration,  1 day, 3 hours, 4 minutes, 53 seconds,97493000
Slew time, 0 day, 0 hour, 44 minutes, 41 seconds,2681000.0
Integration time, 0 day, 15 hours, 56 minutes, 12 seconds,5.7372E7
Waiting time, 0 day, 10 hours, 24 minutes, 0 second,3.744E7
Relative slew time, 0.02749941021406665
Relative integration time, 0.5884730185756926
Relative waiting time, 0.3840275712102407
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:46,J0815+0939,2.160483158072796,0.16867007335377535,48.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:46,21/03/2017 13:11:14,J0633+0632,1.7180010320107069,0.11419737777167009,28.0,263,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:11:14,21/03/2017 13:17:00,J0621+0336,1.6632421266719581,0.06305254025943692,5.0,427,341.0,341.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:17:00,21/03/2017 13:26:41,B1133+16,3.0371090778789545,0.27665640609401493,266.0,192,315.0,315.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:41,21/03/2017 13:35:14,J0943+41,2.543817384781735,0.7182029871956666,33.0,450,480.0,480.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:14,21/03/2017 13:43:38,J1518+0204E,4.008003183100644,0.03635132980959301,274.0,402,incomplete,230.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 13:43:38,21/03/2017 14:49:42,B0940+16,2.5460063185519446,0.2884495958497406,94.0,3073,3870.0,3870.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:49:42,21/03/2017 15:08:36,J1342+2822A,3.5874515554221773,0.49524687152701324,315.0,844,1179.0,819.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:08:36,21/03/2017 15:13:01,J1549+2113,4.143770963894292,0.37043110451168204,25.0,346,240.0,240.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.441975637092149
21/03/2017 15:13:01,21/03/2017 15:59:50,J1612+2008,4.242854105472584,0.351481822415939,3.0,2597,2806.0,2806.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:59:50,21/03/2017 16:06:31,J1640+2224,4.364540848022992,0.3909966186058234,4.0,395,397.0,397.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:06:31,21/03/2017 16:16:33,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,600.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 16:16:33,21/03/2017 16:25:05,J1720+2150,4.537950593853073,0.38112560950327723,5.0,507,507.0,507.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:25:05,21/03/2017 17:40:47,J1746+2245,4.651363543088708,0.39720251598255063,3.0,3754,4539.0,4539.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:40:47,21/03/2017 17:50:04,B1915+22,5.051580630540398,0.39060856510577985,2.0,364,555.0,555.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:50:04,21/03/2017 17:52:32,B1925+22,5.092585686874961,0.39414043277266275,0.0,354,148.0,148.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3958290159853806
21/03/2017 17:52:32,21/03/2017 17:58:58,J1929+2121,5.101033007732561,0.372737751043665,0.0,517,386.0,386.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.339252367898203
21/03/2017 17:58:58,21/03/2017 18:03:58,J1935+2025,5.129954713323255,0.3565324659016339,0.0,656,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:03:58,21/03/2017 18:08:58,J1938+2010,5.140601149038368,0.35222538115865676,0.0,606,300.0,300.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0216914662587127
21/03/2017 18:08:58,21/03/2017 18:15:57,J1938+2012,5.1399946471233005,0.35255650890285456,0.0,477,419.0,419.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1394506085588023
21/03/2017 18:15:57,21/03/2017 18:26:11,B1937+21,5.147162220796673,0.37669599430801487,1.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:26:11,21/03/2017 18:27:31,J1944+2236,5.16625244940447,0.3945540758053855,1.0,186,79.0,79.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.3419325954101904
21/03/2017 18:27:31,21/03/2017 18:31:27,J1940+2246,5.1487212933832724,0.39735329303737565,0.0,165,236.0,236.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:31:27,21/03/2017 19:27:57,J1949+2306,5.188523526975002,0.40344012880370594,1.0,2597,3389.0,3389.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:27:57,21/03/2017 19:30:51,B2034+19,5.398488090430964,0.34409311647172536,3.0,167,171.0,171.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
