Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:01:00,1490194860000
Duration,  1 day, 3 hours, 1 minute, 0 second,97260000
Slew time, 0 day, 0 hour, 25 minutes, 22 seconds,1522000.0
Integration time, 0 day, 20 hours, 28 minutes, 38 seconds,7.3718E7
Waiting time, 0 day, 6 hours, 7 minutes, 0 second,2.202E7
Relative slew time, 0.01564877647542669
Relative integration time, 0.7579477688669546
Relative waiting time, 0.22640345465761874
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:37:27,J1022+1001,2.718204916782272,0.17507964958762018,43.0,3754,2204.0,2204.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:37:27,21/03/2017 13:43:02,J0633+0632,1.7180010320107069,0.11419737777167009,77.0,263,258.0,258.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0176074353846836
21/03/2017 13:43:02,21/03/2017 13:52:22,J1313+0931,3.4617878492785863,0.1663686628095484,244.0,334,316.0,316.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0554314658657435
21/03/2017 13:52:22,21/03/2017 14:39:58,J1342+2822A,3.5874515554221773,0.49524687152701324,17.0,844,2839.0,2839.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:39:58,21/03/2017 14:43:49,B1133+16,3.0371090778789545,0.27665640609401493,38.0,192,193.0,193.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:43:49,21/03/2017 14:50:13,J1342+2822D,3.5873933777804443,0.4952662640742576,28.0,374,356.0,356.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:50:13,21/03/2017 14:56:25,J1549+2113,4.143770963894292,0.37043110451168204,26.0,346,346.0,346.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:56:25,21/03/2017 15:02:27,J1640+2224,4.364540848022992,0.3909966186058234,8.0,395,354.0,354.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:27,21/03/2017 15:05:59,J1738+0333,4.620320378054876,0.06201187154863972,22.0,613,incomplete,190.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 83 [+]
21/03/2017 15:05:59,21/03/2017 15:16:25,J1739+0612,4.622065719044209,0.10834810070908354,2.0,366,624.0,624.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:16:25,21/03/2017 15:49:19,J1649+2533,4.4058095345230175,0.4459655608422289,24.0,2597,incomplete,1950.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:49:19,21/03/2017 15:54:16,J1720+2150,4.537950593853073,0.38112560950327723,2.0,507,295.0,295.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7203637884359457
21/03/2017 15:54:16,21/03/2017 16:10:24,J1649+2533,4.4058095345230175,0.4459655608422289,8.0,2597,2910.0,960.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:10:24,21/03/2017 16:25:54,J1746+2540,4.651802057063271,0.4481496464756274,7.0,640,923.0,923.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:25:54,21/03/2017 16:38:56,J1741+2758,4.633377197926385,0.48815404737238066,4.0,1116,778.0,778.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:38:56,21/03/2017 16:40:00,J1758+3030,4.705544380834785,0.5324417771417368,2.0,85,62.0,62.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3767543026261913
21/03/2017 16:40:00,21/03/2017 17:48:09,J1746+2245,4.651363543088708,0.39720251598255063,7.0,3754,4082.0,4082.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:48:09,21/03/2017 18:05:10,J1849+2423,4.928713545451534,0.4257923472159776,1.0,1096,1020.0,1020.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:05:10,21/03/2017 18:24:11,B1915+22,5.051580630540398,0.39060856510577985,3.0,364,1138.0,1138.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:24:11,21/03/2017 18:27:09,B1930+22,5.115468407809651,0.39003987865783835,0.0,178,178.0,178.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:27:09,21/03/2017 18:29:50,J1935+2154,5.126590518467983,0.3821698981723873,0.0,192,161.0,161.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1946012357819007
21/03/2017 18:29:50,21/03/2017 18:32:09,J1936+21,5.133376940376155,0.3700098014227979,0.0,133,139.0,139.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:32:09,21/03/2017 18:42:15,J1938+2010,5.140601149038368,0.35222538115865676,0.0,606,606.0,606.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:42:15,21/03/2017 18:47:05,J1938+2012,5.1399946471233005,0.35255650890285456,1.0,477,289.0,289.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6509742157260618
21/03/2017 18:47:05,21/03/2017 18:52:06,J1935+2025,5.129954713323255,0.3565324659016339,1.0,656,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:52:06,21/03/2017 18:57:07,J1931+1952,5.113513929935625,0.34679449830286774,1.0,257,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:57:07,21/03/2017 19:01:25,J1929+1955,5.1020025599486605,0.3476497581177131,1.0,327,257.0,257.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:01:25,21/03/2017 19:06:34,J1932+1916,5.115247332771065,0.33645584655320687,0.0,620,309.0,309.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.009353622848487
