Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:00:10,1490194810000
Duration,  1 day, 3 hours, 0 minute, 10 seconds,97210000
Slew time, 0 day, 0 hour, 22 minutes, 36 seconds,1356000.0
Integration time, 0 day, 2 hours, 1 minute, 34 seconds,7294000.0
Waiting time, 1 day, 0 hour, 36 minutes, 0 second,8.856E7
Relative slew time, 0.013949182182902994
Relative integration time, 0.07503343277440593
Relative waiting time, 0.911017385042691
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:09:00,J0453+1559,1.2817562530918758,0.27906508796776525,85.0,455,455.0,455.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:00,21/03/2017 13:26:13,J0627+0649,1.6925060331513266,0.11923570698986471,21.0,1709,1012.0,1012.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6894648105020984
21/03/2017 13:26:13,21/03/2017 13:40:14,J0635+0533,1.724821633283396,0.09691910299060733,2.0,1039,839.0,839.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:40:14,21/03/2017 13:49:19,J0815+0939,2.160483158072796,0.16867007335377535,338.0,298,207.0,207.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4400020878142028
21/03/2017 13:49:19,21/03/2017 14:00:04,J1342+2822D,3.5873933777804443,0.4952662640742576,276.0,374,369.0,369.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:00:04,21/03/2017 14:04:16,J1549+2113,4.143770963894292,0.37043110451168204,23.0,346,229.0,229.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5129699878355019
21/03/2017 14:04:16,21/03/2017 14:11:36,B0523+11,1.4221850534626992,0.19644204329971776,140.0,118,incomplete,300.0,12540,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 18:37:36,21/03/2017 19:48:53,J1800+50,4.716752303514675,0.8808094958398051,89.0,477,768.0,768.0,3420,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:51:53,21/03/2017 18:59:26,B1753+52,4.687875831040429,0.9079217313284935,89.0,455,364.0,364.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2498271541045374
22/03/2017 00:33:26,22/03/2017 06:15:07,J2044+4614,5.432250030369751,0.8071856902265109,26.0,529,1035.0,435.0,30840,1800,3,0,1,0,Completed: Shortened interval; scintillation of 1.2152505684328994Waited for more observables to rise above the horizon. 
22/03/2017 03:42:07,22/03/2017 03:44:36,J1931+1952,5.113513929935625,0.34679449830286774,89.0,257,incomplete,0.0,120,5400,2,0,2,1,Waited for more observables to rise above the horizon. Aborted: Normal scintillation; observed until object set.Waited for more observables to rise above the horizon. 
22/03/2017 03:45:36,22/03/2017 03:48:05,J1924+1628,5.078908123303498,0.2873975501617329,89.0,1410,incomplete,0.0,60,60,2,0,3,1,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:47:05,22/03/2017 04:27:10,J1928+1746,5.09945595730928,0.3102304322500038,89.0,2072,2316.0,2316.0,41580,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
