Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 02:59:28,1490234368000
Duration,  1 day, 13 hours, 59 minutes, 28 seconds,136768000
Slew time, 0 day, 0 hour, 50 minutes, 30 seconds,3030000.0
Integration time, 0 day, 12 hours, 29 minutes, 58 seconds,4.4998E7
Waiting time, 1 day, 0 hour, 39 minutes, 0 second,8.874E7
Relative slew time, 0.02215430510060833
Relative integration time, 0.32900970987365463
Relative waiting time, 0.648835985025737
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:39:19,B0823+26,2.2115782027959106,0.4646638064138933,62.0,1410,2297.0,2297.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:19,21/03/2017 13:42:03,J0633+0632,1.7180010320107069,0.11419737777167009,45.0,263,119.0,119.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2114972222756575
21/03/2017 13:42:03,21/03/2017 13:57:00,J0751+1807,2.055791112963893,0.3163826354449581,336.0,1039,561.0,561.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8506746575843505
21/03/2017 13:57:00,21/03/2017 14:06:36,B1257+12,3.4036521463529263,0.22134882305275824,276.0,352,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:06:36,21/03/2017 14:27:15,J1142+0119,3.0630528372500483,0.022980168484592004,20.0,1106,1219.0,1219.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:27:15,21/03/2017 14:38:13,J0943+41,2.543817384781735,0.7182029871956666,41.0,450,617.0,617.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:38:13,21/03/2017 14:50:03,J1645+1012,4.38764247506106,0.17810134781787157,266.0,532,444.0,444.0,44820,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1985843049548088Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:40:03,22/03/2017 04:12:23,J2002+30,5.248932281268614,0.5337798629015991,89.0,427,471.0,471.0,1380,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:49:23,22/03/2017 04:16:00,J1902+0723,4.983899671030144,0.12911073141628054,89.0,1961,1508.0,1508.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.3003104470095501
22/03/2017 04:16:00,22/03/2017 04:16:07,J1911+0101B,5.0230992206145455,0.017988720749360667,7.0,5293,incomplete,0.0,2040,5400,3,0,1,1,Aborted: High scintillation; observed until object set.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 16:05:07,23/03/2017 03:25:27,J1856+0102,4.958807872316796,0.01808645918747235,89.0,481,442.0,231.0,40500,20,4,0,3,0,Completed incrementally checking scint every 20 seconds.
