Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 20:02:09,1490209329000
Duration,  1 day, 7 hours, 2 minutes, 9 seconds,111729000
Slew time, 0 day, 1 hour, 24 minutes, 44 seconds,5084000.0
Integration time, 1 day, 2 hours, 20 minutes, 25 seconds,9.4825E7
Waiting time, 0 day, 3 hours, 17 minutes, 0 second,1.182E7
Relative slew time, 0.04550295805028238
Relative integration time, 0.8487053495511461
Relative waiting time, 0.10579169239857154
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:00,J0749-4247,2.050011015904719,-0.7465057311596877,121.0,170,119.0,119.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:00,21/03/2017 13:07:22,J0702-4956,1.8441803375041583,-0.8713352668835623,10.0,311,192.0,192.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6235013212987095
21/03/2017 13:07:22,21/03/2017 13:11:52,J0922-52,2.4521875990520328,-0.9075712110370514,32.0,382,238.0,238.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:52,21/03/2017 13:21:33,B0953-52,2.5983225628804747,-0.9261070925069123,13.0,592,568.0,568.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:33,21/03/2017 13:35:34,J1210-5559,3.1856613445380235,-0.9770744882118594,35.0,510,806.0,806.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:35:34,21/03/2017 13:40:25,J1215-5328,3.207087588211923,-0.9330161722764042,2.0,376,289.0,289.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3022523079991228
21/03/2017 13:40:25,21/03/2017 14:11:29,J1216-50,3.212860264712895,-0.8805137594943283,4.0,1410,1860.0,1860.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:11:29,21/03/2017 14:15:04,J1431-4715,3.803699136924599,-0.8245343890428916,15.0,189,200.0,200.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:15:04,21/03/2017 14:23:08,J1400-1438,3.667397816250821,-0.2553300340384238,50.0,395,434.0,434.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:23:08,21/03/2017 14:34:19,J1231-1411,3.2776783897399233,-0.24733434136546098,27.0,829,644.0,644.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
