Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 20:25:48,1490210748000
Duration,  1 day, 7 hours, 25 minutes, 48 seconds,113148000
Slew time, 0 day, 1 hour, 14 minutes, 29 seconds,4469000.0
Integration time, 1 day, 3 hours, 57 minutes, 19 seconds,1.00639E8
Waiting time, 0 day, 2 hours, 14 minutes, 0 second,8040000.0
Relative slew time, 0.03949694205818927
Relative integration time, 0.8894456817619402
Relative waiting time, 0.07105737617987061
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:15:41,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,899.0,899.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:15:41,21/03/2017 13:18:59,B0626+24,1.6977492494792945,0.42345226793254537,47.0,170,151.0,151.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1283683470168007
21/03/2017 13:18:59,21/03/2017 13:21:07,J0628+0909,1.6956006764480376,0.1597650156591554,12.0,322,116.0,116.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:21:07,21/03/2017 13:32:59,J0633+0632,1.7180010320107069,0.11419737777167009,2.0,938,710.0,710.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.32156352541916
21/03/2017 13:32:59,21/03/2017 13:45:02,J0533+0402,1.4548642856722165,0.07039737056551017,13.0,659,710.0,710.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:45:02,21/03/2017 13:59:19,B0559-05,1.579448949277968,-0.09487532243652198,8.0,751,849.0,849.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:59:19,21/03/2017 14:26:55,B0840-48,2.2780451912727337,-0.8524924983535592,50.0,1396,1606.0,1606.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:26:55,21/03/2017 14:31:06,J0922-52,2.4521875990520328,-0.9075712110370514,7.0,382,244.0,244.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:31:06,21/03/2017 14:36:52,B0940-55,2.540605251737544,-0.9748037178922785,9.0,370,337.0,337.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:36:52,21/03/2017 14:40:23,J1557-4258,4.175718997685893,-0.7498484245282018,87.0,276,124.0,124.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.220084984035511
21/03/2017 14:40:23,21/03/2017 14:43:10,J1633-2009,4.336801397560727,-0.3519310992542233,21.0,182,146.0,146.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:43:10,21/03/2017 14:50:23,J1614-23,4.249876728606193,-0.40578905108868163,6.0,427,427.0,427.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:50:23,21/03/2017 14:55:42,J1610-17,4.23322337866008,-0.3112503832723221,6.0,234,313.0,313.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:55:42,21/03/2017 15:04:03,J1400-1438,3.667397816250821,-0.2553300340384238,26.0,395,475.0,475.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:04:03,21/03/2017 15:12:32,J0943+41,2.543817384781735,0.7182029871956666,91.0,455,418.0,418.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:12:32,21/03/2017 16:11:26,J1700-3312,4.4544424796313695,-0.5792238733004015,222.0,2800,3312.0,3312.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:11:26,21/03/2017 16:20:30,J1142+0119,3.0630528372500483,0.022980168484592004,145.0,346,399.0,399.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:20:30,21/03/2017 16:33:49,B0940+16,2.5460063185519446,0.2884495958497406,30.0,542,769.0,769.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:33:49,21/03/2017 16:37:36,J0843+0719,2.2844774567868544,0.12764077633515641,19.0,395,208.0,208.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9012733726388995
21/03/2017 16:37:36,21/03/2017 16:47:00,J1730-2304,4.583064899920645,-0.4024380674062206,191.0,399,373.0,373.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0682915440786425
21/03/2017 16:47:00,21/03/2017 16:52:37,B1732-07,4.6036674543617995,-0.128899885946366,16.0,245,321.0,321.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:52:37,21/03/2017 17:00:45,B1633+24,4.343381361562797,0.4243443251057869,37.0,825,451.0,451.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:00:45,21/03/2017 17:04:43,J1839-0436,4.882563236665475,-0.08000637772510116,42.0,196,196.0,196.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:04:43,21/03/2017 17:07:49,B1839-04,4.8975740136193044,-0.06923236328980396,0.0,196,186.0,186.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
