Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 14:11:41,1490145101000
Duration,  1 day, 1 hour, 11 minutes, 41 seconds,90701000
Slew time, 0 day, 1 hour, 17 minutes, 20 seconds,4640000.0
Integration time, 0 day, 23 hours, 54 minutes, 21 seconds,8.6061E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.051157098598692406
Relative integration time, 0.9488429014013076
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:22,J1551-0658,4.150044986222899,-0.1215597583329995,95.0,287,287.0,287.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:06:22,21/03/2017 13:11:28,B1620-09,4.290432071770159,-0.15916821001770953,6.0,769,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:11:28,21/03/2017 13:15:16,J1210-5559,3.1856613445380235,-0.9770744882118594,68.0,510,incomplete,160.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 28 [-]
21/03/2017 13:15:16,21/03/2017 13:23:16,J1614-23,4.249876728606193,-0.40578905108868163,53.0,427,427.0,427.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:23:16,21/03/2017 13:35:08,B1232-55,3.2956906821304592,-0.9645852999355328,51.0,1150,761.0,661.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.4564516233342688
21/03/2017 13:35:08,21/03/2017 14:20:59,J1600-3053,4.192564730330353,-0.5387765209294614,41.0,3388,incomplete,2710.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 60 [+]
21/03/2017 14:20:59,21/03/2017 14:29:47,J1838+1650,4.881326816334542,0.2938749033481968,55.0,473,473.0,473.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:29:47,21/03/2017 14:35:08,J1800-0125,4.713994683296525,-0.02457714475016682,21.0,85,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:35:08,21/03/2017 14:44:54,B1915+22,5.051580630540398,0.39060856510577985,29.0,475,557.0,557.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:44:54,21/03/2017 14:46:50,B1839+09,4.89535468203129,0.16060592498903986,17.0,118,99.0,99.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1885367416939632
