Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 01:08:18,1490141298000
Duration,  0 day, 12 hours, 8 minutes, 18 seconds,43698000
Slew time, 0 day, 0 hour, 28 minutes, 8 seconds,1688000.0
Integration time, 0 day, 6 hours, 2 minutes, 10 seconds,2.173E7
Waiting time, 0 day, 5 hours, 38 minutes, 0 second,2.028E7
Relative slew time, 0.03862877019543229
Relative integration time, 0.49727676323859216
Relative waiting time, 0.4640944665659756
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:35,J1012+5307,2.672785151988384,0.9270733295670593,86.0,189,189.0,189.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:35,21/03/2017 13:06:08,B0919+06,2.453207307667511,0.1158864686366557,45.0,72,48.0,48.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.4855396950830198
21/03/2017 13:06:08,21/03/2017 13:11:26,B0833-45,2.2486103217937075,-0.7881379662280048,121.0,261,197.0,197.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3272504817196071
21/03/2017 13:11:26,21/03/2017 13:26:15,J1231-1411,3.2776783897399233,-0.24733434136546098,155.0,829,734.0,734.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:26:15,21/03/2017 13:44:29,J1143-5536,3.0681281092707438,-0.9703812474931973,82.0,1211,1012.0,1012.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:44:29,21/03/2017 13:52:22,J1614-23,4.249876728606193,-0.40578905108868163,46.0,427,427.0,427.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:52:22,21/03/2017 13:54:17,J1729-2117,4.577911943294944,-0.3713284946354158,14.0,101,101.0,101.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:54:17,21/03/2017 14:00:33,J1715-3247,4.517745498879152,-0.5720316623411414,9.0,367,367.0,367.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:00:33,21/03/2017 14:01:50,J1709-3626,4.493142901410727,-0.6358641708507474,3.0,153,74.0,74.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.079085427052706
21/03/2017 14:01:50,21/03/2017 14:09:33,J1702-3932,4.460360527514622,-0.6897929054826477,3.0,288,460.0,460.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:09:33,21/03/2017 14:42:53,B1757-23,4.71238898038469,-0.4139339209313218,17.0,1244,1983.0,1983.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:42:53,21/03/2017 14:44:29,J1759-1956,4.710601472342439,-0.34786351246971425,7.0,133,89.0,89.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:44:29,21/03/2017 14:51:55,J1807-2459B,4.744450039444265,-0.4363230288165892,5.0,507,441.0,441.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:51:55,21/03/2017 14:53:06,J1712-392,4.505494741971195,-0.6931866012504145,18.0,139,53.0,53.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.6084480363847833
21/03/2017 14:53:06,21/03/2017 15:39:03,B1813-26,4.784776656555258,-0.467782176492158,17.0,3388,incomplete,2740.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU-3 M2
21/03/2017 15:39:03,21/03/2017 15:43:17,J1622-4944,4.28751039060232,-0.8678649705541804,36.0,216,218.0,218.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:43:17,21/03/2017 15:49:23,J1822-1617,4.8110437163536695,-0.2840280950780217,33.0,486,333.0,333.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4611814296083612
21/03/2017 15:49:23,21/03/2017 15:52:34,J1821-1432,4.8069114311834165,-0.2533965970781589,2.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:52:34,21/03/2017 15:54:30,J1852-2610,4.943606345420133,-0.45663291626768204,13.0,85,103.0,103.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:54:30,21/03/2017 16:00:22,J1826-1419,4.8289181422777085,-0.2497682514887352,13.0,570,339.0,339.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6829374118366964
21/03/2017 16:00:22,21/03/2017 16:05:54,B1821-11,4.819256799481241,-0.19701567484720658,3.0,261,329.0,329.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:05:54,21/03/2017 16:54:22,J1022-5813,2.716030476517059,-1.0159270687650328,117.0,2414,2791.0,2791.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
