Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 03:14:13,1490235253000
Duration,  1 day, 14 hours, 14 minutes, 13 seconds,137653000
Slew time, 0 day, 2 hours, 16 minutes, 44 seconds,8204000.0
Integration time, 1 day, 0 hour, 42 minutes, 29 seconds,8.8949E7
Waiting time, 0 day, 11 hours, 15 minutes, 0 second,4.05E7
Relative slew time, 0.05959913696032778
Relative integration time, 0.646182792964919
Relative waiting time, 0.2942180700747532
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:26,J1622-4944,4.28751039060232,-0.8678649705541804,137.0,216,489.0,489.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:10:26,21/03/2017 13:10:51,J1724-35,4.558436395948356,-0.6251187604226358,15.0,481,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-2 (PRN 31)
21/03/2017 13:10:51,21/03/2017 13:26:42,B0953-52,2.5983225628804747,-0.9261070925069123,65.0,592,886.0,886.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:42,21/03/2017 13:35:44,J0721-2038,1.9273456181553335,-0.3600853696341402,94.0,364,448.0,448.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:44,21/03/2017 14:17:45,J1012-4235,2.670862809916489,-0.7432193731409187,81.0,2072,incomplete,2440.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0208 (PRN E08)
21/03/2017 14:17:45,21/03/2017 14:22:56,J1557-4258,4.175718997685893,-0.7498484245282018,71.0,276,240.0,240.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1510364596525091
21/03/2017 14:22:56,21/03/2017 14:29:29,J1541-5535,4.109494079104115,-0.9701073277633705,14.0,659,379.0,379.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7410546514891392
21/03/2017 14:29:29,21/03/2017 14:48:19,B0559-05,1.579448949277968,-0.09487532243652198,133.0,751,997.0,997.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:48:19,21/03/2017 14:54:19,J1714-1054,4.514593870582363,-0.19018804377614099,175.0,187,185.0,185.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:54:19,21/03/2017 14:59:29,B1817-13,4.801092358013162,-0.24019948386467627,10.0,543,300.0,300.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8117751032269025
21/03/2017 14:59:29,21/03/2017 15:03:48,J1715-3247,4.517745498879152,-0.5720316623411414,23.0,367,236.0,236.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5538962710373747
21/03/2017 15:03:48,21/03/2017 15:36:02,J0542-68,1.494801782280977,-1.1914781026947956,90.0,1410,1844.0,1844.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
