Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 17:02:02,1490284922000
Duration,  2 days, 4 hours, 2 minutes, 2 seconds,187322000
Slew time, 0 day, 2 hours, 34 minutes, 24 seconds,9264000.0
Integration time, 1 day, 3 hours, 25 minutes, 38 seconds,9.8738E7
Waiting time, 0 day, 22 hours, 2 minutes, 0 second,7.932E7
Relative slew time, 0.04945494923180406
Relative integration time, 0.5271030631746405
Relative waiting time, 0.4234419875935555
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:37:13,J1012-4235,2.670862809916489,-0.7432193731409187,157.0,2072,2076.0,2076.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:37:13,21/03/2017 13:51:39,J1143-5536,3.0681281092707438,-0.9703812474931973,15.0,1211,851.0,851.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:51:39,21/03/2017 13:53:22,J1617-5055,4.265097454124627,-0.888599482067873,35.0,187,68.0,68.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.751939712464889
21/03/2017 13:53:22,21/03/2017 14:10:58,J1638-42,4.356850867343011,-0.7423661010621658,7.0,890,1049.0,1049.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:10:58,21/03/2017 14:24:21,B1620-09,4.290432071770159,-0.15916821001770953,34.0,769,769.0,769.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:24:21,21/03/2017 14:37:13,J0721-2038,1.9273456181553335,-0.3600853696341402,175.0,364,597.0,597.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:37:13,21/03/2017 14:42:06,J1635-4513,4.345535316025915,-0.7890488104162031,141.0,193,152.0,152.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2706011667722419
21/03/2017 14:42:06,21/03/2017 14:54:04,J1502-5653,3.9398909090989926,-0.9926113607317447,16.0,327,702.0,702.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:54:04,21/03/2017 14:57:37,J1135-6055,3.0325095753401476,-1.0631964026732124,42.0,187,171.0,171.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.09460386086593
21/03/2017 14:57:37,21/03/2017 15:03:13,J1702-3932,4.460360527514622,-0.6897929054826477,61.0,288,275.0,275.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:03:13,21/03/2017 15:05:49,J1709-3626,4.493142901410727,-0.6358641708507474,3.0,153,153.0,153.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:05:49,21/03/2017 15:06:45,J1803-2149,4.726179408581115,-0.3807096393648853,16.0,82,40.0,40.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0380194708847714
21/03/2017 15:06:45,21/03/2017 15:08:22,B1817-13,4.801092358013162,-0.24019948386467627,7.0,543,incomplete,90.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 83 [+]
21/03/2017 15:08:22,21/03/2017 15:18:45,B1236-68,3.31605285673706,-1.19599802064378,68.0,1238,555.0,555.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.230663877569077
21/03/2017 15:18:45,21/03/2017 15:30:15,J1731-3123,4.585891152302748,-0.5475340270346767,60.0,298,630.0,630.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:30:15,21/03/2017 15:35:43,B1821-11,4.819256799481241,-0.19701567484720658,18.0,261,310.0,310.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:35:43,21/03/2017 15:39:17,J1824-2452F,4.8194947460359305,-0.43395090819697235,11.0,415,203.0,203.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0482320440237474
21/03/2017 15:39:17,21/03/2017 15:41:35,J1753-1914,4.684403425771534,-0.33540380086519916,9.0,170,129.0,129.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:41:35,21/03/2017 15:42:12,B1732-02,4.602263067906977,-0.038207681394561425,17.0,194,incomplete,20.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2514 (751)
21/03/2017 15:42:12,21/03/2017 15:44:31,J1759-3107,4.7096296148372865,-0.5429840506374637,29.0,186,110.0,110.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:44:31,21/03/2017 15:46:45,J1705-04,4.472406208235469,-0.08173958663506777,31.0,261,103.0,103.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.523191936566433
21/03/2017 15:46:45,21/03/2017 15:53:30,B1552-31,4.1682790954169535,-0.5508448196629737,27.0,592,378.0,378.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5650059382685073
21/03/2017 15:53:30,21/03/2017 16:03:31,J1322-62,3.503312141065618,-1.096939434878436,69.0,532,532.0,532.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:03:31,21/03/2017 16:15:24,J1830-1313,4.8463415460342105,-0.23059580965557747,73.0,1293,640.0,640.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0206713064709767
21/03/2017 16:15:24,21/03/2017 16:29:28,B1941-17,5.166554922236046,-0.31119705376740003,11.0,640,833.0,833.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
