Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 03:00:07,1490234407000
Duration,  1 day, 14 hours, 0 minute, 7 seconds,136807000
Slew time, 0 day, 2 hours, 31 minutes, 30 seconds,9090000.0
Integration time, 1 day, 5 hours, 31 minutes, 37 seconds,1.06297E8
Waiting time, 0 day, 5 hours, 57 minutes, 0 second,2.142E7
Relative slew time, 0.06644396851038324
Relative integration time, 0.776985095791882
Relative waiting time, 0.15657093569773475
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:19:57,J1231-1411,3.2776783897399233,-0.24733434136546098,72.0,829,1125.0,1125.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:19:57,21/03/2017 13:34:29,B1309-12,3.455217339143297,-0.21757662306306202,5.0,825,867.0,867.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:34:29,21/03/2017 13:48:19,B0953-52,2.5983225628804747,-0.9261070925069123,117.0,592,713.0,713.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:48:19,21/03/2017 14:02:57,J1142+0119,3.0630528372500483,0.022980168484592004,165.0,346,713.0,713.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:02:57,21/03/2017 14:06:02,J1012+5307,2.672785151988384,0.9270733295670593,49.0,189,136.0,136.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3922785052092996
21/03/2017 14:06:02,21/03/2017 14:26:25,B0950-38,2.5843381122488704,-0.6745203049003351,112.0,1045,1111.0,1111.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:26:25,21/03/2017 14:32:23,J1610-17,4.23322337866008,-0.3112503832723221,144.0,234,214.0,214.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:32:23,21/03/2017 14:39:35,J0838-2621,2.261568628635438,-0.459750995457738,172.0,179,260.0,260.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:39:35,21/03/2017 14:57:38,J1143-5536,3.0681281092707438,-0.9703812474931973,94.0,1211,989.0,989.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:57:38,21/03/2017 16:01:05,J1600-3053,4.192564730330353,-0.5387765209294614,69.0,3388,3738.0,3738.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:01:05,21/03/2017 16:08:49,J1215-5328,3.207087588211923,-0.9330161722764042,88.0,376,376.0,376.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:08:49,21/03/2017 16:11:43,B0919+06,2.453207307667511,0.1158864686366557,102.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:11:43,21/03/2017 16:19:59,B0940+16,2.5460063185519446,0.2884495958497406,11.0,542,485.0,485.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:19:59,21/03/2017 16:32:36,B1732-02,4.602263067906977,-0.038207681394561425,229.0,194,528.0,528.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:32:36,21/03/2017 16:41:37,B0940-55,2.540605251737544,-0.9748037178922785,143.0,370,398.0,398.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:41:37,21/03/2017 16:52:53,J0923-31,2.4607688012076716,-0.5576326960121882,31.0,640,645.0,645.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:52:53,21/03/2017 16:56:55,J0843+0719,2.2844774567868544,0.12764077633515641,31.0,395,211.0,211.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8758149387807428
21/03/2017 16:56:55,21/03/2017 17:05:22,J1614-23,4.249876728606193,-0.40578905108868163,201.0,427,306.0,306.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.395458933142894
21/03/2017 17:05:22,21/03/2017 17:15:02,B1633+24,4.343381361562797,0.4243443251057869,43.0,825,537.0,537.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:15:02,21/03/2017 17:22:33,J1730-2304,4.583064899920645,-0.4024380674062206,52.0,399,399.0,399.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:22:33,21/03/2017 17:25:02,J0855-4644,2.337008958389797,-0.8155855720654147,139.0,196,incomplete,10.0,0,180,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2477 (745)
21/03/2017 17:25:02,21/03/2017 17:34:15,J1701-3006E,4.455918184602751,-0.525116775715221,134.0,751,419.0,419.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7913649502878835
21/03/2017 17:34:15,21/03/2017 17:38:43,J1811-0154,4.761831249211602,-0.033011448360429414,26.0,257,242.0,242.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:38:43,21/03/2017 17:46:46,J1736+05,4.611596216082018,0.10122909661567112,14.0,455,469.0,469.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:46:46,21/03/2017 17:52:34,J1744-1610,4.643778196715436,-0.2819879991079128,21.0,298,327.0,327.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:52:34,21/03/2017 17:57:44,J1633-2009,4.336801397560727,-0.3519310992542233,17.0,182,293.0,293.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:57:44,21/03/2017 18:03:42,J1701-3006B,4.455874136855754,-0.5251063328285298,23.0,640,335.0,335.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.909695076477191
21/03/2017 18:03:42,21/03/2017 18:08:17,B1740-13,4.640948436221535,-0.241543872202393,19.0,402,256.0,256.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5718178758319021
21/03/2017 18:08:17,21/03/2017 18:14:06,B1924+16,5.090930678411758,0.2933742362597151,38.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:14:06,21/03/2017 18:19:24,J1431-4715,3.803699136924599,-0.8245343890428916,138.0,189,180.0,180.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:19:24,21/03/2017 18:29:18,J1913+1145,5.034102612522718,0.205236660437781,137.0,792,457.0,457.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7330644270264872
21/03/2017 18:29:18,21/03/2017 18:33:22,J1557-4258,4.175718997685893,-0.7498484245282018,83.0,276,161.0,161.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7134718588302889
21/03/2017 18:33:22,21/03/2017 18:39:44,J1853+03,4.943645106273938,0.05235987755982989,82.0,50,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:39:44,21/03/2017 18:45:35,J1853+1303,4.9478134198396075,0.22797907435390216,9.0,644,342.0,342.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8841453882982482
21/03/2017 18:45:35,21/03/2017 19:01:35,B1915+22,5.051580630540398,0.39060856510577985,9.0,475,951.0,951.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:01:35,21/03/2017 19:05:14,J1753-1914,4.684403425771534,-0.33540380086519916,46.0,170,173.0,173.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:05:14,21/03/2017 19:25:29,B1913+105,5.044853840715002,0.1835184619651171,34.0,1703,1181.0,1181.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:25:29,21/03/2017 19:30:27,J1741-2054,4.633647723960444,-0.3642065816599167,41.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:30:27,21/03/2017 20:25:13,J1700-3312,4.4544424796313695,-0.5792238733004015,31.0,2800,3255.0,3255.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:25:13,21/03/2017 20:31:00,J1813-1246,4.770840784254502,-0.2222424699300602,58.0,211,289.0,289.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:31:00,21/03/2017 20:38:37,J1911+1758,5.026212997083182,0.31379948512622785,33.0,549,424.0,424.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2950340513005447
21/03/2017 20:38:37,21/03/2017 20:42:43,J1855+0307,4.954308340783102,0.054494027384074065,15.0,477,411.0,231.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:42:43,21/03/2017 20:44:59,J1931+1440,5.1094513852134,0.255981623625835,13.0,123,123.0,123.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:44:59,21/03/2017 20:54:08,B1811+40,4.770078002649328,0.7021024702901233,27.0,273,522.0,522.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:54:08,21/03/2017 21:05:13,B1854+00,4.961156576435615,0.016662076592372534,35.0,400,630.0,630.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:05:13,21/03/2017 21:08:21,J1808-0813,4.74798147982061,-0.14339916022594076,23.0,280,165.0,165.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:08:21,21/03/2017 21:14:08,J1913+3732,5.03293956874242,0.6551398779979815,47.0,613,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 21:14:08,21/03/2017 21:38:08,J1905+0616,4.996503057169056,0.1094549303430566,30.0,1410,1410.0,1410.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:38:08,21/03/2017 21:46:45,J1853+0011,4.945824440733261,0.0033437599586124698,11.0,475,506.0,506.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:46:45,21/03/2017 21:49:58,B1829-08,4.854707490915438,-0.14746267457552845,14.0,182,179.0,179.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:49:58,21/03/2017 22:07:41,J1924+1631,5.082899109526393,0.28850680386411154,343.0,562,720.0,720.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:07:41,21/03/2017 22:13:40,B1821-11,4.819256799481241,-0.19701567484720658,35.0,261,324.0,324.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:13:40,21/03/2017 22:34:06,J1210-5559,3.1856613445380235,-0.9770744882118594,122.0,510,1104.0,1104.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:34:06,21/03/2017 22:45:14,B2000+32,5.245036124601745,0.5635392295705138,206.0,881,462.0,462.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.907747676080575
21/03/2017 22:45:14,21/03/2017 22:48:39,J1759-1956,4.710601472342439,-0.34786351246971425,73.0,133,132.0,132.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:48:39,21/03/2017 22:55:20,J1839-0436,4.882563236665475,-0.08000637772510116,324.0,196,77.0,77.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.5493322372632803
21/03/2017 22:55:20,21/03/2017 22:57:27,J1821-1432,4.8069114311834165,-0.2533965970781589,21.0,189,106.0,106.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7867897104179116
21/03/2017 22:57:27,21/03/2017 23:15:29,B1911+09,5.034744021022826,0.16775426031015941,321.0,910,761.0,761.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1959388987440671
21/03/2017 23:15:29,21/03/2017 23:25:39,J1720-2446,4.539489392476914,-0.43212897838336267,75.0,5293,5805.0,535.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:25:39,21/03/2017 23:32:29,J1803-1920,4.727619886990427,-0.33723154844298214,14.0,664,396.0,396.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6758665655246454
21/03/2017 23:32:29,22/03/2017 01:15:30,J1814-1744,4.776609824652865,-0.3092723434533952,3.0,6023,6178.0,6178.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
22/03/2017 01:15:30,22/03/2017 01:16:15,J1834-0812,4.862909083958767,-0.143116998663535,22.0,47,23.0,23.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0640237688398195
22/03/2017 01:16:15,22/03/2017 01:27:19,J1738-2736,4.6174596497040925,-0.48158579162070875,28.0,769,636.0,636.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 01:27:19,22/03/2017 01:32:04,B1929+10,5.114829159154492,0.19185250610612622,54.0,318,231.0,231.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3742182489262513
22/03/2017 01:32:04,22/03/2017 01:43:23,J1542-5034,4.113557132880706,-0.8825480377002638,89.0,842,590.0,590.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4277975511486676
22/03/2017 01:43:23,22/03/2017 01:48:23,J1731-3123,4.585891152302748,-0.5475340270346767,27.0,298,273.0,273.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:48:23,22/03/2017 01:56:59,J1807-2459A,4.744412543590557,-0.43578495108040455,9.0,507,507.0,507.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:56:59,22/03/2017 02:02:28,J1635-4513,4.345535316025915,-0.7890488104162031,29.0,193,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 02:02:28,22/03/2017 02:16:33,J1632-4509,4.329434653676268,-0.78797252404414,1.0,844,844.0,844.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:16:33,22/03/2017 02:36:41,J1638-44,4.355905480664847,-0.7795803992241338,1.0,1410,1485.0,1207.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 02:36:41,22/03/2017 02:46:04,J1702-4310,4.461275370930876,-0.753206534971775,1.0,562,562.0,562.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:46:04,22/03/2017 02:47:26,J1852-2610,4.943606345420133,-0.45663291626768204,26.0,85,56.0,56.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:47:26,22/03/2017 03:40:44,J1525-5605,4.039088224299186,-0.9787757963816089,47.0,2800,3151.0,3151.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 03:40:44,22/03/2017 03:48:33,B1943-29,5.178663434809965,-0.5096986825472073,44.0,326,425.0,425.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:48:33,22/03/2017 04:10:40,B0559-05,1.579448949277968,-0.09487532243652198,163.0,751,1164.0,1164.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 04:10:40,22/03/2017 04:22:33,J1055-6905,2.861228053093076,-1.2056763561597694,79.0,367,634.0,634.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 04:22:33,22/03/2017 04:45:52,J1539-6322,4.098956653745199,-1.1056990484687232,26.0,1643,1373.0,1373.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 04:45:52,22/03/2017 05:15:29,B0538-75,1.4683156836614413,-1.3212302426111842,31.0,1410,1746.0,1746.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 05:15:29,22/03/2017 05:43:18,J0329+1654,0.9125563077130601,0.29497033986066384,139.0,1436,incomplete,1530.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 920 [-]
22/03/2017 05:43:18,22/03/2017 05:51:33,J2033-1938,5.384006220962541,-0.3423802697363654,131.0,364,364.0,364.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 05:51:33,22/03/2017 05:56:33,J0855-4644,2.337008958389797,-0.8155855720654147,120.0,196,190.0,180.0,0,180,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 05:56:33,22/03/2017 06:15:19,J1012-5830,2.6743461962152613,-1.020893500114319,16.0,598,1110.0,1110.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 06:15:19,22/03/2017 06:19:00,J0532-6639,1.4529509684797177,-1.163081110951167,32.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 06:19:00,22/03/2017 06:24:29,J1056-7117,2.865683733229313,-1.2438700070463995,26.0,543,303.0,303.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7919394504194532
22/03/2017 06:24:29,22/03/2017 06:29:43,J1337-6306,3.566314890960005,-1.1011897964207236,15.0,284,299.0,299.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 06:29:43,22/03/2017 06:32:55,J1137-6700,3.0435697995320883,-1.1692105618400666,10.0,370,182.0,182.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.034847016518766
22/03/2017 06:32:55,22/03/2017 06:49:32,B0021-72M,0.10431888935150277,-1.257942465905536,37.0,1181,960.0,960.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2307134755134317
22/03/2017 06:49:32,22/03/2017 06:50:51,J1454-5846,3.901604130352358,-1.025503399482517,42.0,50,37.0,37.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.3491837078362243
22/03/2017 06:50:51,22/03/2017 07:43:29,J1022-5813,2.716030476517059,-1.0159270687650328,28.0,2414,3130.0,3130.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 07:43:29,22/03/2017 07:49:34,J0821-4300,2.1901966104620407,-0.750408801269649,25.0,422,340.0,340.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 07:49:34,22/03/2017 07:55:03,J1135-6055,3.0325095753401476,-1.0631964026732124,29.0,187,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 07:55:03,22/03/2017 08:04:45,J1237-6725,3.3049191105503795,-1.1764784522149478,9.0,640,573.0,573.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 08:04:45,22/03/2017 08:14:52,B1323-62,3.5224671296062557,-1.0882874499253554,6.0,768,601.0,601.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 08:14:52,22/03/2017 08:16:37,J1148-6415,3.0919816696018545,-1.1212140558915904,10.0,178,95.0,95.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8832284841946092
22/03/2017 08:16:37,22/03/2017 08:25:20,J1222-5738,3.2413891257777854,-1.0057944628298434,6.0,517,517.0,517.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 08:25:20,22/03/2017 08:30:38,J1502-5653,3.9398909090989926,-0.9926113607317447,14.0,327,304.0,304.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 08:30:38,22/03/2017 08:35:57,J1211-6324,3.1913476272410213,-1.1063196099805435,19.0,128,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 08:35:57,22/03/2017 08:55:18,J0329+1654,0.9125563077130601,0.29497033986066384,185.0,1436,2506.0,976.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 08:55:18,22/03/2017 09:04:57,J1112-6103,2.933230156943058,-1.065372731287713,180.0,644,399.0,399.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6134085070737658
22/03/2017 09:04:57,22/03/2017 09:25:45,B1236-68,3.31605285673706,-1.19599802064378,10.0,1238,1238.0,1238.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 09:25:45,22/03/2017 09:53:27,J1124-5916,2.9873491809447947,-1.034306355415895,13.0,1643,1649.0,1649.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 09:53:27,22/03/2017 09:58:44,B1449-64,3.898828256899113,-1.1207166855361403,17.0,545,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 09:58:44,22/03/2017 10:01:32,B1154-62,3.129610968274852,-1.0888388285248813,17.0,329,151.0,151.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1800706789841353
22/03/2017 10:01:32,22/03/2017 10:03:33,B0909-71,2.398082392240209,-1.2600869955906926,18.0,198,103.0,103.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9234728255270903
22/03/2017 10:03:33,22/03/2017 10:10:55,J1546-5302,4.128241824152621,-0.9254947728276709,41.0,262,401.0,401.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
