Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 22:29:48,1490218188000
Duration,  1 day, 9 hours, 29 minutes, 48 seconds,120588000
Slew time, 0 day, 2 hours, 43 minutes, 46 seconds,9826000.0
Integration time, 1 day, 4 hours, 29 minutes, 2 seconds,1.02542E8
Waiting time, 0 day, 2 hours, 17 minutes, 0 second,8220000.0
Relative slew time, 0.08148406143231499
Relative integration time, 0.8503499519023452
Relative waiting time, 0.06816598666533984
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:11,J0702-4956,1.8441803375041583,-0.8713352668835623,131.0,311,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:07:11,21/03/2017 13:25:34,B1309-12,3.455217339143297,-0.21757662306306202,151.0,825,952.0,952.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:34,21/03/2017 13:31:01,B0940-55,2.540605251737544,-0.9748037178922785,114.0,370,213.0,213.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:31:01,21/03/2017 13:42:06,B0950-38,2.5843381122488704,-0.6745203049003351,31.0,1045,914.0,634.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:42:06,21/03/2017 13:48:47,J1142+0119,3.0630528372500483,0.022980168484592004,194.0,346,207.0,207.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:48:47,21/03/2017 13:54:23,J0749-4247,2.050011015904719,-0.7465057311596877,148.0,170,188.0,188.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:54:23,21/03/2017 13:59:35,B0919+06,2.453207307667511,0.1158864686366557,270.0,72,42.0,42.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.7147140120775013
21/03/2017 13:59:35,21/03/2017 14:13:05,B1552-31,4.1682790954169535,-0.5508448196629737,218.0,592,592.0,592.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:13:05,21/03/2017 14:16:25,J1215-5328,3.207087588211923,-0.9330161722764042,41.0,376,159.0,159.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.362038064877548
21/03/2017 14:16:25,21/03/2017 14:30:15,B1620-09,4.290432071770159,-0.15916821001770953,61.0,769,769.0,769.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:30:15,21/03/2017 14:45:39,J1231-1411,3.2776783897399233,-0.24733434136546098,51.0,829,873.0,873.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:45:39,21/03/2017 14:51:51,B0833-45,2.2486103217937075,-0.7881379662280048,167.0,261,205.0,205.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2735431298402957
