Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 01:44:39,1490143479000
Duration,  0 day, 12 hours, 44 minutes, 39 seconds,45879000
Slew time, 0 day, 1 hour, 0 minute, 6 seconds,3606000.0
Integration time, 0 day, 11 hours, 44 minutes, 33 seconds,4.2273E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07859805139606356
Relative integration time, 0.9214019486039364
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:23,J0647+0913,1.7770127956822,0.1611496435324042,60.0,276,623.0,623.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:23,21/03/2017 13:30:00,J0533+0402,1.4548642856722165,0.07039737056551017,19.0,659,1098.0,1098.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:00,21/03/2017 13:52:22,J1231-1411,3.2776783897399233,-0.24733434136546098,220.0,829,1122.0,1122.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:52:22,21/03/2017 14:00:00,J1215-5328,3.207087588211923,-0.9330161722764042,82.0,376,376.0,376.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:00:00,21/03/2017 14:13:40,J0633+0632,1.7180010320107069,0.11419737777167009,142.0,938,678.0,678.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3833458490427781
21/03/2017 14:13:40,21/03/2017 14:18:06,J1619-42,4.2721296765691195,-0.7336200622549498,166.0,192,100.0,100.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9205242042230786
21/03/2017 14:18:06,21/03/2017 14:21:10,J0806-4123,2.122276737193805,-0.7218347264808581,119.0,135,65.0,65.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0879636605994665
21/03/2017 14:21:10,21/03/2017 14:28:43,J1701-3006B,4.455874136855754,-0.5251063328285298,128.0,640,325.0,325.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9665443204323871
21/03/2017 14:28:43,21/03/2017 14:34:32,J1142+0119,3.0630528372500483,0.022980168484592004,104.0,346,245.0,245.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:34:32,21/03/2017 15:04:47,J1720-2446,4.539489392476914,-0.43212897838336267,100.0,5293,6825.0,1715.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:04:47,21/03/2017 15:07:16,J1557-4258,4.175718997685893,-0.7498484245282018,28.0,276,121.0,121.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2856501783020375
21/03/2017 15:07:16,21/03/2017 15:13:45,J1714-1054,4.514593870582363,-0.19018804377614099,27.0,187,362.0,362.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:13:45,21/03/2017 15:21:15,B1620-09,4.290432071770159,-0.15916821001770953,11.0,769,439.0,439.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.75145289097729
21/03/2017 15:21:15,21/03/2017 15:24:44,J1821-1432,4.8069114311834165,-0.2533965970781589,20.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:24:44,21/03/2017 15:36:28,J1748-2446K,4.660378168675259,-0.432041711920763,12.0,628,692.0,692.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:36:28,21/03/2017 16:06:30,B1736-31,4.62252663141084,-0.5499954260936698,7.0,1244,1795.0,1795.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:06:30,21/03/2017 16:10:35,J1614-23,4.249876728606193,-0.40578905108868163,21.0,427,224.0,224.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.906416242288593
21/03/2017 16:10:35,21/03/2017 16:11:49,J1737-3102,4.61448546321459,-0.5416314204671681,17.0,182,57.0,57.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 3.2204314363709883
21/03/2017 16:11:49,21/03/2017 16:15:15,J1839-0627,4.884046475641462,-0.11240890010205702,24.0,196,182.0,182.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.07507163207179
21/03/2017 16:15:15,21/03/2017 16:19:42,J1740-3052,4.628758693115347,-0.5387041154606287,24.0,262,243.0,243.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:19:42,21/03/2017 17:19:49,J1838-0655,4.878422879347432,-0.12055667882678388,22.0,3388,3585.0,3585.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:19:49,21/03/2017 17:22:28,B1846-06,4.926659780159685,-0.11544916669629493,10.0,153,149.0,149.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:22:28,21/03/2017 17:27:52,J1618-4723,4.267824531080867,-0.8269025778235545,46.0,402,278.0,278.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4440169556310023
21/03/2017 17:27:52,21/03/2017 17:30:20,J1844-0302,4.904878289260954,-0.05288735484487706,51.0,192,97.0,97.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9823340150882252
21/03/2017 17:30:20,21/03/2017 17:33:36,J1840-0559,4.888607602753342,-0.1043503270946543,2.0,305,194.0,194.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5696273420381628
21/03/2017 17:33:36,21/03/2017 18:24:17,J1814-1744,4.776609824652865,-0.3092723434533952,12.0,6023,4749.0,3029.0,0,1800,3,0,3,0,Completed incrementally checking scint every 1800 seconds.
