Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 22:03:19,1490130199000
Duration,  0 day, 9 hours, 3 minutes, 19 seconds,32599000
Slew time, 0 day, 0 hour, 31 minutes, 57 seconds,1917000.0
Integration time, 0 day, 8 hours, 31 minutes, 22 seconds,3.0682E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.058805484830823034
Relative integration time, 0.941194515169177
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:27:31,B0840-48,2.2780451912727337,-0.8524924983535592,213.0,1396,1438.0,1438.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:27:31,21/03/2017 13:30:55,J0855-4644,2.337008958389797,-0.8155855720654147,8.0,196,196.0,196.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:55,21/03/2017 13:39:01,J0721-2038,1.9273456181553335,-0.3600853696341402,53.0,364,433.0,433.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:01,21/03/2017 13:51:05,J1400-1438,3.667397816250821,-0.2553300340384238,193.0,395,531.0,531.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:51:05,21/03/2017 14:04:40,B1309-12,3.455217339143297,-0.21757662306306202,14.0,825,801.0,801.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:04:40,21/03/2017 14:10:10,J1610-17,4.23322337866008,-0.3112503832723221,31.0,234,299.0,299.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:10:10,21/03/2017 14:13:38,J1431-4715,3.803699136924599,-0.8245343890428916,29.0,189,179.0,179.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:13:38,21/03/2017 14:18:28,J1557-4258,4.175718997685893,-0.7498484245282018,14.0,276,276.0,276.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:18:28,21/03/2017 14:19:39,J1729-2117,4.577911943294944,-0.3713284946354158,25.0,101,46.0,46.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.2141168984142037
21/03/2017 14:19:39,21/03/2017 14:32:16,J1747-2802,4.657596550179893,-0.4890945859137332,7.0,606,750.0,750.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:32:16,21/03/2017 15:04:43,B1757-23,4.71238898038469,-0.4139339209313218,3.0,1244,1944.0,1944.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:04:43,21/03/2017 15:14:03,J1807-2459B,4.744450039444265,-0.4363230288165892,5.0,507,555.0,555.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:14:03,21/03/2017 15:17:44,J1543-5149,4.11782437563537,-0.9041063203802138,35.0,186,186.0,186.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:17:44,21/03/2017 15:23:14,J1759-3107,4.7096296148372865,-0.5429840506374637,28.0,186,302.0,302.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:23:14,21/03/2017 15:29:17,J1659-4316,4.450326338756698,-0.7551167008753467,16.0,318,347.0,347.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:29:17,21/03/2017 15:36:42,J1822-1617,4.8110437163536695,-0.2840280950780217,26.0,486,419.0,419.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1590645734802398
