Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 04:56:57,1490155017000
Duration,  0 day, 15 hours, 56 minutes, 57 seconds,57417000
Slew time, 0 day, 1 hour, 10 minutes, 29 seconds,4229000.0
Integration time, 0 day, 11 hours, 29 minutes, 28 seconds,4.1368E7
Waiting time, 0 day, 3 hours, 17 minutes, 0 second,1.182E7
Relative slew time, 0.07365414424299424
Relative integration time, 0.7204834805022903
Relative waiting time, 0.2058623752547155
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:19,J0838-2621,2.261568628635438,-0.459750995457738,71.0,179,308.0,308.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:06:19,21/03/2017 13:38:34,J1216-50,3.212860264712895,-0.8805137594943283,153.0,1410,1782.0,1782.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:38:34,21/03/2017 13:48:45,B1310+18,3.459751631817926,0.31706814744563655,91.0,1116,incomplete,520.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2476 (744)
21/03/2017 13:48:45,21/03/2017 15:19:47,J1720-2446,4.539489392476914,-0.43212897838336267,72.0,5293,incomplete,5390.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-4  (PRN 27)
21/03/2017 15:19:47,21/03/2017 15:40:02,B0950-38,2.5843381122488704,-0.6745203049003351,132.0,1045,1083.0,1083.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:40:02,21/03/2017 15:53:45,J1542-5034,4.113557132880706,-0.8825480377002638,117.0,842,706.0,706.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1929169690203427
21/03/2017 15:53:45,21/03/2017 15:56:57,J1633-2009,4.336801397560727,-0.3519310992542233,40.0,182,152.0,152.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:56:57,21/03/2017 16:14:13,J1638-42,4.356850867343011,-0.7423661010621658,28.0,890,1008.0,1008.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:14:13,21/03/2017 16:24:25,J1724-35,4.558436395948356,-0.6251187604226358,7.0,481,605.0,605.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:24:25,21/03/2017 16:40:28,J1714-3810,4.512093540984777,-0.6659841904170395,4.0,881,959.0,959.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:40:28,21/03/2017 16:46:59,J1618-4723,4.267824531080867,-0.8269025778235545,13.0,402,378.0,378.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0623422985798314
21/03/2017 16:46:59,21/03/2017 16:54:44,J1546-5302,4.128241824152621,-0.9254947728276709,13.0,262,452.0,452.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:54:44,21/03/2017 17:02:48,J1759-2307,4.710276041158995,-0.4033795270935672,43.0,510,441.0,441.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1556180901895707
21/03/2017 17:02:48,21/03/2017 17:08:38,B1310+18,3.459751631817926,0.31706814744563655,109.0,1116,761.0,241.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.935777172455372
21/03/2017 17:08:38,21/03/2017 17:17:19,J1528-5547,4.052013114630726,-0.973491327257515,195.0,326,326.0,326.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:17:19,21/03/2017 17:19:23,J1635-4513,4.345535316025915,-0.7890488104162031,28.0,193,96.0,96.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0086434444444667
21/03/2017 17:19:23,21/03/2017 17:25:44,J1739+0612,4.622065719044209,0.10834810070908354,62.0,288,319.0,319.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:25:44,21/03/2017 17:28:35,J1823-1126,4.8141896723303885,-0.19952991859744063,22.0,192,149.0,149.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:28:35,21/03/2017 20:00:41,J1814-1744,4.776609824652865,-0.3092723434533952,5.0,6023,9121.0,9121.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 20:00:41,21/03/2017 20:04:17,J1741-2054,4.633647723960444,-0.3642065816599167,43.0,257,173.0,173.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.487382859546463
21/03/2017 20:04:17,21/03/2017 20:07:18,J1822-1617,4.8110437163536695,-0.2840280950780217,9.0,486,172.0,172.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.8215757749878283
21/03/2017 20:07:18,21/03/2017 20:13:17,J1811-0154,4.761831249211602,-0.033011448360429414,22.0,257,337.0,337.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
