Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 02:54:52,1490147692000
Duration,  0 day, 13 hours, 54 minutes, 52 seconds,50092000
Slew time, 0 day, 0 hour, 51 minutes, 45 seconds,3105000.0
Integration time, 0 day, 10 hours, 17 minutes, 7 seconds,3.7027E7
Waiting time, 0 day, 2 hours, 46 minutes, 0 second,9960000.0
Relative slew time, 0.0619859458596183
Relative integration time, 0.7391799089674999
Relative waiting time, 0.1988341451728819
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:57,J0922-52,2.4521875990520328,-0.9075712110370514,192.0,382,285.0,285.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:07:57,21/03/2017 13:15:00,B0940-55,2.540605251737544,-0.9748037178922785,7.0,370,416.0,416.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:15:00,21/03/2017 13:24:19,J0821-4300,2.1901966104620407,-0.750408801269649,50.0,422,509.0,509.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:19,21/03/2017 13:49:33,B0950-38,2.5843381122488704,-0.6745203049003351,19.0,1045,1775.0,1495.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:49:33,21/03/2017 13:57:14,J1715-3247,4.517745498879152,-0.5720316623411414,94.0,367,367.0,367.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:57:14,21/03/2017 13:59:31,B0833-45,2.2486103217937075,-0.7881379662280048,112.0,261,225.0,25.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.1369126605570192
21/03/2017 13:59:31,21/03/2017 14:03:53,J1551-0658,4.150044986222899,-0.1215597583329995,146.0,287,116.0,116.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4842619143241853
21/03/2017 14:03:53,21/03/2017 14:14:08,B1552-31,4.1682790954169535,-0.5508448196629737,23.0,592,592.0,592.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:14:08,21/03/2017 14:23:16,J1701-3006B,4.455874136855754,-0.5251063328285298,11.0,640,537.0,537.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1927762175726575
21/03/2017 14:23:16,21/03/2017 14:24:09,J1759-2549,4.710579655726789,-0.4505518982655251,11.0,72,42.0,42.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.710107266945181
21/03/2017 14:24:09,21/03/2017 14:38:54,J1807-2459B,4.744450039444265,-0.4363230288165892,1.0,507,884.0,884.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
