Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 10:47:18,1490176038000
Duration,  0 day, 21 hours, 47 minutes, 18 seconds,78438000
Slew time, 0 day, 2 hours, 0 minute, 25 seconds,7225000.0
Integration time, 0 day, 15 hours, 41 minutes, 53 seconds,5.6513E7
Waiting time, 0 day, 4 hours, 5 minutes, 0 second,1.47E7
Relative slew time, 0.09211096662332033
Relative integration time, 0.7204798694510314
Relative waiting time, 0.18740916392564827
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:21,J0647+0913,1.7770127956822,0.1611496435324042,60.0,276,201.0,201.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:04:21,21/03/2017 13:09:51,J1215-5328,3.207087588211923,-0.9330161722764042,165.0,376,165.0,165.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.2793562359207598
21/03/2017 13:09:51,21/03/2017 13:19:37,B0940-55,2.540605251737544,-0.9748037178922785,46.0,370,540.0,540.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:19:37,21/03/2017 13:21:49,J0532-6639,1.4529509684797177,-1.163081110951167,28.0,189,104.0,104.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.823239127652705
21/03/2017 13:21:49,21/03/2017 13:28:21,B0021-72I,0.10529665915949607,-1.2576082935314208,20.0,253,372.0,372.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:28:21,21/03/2017 13:41:10,B0953-52,2.5983225628804747,-0.9261070925069123,51.0,592,718.0,718.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:41:10,21/03/2017 14:02:01,B0943+10,2.5574600417681577,0.1721815788460517,205.0,769,1046.0,1046.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:02:01,21/03/2017 14:08:49,J1558-5756,4.18228376277906,-1.0110008769512786,202.0,127,206.0,206.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:08:49,21/03/2017 14:11:53,J1737-3102,4.61448546321459,-0.5416314204671681,25.0,182,159.0,159.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1474673522758518
21/03/2017 14:11:53,21/03/2017 14:15:56,B0833-45,2.2486103217937075,-0.7881379662280048,114.0,261,129.0,129.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.027783725052841
21/03/2017 14:15:56,21/03/2017 14:23:53,J1659-4316,4.450326338756698,-0.7551167008753467,107.0,318,370.0,370.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:23:53,21/03/2017 14:37:06,J0821-4300,2.1901966104620407,-0.750408801269649,112.0,422,681.0,681.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:37:06,21/03/2017 15:36:34,J1600-3053,4.192564730330353,-0.5387765209294614,132.0,3388,3436.0,3436.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:36:34,21/03/2017 15:45:49,J1831-1423,4.849768209132292,-0.25081350978520733,26.0,529,529.0,529.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:45:49,21/03/2017 16:07:08,J1804-28,4.733332931408621,-0.49072840801907236,14.0,1150,1265.0,1265.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:07:08,21/03/2017 16:15:07,J0843+0719,2.2844774567868544,0.12764077633515641,179.0,395,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:15:07,21/03/2017 16:25:53,J1701-3006B,4.455874136855754,-0.5251063328285298,187.0,640,459.0,459.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3954617752818212
21/03/2017 16:25:53,21/03/2017 16:29:46,J1823-1126,4.8141896723303885,-0.19952991859744063,23.0,192,210.0,210.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:29:46,21/03/2017 16:35:02,J1557-4258,4.175718997685893,-0.7498484245282018,40.0,276,276.0,276.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:35:02,21/03/2017 16:38:49,J1759-3107,4.7096296148372865,-0.5429840506374637,24.0,186,203.0,203.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:38:49,21/03/2017 17:00:36,J1830-1313,4.8463415460342105,-0.23059580965557747,14.0,1293,1293.0,1293.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:00:36,21/03/2017 17:02:27,J1840-0559,4.888607602753342,-0.1043503270946543,8.0,305,103.0,103.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.969084139242587
21/03/2017 17:02:27,21/03/2017 17:09:30,B1620-09,4.290432071770159,-0.15916821001770953,29.0,769,394.0,394.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.95069979481586
21/03/2017 17:09:30,21/03/2017 17:15:20,J1739+0612,4.622065719044209,0.10834810070908354,23.0,288,327.0,327.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:15:20,21/03/2017 17:38:48,B1309-12,3.455217339143297,-0.21757662306306202,97.0,825,1311.0,1311.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:38:48,21/03/2017 17:52:15,J1329-6158,3.5301683949306804,-1.0812363197472983,131.0,415,676.0,676.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:52:15,21/03/2017 18:00:40,B1732-07,4.6036674543617995,-0.128899885946366,126.0,245,379.0,379.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:00:40,21/03/2017 18:22:55,B1727-47,4.588914426177464,-0.8329362780104352,61.0,1238,1274.0,1274.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:22:55,21/03/2017 18:26:11,J1906+0055,5.000368306963755,0.015998851476614687,57.0,257,139.0,139.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.855009266403564
21/03/2017 18:26:11,21/03/2017 18:27:05,J1853+03,4.943645106273938,0.05235987755982989,4.0,50,50.0,50.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:27:05,21/03/2017 18:38:13,J1322-62,3.503312141065618,-1.096939434878436,136.0,532,532.0,532.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:38:13,21/03/2017 18:49:39,J1541-5535,4.109494079104115,-0.9701073277633705,27.0,659,659.0,659.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:49:39,21/03/2017 18:53:58,J1801-0857C,4.720442271347036,-0.15604843397976967,113.0,165,146.0,146.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:53:58,21/03/2017 19:04:35,J1546-5302,4.128241824152621,-0.9254947728276709,117.0,262,520.0,520.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:04:35,21/03/2017 19:20:27,J2033+1734,5.381978526526395,0.30688045697999955,115.0,1643,837.0,837.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.963197104137941
21/03/2017 19:20:27,21/03/2017 19:47:10,B1736-31,4.62252663141084,-0.5499954260936698,64.0,1244,1539.0,1539.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:47:10,21/03/2017 19:53:00,J1337-6306,3.566314890960005,-1.1011897964207236,117.0,284,233.0,233.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:53:00,21/03/2017 19:53:45,J1454-5846,3.901604130352358,-1.025503399482517,9.0,50,36.0,36.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.388561002066992
21/03/2017 19:53:45,21/03/2017 20:02:04,B1310+18,3.459751631817926,0.31706814744563655,99.0,1116,incomplete,400.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 82 [+]
21/03/2017 20:02:04,21/03/2017 20:10:28,J1759-2307,4.710276041158995,-0.4033795270935672,246.0,510,258.0,258.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.973048484533752
21/03/2017 20:10:28,21/03/2017 20:15:32,J1807-2459A,4.744412543590557,-0.43578495108040455,4.0,507,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:15:32,21/03/2017 20:17:03,J1821-1432,4.8069114311834165,-0.2533965970781589,17.0,189,74.0,74.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.544739276186128
21/03/2017 20:17:03,21/03/2017 20:19:12,J2043+2740,5.426774059841619,0.4831459220465192,54.0,85,75.0,75.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1342255598471418
21/03/2017 20:19:12,21/03/2017 20:20:26,J1834-0812,4.862909083958767,-0.143116998663535,47.0,47,27.0,27.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7402868023642275
21/03/2017 20:20:26,21/03/2017 20:27:32,B1944+17,5.178758700698303,0.3158136435643975,31.0,395,395.0,395.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:27:32,21/03/2017 20:32:18,J1740-3052,4.628758693115347,-0.5387041154606287,57.0,262,229.0,229.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:32:18,21/03/2017 20:36:36,B1935+25,5.135723382839153,0.4491977166914499,61.0,234,197.0,197.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:36:36,21/03/2017 21:26:55,J1022-5813,2.716030476517059,-1.0159270687650328,179.0,2414,2840.0,2840.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:26:55,21/03/2017 21:32:07,J1931+1440,5.1094513852134,0.255981623625835,189.0,123,123.0,123.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:32:07,21/03/2017 21:37:21,B1924+16,5.090930678411758,0.2933742362597151,3.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:37:21,21/03/2017 21:40:16,J1852-2610,4.943606345420133,-0.45663291626768204,43.0,85,132.0,132.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:40:16,21/03/2017 21:58:50,J2032+4127,5.376567264080281,0.7235570755643679,70.0,1961,1044.0,1044.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:58:50,21/03/2017 22:34:24,J0542-68,1.494801782280977,-1.1914781026947956,151.0,1410,1983.0,1983.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
