Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:42:43,1490197363000
Duration,  1 day, 3 hours, 42 minutes, 43 seconds,99763000
Slew time, 0 day, 1 hour, 48 minutes, 1 second,6481000.0
Integration time, 0 day, 13 hours, 30 minutes, 42 seconds,4.8642E7
Waiting time, 0 day, 12 hours, 24 minutes, 0 second,4.464E7
Relative slew time, 0.06496396459609274
Relative integration time, 0.48757555406312963
Relative waiting time, 0.44746048134077765
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:15:57,J1634-49,4.339324852770901,-0.870337520327839,138.0,647,819.0,819.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:15:57,21/03/2017 13:18:44,B1240-64,3.3304633131502555,-1.123585522012738,32.0,234,135.0,135.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7376412090343993
21/03/2017 13:18:44,21/03/2017 13:19:22,J1454-5846,3.901604130352358,-1.025503399482517,13.0,50,25.0,25.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.9967475427588963
21/03/2017 13:19:22,21/03/2017 13:34:16,J1210-5559,3.1856613445380235,-0.9770744882118594,21.0,510,873.0,873.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:16,21/03/2017 13:40:37,B1659-60,4.469119171477547,-1.0515899631474501,35.0,346,346.0,346.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:40:37,21/03/2017 13:49:39,J1056-7117,2.865683733229313,-1.2438700070463995,28.0,543,514.0,514.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.05693658590764
21/03/2017 13:49:39,21/03/2017 13:51:58,J1542-5303,4.114214467510238,-0.9256983945737369,41.0,163,98.0,98.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.663968168688667
21/03/2017 13:51:58,21/03/2017 13:57:26,B1236-68,3.31605285673706,-1.19599802064378,28.0,1238,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:57:26,21/03/2017 14:07:38,J1329-6158,3.5301683949306804,-1.0812363197472983,12.0,415,600.0,600.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:07:38,21/03/2017 14:11:01,J1543-5149,4.11782437563537,-0.9041063203802138,17.0,186,186.0,186.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:11:01,21/03/2017 14:19:49,J1541-5535,4.109494079104115,-0.9701073277633705,4.0,659,524.0,524.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.256834956266636
