Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 06:46:12,1490161572000
Duration,  0 day, 17 hours, 46 minutes, 12 seconds,63972000
Slew time, 0 day, 0 hour, 36 minutes, 43 seconds,2203000.0
Integration time, 0 day, 7 hours, 10 minutes, 29 seconds,2.5829E7
Waiting time, 0 day, 9 hours, 59 minutes, 0 second,3.594E7
Relative slew time, 0.03443694116175827
Relative integration time, 0.4037547677108735
Relative waiting time, 0.5618082911273682
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:28:36,J1143-5536,3.0681281092707438,-0.9703812474931973,147.0,1211,1569.0,1569.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:28:36,21/03/2017 13:37:23,J1056-7117,2.865683733229313,-1.2438700070463995,27.0,543,500.0,500.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0851259243823512
21/03/2017 13:37:23,21/03/2017 13:55:35,J0533+0402,1.4548642856722165,0.07039737056551017,107.0,659,985.0,985.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:55:35,21/03/2017 14:11:03,B1323-62,3.5224671296062557,-1.0882874499253554,131.0,768,797.0,797.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:11:03,21/03/2017 14:14:00,B1659-60,4.469119171477547,-1.0515899631474501,23.0,346,154.0,154.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.252939008439746
21/03/2017 14:14:00,21/03/2017 14:14:32,J1454-5846,3.901604130352358,-1.025503399482517,16.0,50,16.0,16.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 3.20974093899613
21/03/2017 14:14:32,21/03/2017 14:18:02,B0833-45,2.2486103217937075,-0.7881379662280048,93.0,261,117.0,117.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2263852244231233
21/03/2017 14:18:02,21/03/2017 16:01:34,J1319-6105,3.4882092252716936,-1.065978263575419,82.0,5293,incomplete,6130.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 16:01:34,21/03/2017 16:06:44,J1701-3006B,4.455874136855754,-0.5251063328285298,48.0,640,262.0,262.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.443101462947538
21/03/2017 16:06:44,21/03/2017 16:49:55,J1012-4235,2.670862809916489,-0.7432193731409187,136.0,2072,2455.0,2455.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:49:55,21/03/2017 17:10:25,J1535-4415,4.083773743693892,-0.7722674696582776,116.0,1150,1114.0,1114.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:10:25,21/03/2017 17:13:39,J1435-5954,3.8179339186763754,-1.0452136936134975,45.0,189,149.0,149.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:13:39,21/03/2017 17:16:50,J1337-6306,3.566314890960005,-1.1011897964207236,15.0,284,176.0,176.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:16:50,21/03/2017 17:30:12,B0953-52,2.5983225628804747,-0.9261070925069123,39.0,592,763.0,763.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:30:12,21/03/2017 17:34:47,J1558-5756,4.18228376277906,-1.0110008769512786,71.0,127,204.0,204.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:34:47,21/03/2017 17:42:38,J1744-1610,4.643778196715436,-0.2819879991079128,71.0,298,400.0,400.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:42:38,21/03/2017 17:47:19,J1148-6415,3.0919816696018545,-1.1212140558915904,124.0,178,157.0,157.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1333439439523676
21/03/2017 17:47:19,21/03/2017 17:49:33,J1526-5633,4.04343336691613,-0.9867752221199162,42.0,196,92.0,92.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1213925285770032
21/03/2017 17:49:33,21/03/2017 17:59:21,J1632-4509,4.329434653676268,-0.78797252404414,36.0,844,552.0,552.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5300536868219818
21/03/2017 17:59:21,21/03/2017 18:04:09,B1829-08,4.854707490915438,-0.14746267457552845,50.0,182,238.0,238.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:04:09,21/03/2017 18:05:31,J1800-0125,4.713994683296525,-0.02457714475016682,13.0,85,69.0,69.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.225131170521229
21/03/2017 18:05:31,21/03/2017 18:08:28,J1759-1956,4.710601472342439,-0.34786351246971425,20.0,133,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:08:28,21/03/2017 18:10:39,J1845-1351,4.909574824833966,-0.24146387794500995,11.0,298,incomplete,120.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 18:10:39,21/03/2017 18:12:41,J1839-0436,4.882563236665475,-0.08000637772510116,10.0,196,112.0,112.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7456433485645608
21/03/2017 18:12:41,21/03/2017 18:16:27,J1759-2307,4.710276041158995,-0.4033795270935672,18.0,510,208.0,208.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.449632763730461
21/03/2017 18:16:27,21/03/2017 18:21:32,J1824-2452F,4.8194947460359305,-0.43395090819697235,5.0,415,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:21:32,21/03/2017 18:33:58,J1812-2102,4.766270930496362,-0.3669263864109412,7.0,739,739.0,739.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:33:58,21/03/2017 18:43:01,B1848+12,4.935879481933347,0.22677300529866065,29.0,364,514.0,514.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:43:01,21/03/2017 18:43:57,J1834-0812,4.862909083958767,-0.143116998663535,18.0,47,38.0,38.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.235160815900515
21/03/2017 18:43:57,21/03/2017 18:46:34,B1846-06,4.926659780159685,-0.11544916669629493,3.0,153,154.0,154.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:46:34,21/03/2017 18:51:45,J1855+0700,4.953660387298299,0.1223529135152947,11.0,529,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:51:45,21/03/2017 18:57:23,J1549-5722,4.1442770366553185,-1.0012275179537915,118.0,273,220.0,220.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2410222072623494
21/03/2017 18:57:23,21/03/2017 19:04:44,J1548-4821,4.138121842159952,-0.8436257409397468,9.0,432,432.0,432.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:04:44,21/03/2017 19:35:29,J1907+0740,5.0079399815912184,0.1339181438781627,122.0,1238,1723.0,1723.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:35:29,21/03/2017 19:44:33,J1807-2459A,4.744412543590557,-0.43578495108040455,37.0,507,507.0,507.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:44:33,21/03/2017 19:49:48,J1715-3247,4.517745498879152,-0.5720316623411414,15.0,367,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:49:48,21/03/2017 19:54:57,J1923+2515,5.076180559836729,0.4408925499925424,61.0,298,248.0,248.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2034928148316748
21/03/2017 19:54:57,21/03/2017 20:03:17,B1915+22,5.051580630540398,0.39060856510577985,3.0,475,497.0,497.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:03:17,21/03/2017 20:12:11,B1953+29,5.216198317715415,0.5086832708353853,9.0,455,525.0,525.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:12:11,21/03/2017 20:15:26,J2006+3102,5.262967637336735,0.5416483889460069,1.0,298,194.0,194.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.540035537804679
21/03/2017 20:15:26,21/03/2017 20:19:58,B2002+31,5.257243393722505,0.551863461688353,1.0,189,271.0,271.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:19:58,21/03/2017 20:35:52,J2010+3230,5.281548121665257,0.5672673982968781,0.0,543,954.0,954.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:35:52,21/03/2017 20:40:57,J2021+4026,5.329798476057163,0.7059134451932209,5.0,69,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:40:57,21/03/2017 20:42:48,J1748-2446aa,4.660378168675259,-0.432041711920763,74.0,547,547.0,37.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:42:48,21/03/2017 20:47:12,B0840-48,2.2780451912727337,-0.8524924983535592,184.0,1396,incomplete,80.0,35940,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 98 [+]Waited for more observables to rise above the horizon. 
