Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:11:13,1490148673000
Duration,  0 day, 14 hours, 11 minutes, 13 seconds,51073000
Slew time, 0 day, 1 hour, 49 minutes, 49 seconds,6589000.0
Integration time, 0 day, 10 hours, 48 minutes, 24 seconds,3.8904E7
Waiting time, 0 day, 1 hour, 33 minutes, 0 second,5580000.0
Relative slew time, 0.1290114150333836
Relative integration time, 0.7617332054118614
Relative waiting time, 0.10925537955475496
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:14:49,B0559-05,1.579448949277968,-0.09487532243652198,75.0,751,814.0,814.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:14:49,21/03/2017 13:31:21,J1542-5034,4.113557132880706,-0.8825480377002638,150.0,842,842.0,842.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:31:21,21/03/2017 13:39:12,J1659-4316,4.450326338756698,-0.7551167008753467,12.0,318,459.0,459.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:39:12,21/03/2017 13:48:40,B1449-64,3.898828256899113,-1.1207166855361403,23.0,545,545.0,545.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:48:40,21/03/2017 13:53:34,J0702-4956,1.8441803375041583,-0.8713352668835623,81.0,311,213.0,213.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4595119280468818
21/03/2017 13:53:34,21/03/2017 14:11:55,J0647+0913,1.7770127956822,0.1611496435324042,65.0,276,1036.0,1036.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:11:55,21/03/2017 15:19:57,J1525-5605,4.039088224299186,-0.9787757963816089,157.0,2800,3925.0,3925.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:19:57,21/03/2017 15:44:42,B1736-31,4.62252663141084,-0.5499954260936698,24.0,1244,1461.0,1461.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:44:42,21/03/2017 15:54:30,J1632-4509,4.329434653676268,-0.78797252404414,21.0,844,567.0,567.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4891858414323196
21/03/2017 15:54:30,21/03/2017 16:02:06,J1808-3249,4.7476213602182815,-0.5725940462112286,19.0,400,437.0,437.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
