Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:11:29,1490148689000
Duration,  0 day, 14 hours, 11 minutes, 29 seconds,51089000
Slew time, 0 day, 1 hour, 0 minute, 34 seconds,3634000.0
Integration time, 0 day, 9 hours, 32 minutes, 55 seconds,3.4375E7
Waiting time, 0 day, 3 hours, 38 minutes, 0 second,1.308E7
Relative slew time, 0.07113077179040497
Relative integration time, 0.6728454266084676
Relative waiting time, 0.2560238016011274
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:15:31,J0533+0402,1.4548642856722165,0.07039737056551017,71.0,659,860.0,860.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:15:31,21/03/2017 13:21:11,J1601-50,4.194898857168371,-0.8793550547964764,153.0,187,187.0,187.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:21:11,21/03/2017 13:24:44,J1101-6101,2.8874261723860326,-1.0647497457074873,35.0,245,178.0,178.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:24:44,21/03/2017 13:32:59,J1502-5653,3.9398909090989926,-0.9926113607317447,27.0,327,468.0,468.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:32:59,21/03/2017 14:28:46,J1743-35,4.638648819487928,-0.6201736608753184,31.0,1874,3316.0,3316.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:28:46,21/03/2017 14:30:42,J1709-3626,4.493142901410727,-0.6358641708507474,15.0,153,101.0,101.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5108300405412967
21/03/2017 14:30:42,21/03/2017 14:34:25,J1148-6415,3.0919816696018545,-1.1212140558915904,53.0,178,170.0,170.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0471727300481968
21/03/2017 14:34:25,21/03/2017 15:14:17,J1012-4235,2.670862809916489,-0.7432193731409187,56.0,2072,2336.0,2336.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:14:17,21/03/2017 15:46:11,J0542-68,1.494801782280977,-1.1914781026947956,44.0,1410,1870.0,1870.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:46:11,21/03/2017 15:59:17,J1634-49,4.339324852770901,-0.870337520327839,74.0,647,712.0,712.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:59:17,21/03/2017 16:07:15,B0940-55,2.540605251737544,-0.9748037178922785,90.0,370,388.0,388.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:07:15,21/03/2017 16:12:02,J1759-2307,4.710276041158995,-0.4033795270935672,117.0,510,incomplete,170.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 10 [+]
21/03/2017 16:12:02,21/03/2017 16:13:19,J1454-5846,3.901604130352358,-1.025503399482517,49.0,50,28.0,28.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.7736875321235266
21/03/2017 16:13:19,21/03/2017 16:18:12,J1546-5302,4.128241824152621,-0.9254947728276709,15.0,262,278.0,278.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:18:12,21/03/2017 18:23:21,J1600-3053,4.192564730330353,-0.5387765209294614,38.0,3388,7471.0,7471.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:23:21,21/03/2017 18:25:53,J1712-392,4.505494741971195,-0.6931866012504145,15.0,139,137.0,137.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0160417553835077
