Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 15:34:41,1490279681000
Duration,  2 days, 2 hours, 34 minutes, 41 seconds,182081000
Slew time, 0 day, 0 hour, 54 minutes, 16 seconds,3256000.0
Integration time, 1 day, 1 hour, 25 minutes, 25 seconds,9.1525E7
Waiting time, 1 day, 0 hour, 15 minutes, 0 second,8.73E7
Relative slew time, 0.017882151350223252
Relative integration time, 0.502660903663754
Relative waiting time, 0.4794569449860227
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:14:44,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,842.0,842.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:14:44,21/03/2017 13:17:45,J0647+0913,1.7770127956822,0.1611496435324042,55.0,276,126.0,126.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:17:45,21/03/2017 13:33:28,J0633+0632,1.7180010320107069,0.11419737777167009,5.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:33:28,21/03/2017 13:49:23,B0559-05,1.579448949277968,-0.09487532243652198,18.0,751,937.0,937.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:49:23,21/03/2017 13:52:13,J0806-4123,2.122276737193805,-0.7218347264808581,35.0,135,135.0,135.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:52:13,21/03/2017 13:55:22,J0749-4247,2.050011015904719,-0.7465057311596877,3.0,170,186.0,186.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:55:22,21/03/2017 14:00:25,J0821-4300,2.1901966104620407,-0.750408801269649,5.0,422,298.0,298.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:00:25,21/03/2017 14:04:50,B0833-45,2.2486103217937075,-0.7881379662280048,4.0,261,261.0,261.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:50,21/03/2017 14:08:10,J0855-4644,2.337008958389797,-0.8155855720654147,4.0,196,196.0,196.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:08:10,21/03/2017 14:43:42,B0840-48,2.2780451912727337,-0.8524924983535592,3.0,1396,2129.0,2129.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:43:42,21/03/2017 15:40:35,J1012-4235,2.670862809916489,-0.7432193731409187,11.0,2072,3412.0,3402.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:40:35,21/03/2017 15:51:41,J1012-5830,2.6743461962152613,-1.020893500114319,21.0,598,645.0,645.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:51:41,21/03/2017 16:54:41,J1022-5813,2.716030476517059,-1.0159270687650328,0.0,2414,3780.0,3780.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:54:41,21/03/2017 17:24:03,J1124-5916,2.9873491809447947,-1.034306355415895,1.0,1643,1761.0,1761.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:24:03,21/03/2017 17:27:12,J1135-6055,3.0325095753401476,-1.0631964026732124,2.0,187,187.0,187.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:27:12,21/03/2017 17:32:00,J1112-6103,2.933230156943058,-1.065372731287713,2.0,644,286.0,286.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2529953324733545
21/03/2017 17:32:00,21/03/2017 17:37:38,B1112-60,2.942517490225233,-1.0644850374376016,0.0,318,338.0,338.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:37:38,21/03/2017 17:40:42,B1154-62,3.129610968274852,-1.0888388285248813,5.0,329,179.0,179.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8333159545837496
21/03/2017 17:40:42,21/03/2017 17:43:42,J1148-6415,3.0919816696018545,-1.1212140558915904,2.0,178,178.0,178.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:43:42,21/03/2017 17:49:10,J1137-6700,3.0435697995320883,-1.1692105618400666,2.0,370,326.0,326.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1335411171674037
21/03/2017 17:49:10,21/03/2017 17:59:04,J1055-6905,2.861228053093076,-1.2056763561597694,4.0,367,590.0,590.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:59:04,21/03/2017 18:07:41,J1056-7117,2.865683733229313,-1.2438700070463995,2.0,543,515.0,515.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.054350547943864
21/03/2017 18:07:41,21/03/2017 18:09:11,J1211-6324,3.1913476272410213,-1.1063196099805435,8.0,128,82.0,82.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5585213266139213
21/03/2017 18:09:11,21/03/2017 18:12:28,J1233-6344,3.2884839267607657,-1.1120898624131093,2.0,298,195.0,195.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:12:28,21/03/2017 18:15:48,B1240-64,3.3304633131502555,-1.123585522012738,1.0,234,199.0,199.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1780237549595491
21/03/2017 18:15:48,21/03/2017 19:06:42,J1248-6344,3.3544035581675486,-1.112309967824333,0.0,1961,3054.0,3054.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:06:42,21/03/2017 19:09:31,J1337-6306,3.566314890960005,-1.1011897964207236,1.0,284,168.0,168.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:09:31,21/03/2017 19:18:25,J1322-62,3.503312141065618,-1.096939434878436,2.0,532,532.0,532.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:18:25,21/03/2017 19:38:49,B1323-62,3.5224671296062557,-1.0882874499253554,1.0,768,1223.0,1223.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:38:49,21/03/2017 19:45:24,J1329-6158,3.5301683949306804,-1.0812363197472983,2.0,415,393.0,393.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:45:24,21/03/2017 20:48:44,J1319-6105,3.4882092252716936,-1.065978263575419,2.0,5293,6368.0,3798.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:48:44,21/03/2017 20:53:50,B1449-64,3.898828256899113,-1.1207166855361403,6.0,545,incomplete,300.0,0,600,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:53:50,21/03/2017 21:23:01,J1539-6322,4.098956653745199,-1.1056990484687232,4.0,1643,1747.0,1747.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:23:01,21/03/2017 21:27:54,B1659-60,4.469119171477547,-1.0515899631474501,6.0,346,287.0,287.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2054059295402366
21/03/2017 21:27:54,21/03/2017 21:50:40,B1727-47,4.588914426177464,-0.8329362780104352,12.0,1238,1354.0,1354.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
