Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 04:57:29,1490155049000
Duration,  0 day, 15 hours, 57 minutes, 29 seconds,57449000
Slew time, 0 day, 0 hour, 27 minutes, 34 seconds,1654000.0
Integration time, 0 day, 10 hours, 28 minutes, 55 seconds,3.7735E7
Waiting time, 0 day, 5 hours, 1 minute, 0 second,1.806E7
Relative slew time, 0.02879075353792059
Relative integration time, 0.6568434611568522
Relative waiting time, 0.31436578530522724
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:09:08,B0940+16,2.5460063185519446,0.2884495958497406,49.0,542,499.0,499.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:09:08,21/03/2017 13:22:00,J0533+0402,1.4548642856722165,0.07039737056551017,71.0,659,701.0,701.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:00,21/03/2017 13:25:35,J0749-4247,2.050011015904719,-0.7465057311596877,46.0,170,169.0,169.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:35,21/03/2017 13:28:20,J0855-4644,2.337008958389797,-0.8155855720654147,18.0,196,147.0,147.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.3361779855642544
21/03/2017 13:28:20,21/03/2017 13:37:58,B0953-52,2.5983225628804747,-0.9261070925069123,32.0,592,546.0,546.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:37:58,21/03/2017 13:57:52,B1232-55,3.2956906821304592,-0.9645852999355328,44.0,1150,1150.0,1150.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:57:52,21/03/2017 14:02:13,J1548-4821,4.138121842159952,-0.8436257409397468,25.0,432,236.0,236.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.83099502976865
21/03/2017 14:02:13,21/03/2017 14:05:23,J1700-3919,4.452209112687287,-0.6862051872797011,14.0,189,176.0,176.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:05:23,21/03/2017 15:09:11,J1700-3312,4.4544424796313695,-0.5792238733004015,5.0,2800,3823.0,3823.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:09:11,21/03/2017 15:11:45,J1737-3102,4.61448546321459,-0.5416314204671681,4.0,182,150.0,150.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.211255856308721
21/03/2017 15:11:45,21/03/2017 15:27:29,J1747-2802,4.657596550179893,-0.4890945859137332,2.0,606,942.0,942.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:27:29,21/03/2017 17:14:33,J1720-2446,4.539489392476914,-0.43212897838336267,7.0,5293,6417.0,6417.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:14:33,21/03/2017 17:40:21,J1801-2154,4.717358078209222,-0.3820719658088031,12.0,532,1536.0,1536.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:40:21,21/03/2017 17:46:06,J1822-1617,4.8110437163536695,-0.2840280950780217,6.0,486,339.0,339.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.43562941929903
21/03/2017 17:46:06,21/03/2017 17:54:56,J1831-1423,4.849768209132292,-0.25081350978520733,1.0,529,529.0,529.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:54:56,21/03/2017 18:04:02,B1817-13,4.801092358013162,-0.24019948386467627,3.0,543,543.0,543.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:04:02,21/03/2017 18:07:47,J1823-1126,4.8141896723303885,-0.19952991859744063,3.0,192,222.0,222.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:07:47,21/03/2017 18:12:50,B1830-08,4.8593093423765295,-0.14732881751817412,3.0,472,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:12:50,21/03/2017 18:41:41,J1838-0655,4.878422879347432,-0.12055667882678388,1.0,3388,incomplete,1730.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 43 [+]
21/03/2017 18:41:41,21/03/2017 18:56:04,J1900-09,4.975206476914169,-0.16519056556445222,2.0,1436,861.0,861.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6669423533111385
21/03/2017 18:56:04,21/03/2017 19:04:40,J1843-0137,4.9009303544929415,-0.027991687506221278,13.0,405,503.0,503.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:04:40,21/03/2017 19:11:32,J1852+0033,4.9426706307749075,0.009700636945320706,1.0,842,411.0,411.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0480782477027746
21/03/2017 19:11:32,21/03/2017 19:13:09,J1800-0125,4.713994683296525,-0.02457714475016682,12.0,85,85.0,85.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:13:09,21/03/2017 19:16:59,B1732-07,4.6036674543617995,-0.128899885946366,8.0,245,222.0,222.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:16:59,21/03/2017 19:21:40,J1741+1351,4.631750795773232,0.2419420501150206,18.0,263,263.0,263.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:21:40,21/03/2017 19:29:44,J1838+1650,4.881326816334542,0.2938749033481968,11.0,473,473.0,473.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:29:44,21/03/2017 20:03:45,B1913+105,5.044853840715002,0.1835184619651171,10.0,1703,2031.0,2031.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:03:45,21/03/2017 20:23:06,J1911-1114,5.025769588914508,-0.19595039374570458,22.0,768,1139.0,1139.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:23:06,21/03/2017 20:25:02,J1758-2846,4.704782980948603,-0.5020633518834133,27.0,89,89.0,89.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:25:02,21/03/2017 20:28:58,J1852+0040,4.942086672696012,0.01173152145548855,30.0,366,506.0,206.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.774089936877253
21/03/2017 20:28:58,21/03/2017 20:33:48,J1933+0758,5.119589348339765,0.1390785491812607,11.0,395,279.0,279.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4165855446849216
21/03/2017 20:33:48,21/03/2017 21:02:37,J1944+0907,5.166853006291774,0.15922764478131782,1.0,1728,1728.0,1728.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:02:37,21/03/2017 21:03:32,J1931+1440,5.1094513852134,0.255981623625835,14.0,123,41.0,41.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.00331238537178
21/03/2017 21:03:32,21/03/2017 21:10:15,B1943-29,5.178663434809965,-0.5096986825472073,58.0,326,345.0,345.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:10:15,21/03/2017 21:34:11,J2241-5236,5.941538451459661,-0.9178675579448986,45.0,1039,1391.0,1391.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:34:11,21/03/2017 21:37:05,J1135-6055,3.0325095753401476,-1.0631964026732124,76.0,187,98.0,98.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9142048666930205
21/03/2017 21:37:05,21/03/2017 22:03:48,J1124-5916,2.9873491809447947,-1.034306355415895,2.0,1643,1601.0,1601.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:03:48,21/03/2017 22:05:37,B1154-62,3.129610968274852,-1.0888388285248813,2.0,329,107.0,107.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.062260547980316
21/03/2017 22:05:37,21/03/2017 22:07:46,J1211-6324,3.1913476272410213,-1.1063196099805435,1.0,128,128.0,128.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:07:46,21/03/2017 22:10:40,J1233-6344,3.2884839267607657,-1.1120898624131093,2.0,298,172.0,172.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:10:40,21/03/2017 22:20:16,J1309-6415,3.4438691356247775,-1.1210880043345022,3.0,549,573.0,573.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:20:16,21/03/2017 22:23:32,J1435-5954,3.8179339186763754,-1.0452136936134975,8.0,189,188.0,188.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:23:32,21/03/2017 22:25:12,J1418-5945,3.746080167812813,-1.0428342280666119,2.0,322,98.0,98.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 3.273676366273141
21/03/2017 22:25:12,21/03/2017 23:03:59,B1323-62,3.5224671296062557,-1.0882874499253554,5.0,768,2322.0,2322.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 23:03:59,21/03/2017 23:04:14,J1319-6105,3.4882092252716936,-1.065978263575419,5.0,5293,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2436 (723)
21/03/2017 23:04:14,21/03/2017 23:06:38,J1148-6415,3.0919816696018545,-1.1212140558915904,8.0,178,136.0,136.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3124211767590748
21/03/2017 23:06:38,21/03/2017 23:10:16,B1112-60,2.942517490225233,-1.0644850374376016,5.0,318,213.0,213.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 23:10:16,21/03/2017 23:19:59,J1012-5830,2.6743461962152613,-1.020893500114319,6.0,598,577.0,577.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:19:59,21/03/2017 23:35:26,J2050+13,5.454153912482279,0.22718369096792856,183.0,1181,744.0,744.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5880458451652872
21/03/2017 23:35:26,21/03/2017 23:39:05,J2006+3102,5.262967637336735,0.5416483889460069,17.0,298,202.0,202.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4744487773907151
21/03/2017 23:39:05,21/03/2017 23:45:45,J2021+4026,5.329798476057163,0.7059134451932209,356.0,69,44.0,44.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.580787610234283
21/03/2017 23:45:45,21/03/2017 23:56:29,J2203+50,5.7726765009712455,0.8726646259971648,344.0,1410,incomplete,300.0,18060,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
