Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 04:57:24,1490155044000
Duration,  0 day, 15 hours, 57 minutes, 24 seconds,57444000
Slew time, 0 day, 0 hour, 23 minutes, 29 seconds,1409000.0
Integration time, 0 day, 13 hours, 14 minutes, 55 seconds,4.7695E7
Waiting time, 0 day, 2 hours, 19 minutes, 0 second,8340000.0
Relative slew time, 0.024528236195251026
Relative integration time, 0.8302868880997145
Relative waiting time, 0.14518487570503447
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:42,B0940+16,2.5460063185519446,0.2884495958497406,49.0,542,593.0,593.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:10:42,21/03/2017 13:25:42,J0533+0402,1.4548642856722165,0.07039737056551017,71.0,659,829.0,829.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:42,21/03/2017 13:29:05,J0749-4247,2.050011015904719,-0.7465057311596877,46.0,170,157.0,157.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:29:05,21/03/2017 13:31:35,J0855-4644,2.337008958389797,-0.8155855720654147,17.0,196,133.0,133.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4752900196252459
21/03/2017 13:31:35,21/03/2017 13:45:50,B0940-55,2.540605251737544,-0.9748037178922785,29.0,370,826.0,826.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:50,21/03/2017 13:51:37,B1232-55,3.2956906821304592,-0.9645852999355328,47.0,1150,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:51:37,21/03/2017 13:55:31,J1557-4258,4.175718997685893,-0.7498484245282018,30.0,276,204.0,204.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3505390783038838
21/03/2017 13:55:31,21/03/2017 13:59:34,J1700-3919,4.452209112687287,-0.6862051872797011,11.0,189,232.0,232.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:59:34,21/03/2017 14:57:08,J1700-3312,4.4544424796313695,-0.5792238733004015,5.0,2800,3449.0,3449.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:57:08,21/03/2017 14:59:12,J1737-3102,4.61448546321459,-0.5416314204671681,4.0,182,120.0,120.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.5165700286359909
21/03/2017 14:59:12,21/03/2017 15:15:38,J1747-2802,4.657596550179893,-0.4890945859137332,2.0,606,984.0,984.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:15:38,21/03/2017 15:21:34,J1807-2459A,4.744412543590557,-0.43578495108040455,2.0,507,354.0,354.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4339184915129062
21/03/2017 15:21:34,21/03/2017 15:54:52,B1757-23,4.71238898038469,-0.4139339209313218,2.0,1244,1996.0,1996.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:54:52,21/03/2017 16:04:07,J1812-2102,4.766270930496362,-0.3669263864109412,4.0,739,551.0,551.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3416998162992961
21/03/2017 16:04:07,21/03/2017 17:04:09,B1813-26,4.784776656555258,-0.467782176492158,4.0,3388,3598.0,3598.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
