Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 04:40:45,1490154045000
Duration,  0 day, 15 hours, 40 minutes, 45 seconds,56445000
Slew time, 0 day, 0 hour, 17 minutes, 24 seconds,1044000.0
Integration time, 0 day, 8 hours, 42 minutes, 21 seconds,3.1341E7
Waiting time, 0 day, 6 hours, 41 minutes, 0 second,2.406E7
Relative slew time, 0.01849588094605368
Relative integration time, 0.5552484719638586
Relative waiting time, 0.4262556470900877
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:22:00,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,1278.0,1278.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:00,21/03/2017 13:27:19,J0628+0909,1.6956006764480376,0.1597650156591554,60.0,322,259.0,259.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:27:19,21/03/2017 13:30:29,J0806-4123,2.122276737193805,-0.7218347264808581,55.0,135,135.0,135.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:29,21/03/2017 13:47:25,B0950-38,2.5843381122488704,-0.6745203049003351,19.0,1045,997.0,997.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:47:25,21/03/2017 14:04:58,J1143-5536,3.0681281092707438,-0.9703812474931973,65.0,1211,988.0,988.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:04:58,21/03/2017 14:10:14,J1548-4821,4.138121842159952,-0.8436257409397468,30.0,432,286.0,286.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5082658091572285
21/03/2017 14:10:14,21/03/2017 14:12:53,J1619-42,4.2721296765691195,-0.7336200622549498,6.0,192,153.0,153.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2532675520087262
21/03/2017 14:12:53,21/03/2017 14:35:25,J1637-4450,4.354098337668512,-0.7823617753126594,4.0,1106,1348.0,1348.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:35:25,21/03/2017 14:37:24,J1635-4513,4.345535316025915,-0.7890488104162031,4.0,193,115.0,115.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6797488477277107
21/03/2017 14:37:24,21/03/2017 14:42:00,J1618-4723,4.267824531080867,-0.8269025778235545,3.0,402,273.0,273.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4701376172066776
