Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 18:36:44,1490117804000
Duration,  0 day, 5 hours, 36 minutes, 44 seconds,20204000
Slew time, 0 day, 0 hour, 16 minutes, 44 seconds,1004000.0
Integration time, 0 day, 5 hours, 20 minutes, 0 second,1.92E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04969313007325282
Relative integration time, 0.9503068699267472
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:15,B0940+16,2.5460063185519446,0.2884495958497406,49.0,542,746.0,746.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:13:15,21/03/2017 13:45:51,B0559-05,1.579448949277968,-0.09487532243652198,75.0,751,1881.0,1881.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:45:51,21/03/2017 13:49:22,B0833-45,2.2486103217937075,-0.7881379662280048,48.0,261,163.0,163.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6033467326337085
21/03/2017 13:49:22,21/03/2017 14:01:41,B0953-52,2.5983225628804747,-0.9261070925069123,35.0,592,704.0,704.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:01:41,21/03/2017 14:07:01,J1548-4821,4.138121842159952,-0.8436257409397468,68.0,432,252.0,252.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.711917967914987
21/03/2017 14:07:01,21/03/2017 14:21:36,J1638-42,4.356850867343011,-0.7423661010621658,9.0,890,866.0,866.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:21:36,21/03/2017 14:23:26,J1709-3626,4.493142901410727,-0.6358641708507474,5.0,153,105.0,105.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4504900459817431
21/03/2017 14:23:26,21/03/2017 14:26:40,J1715-3247,4.517745498879152,-0.5720316623411414,3.0,367,191.0,191.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9212419279056294
21/03/2017 14:26:40,21/03/2017 14:27:42,J1737-3102,4.61448546321459,-0.5416314204671681,4.0,182,58.0,58.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 3.1136793976797836
21/03/2017 14:27:42,21/03/2017 15:02:31,J1747-2802,4.657596550179893,-0.4890945859137332,3.0,606,2086.0,2086.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:31,21/03/2017 15:39:02,B1813-26,4.784776656555258,-0.467782176492158,1.0,3388,incomplete,2190.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU-3 M2
21/03/2017 15:39:02,21/03/2017 15:43:26,J1759-2307,4.710276041158995,-0.4033795270935672,9.0,510,255.0,255.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0006374718675586
21/03/2017 15:43:26,21/03/2017 15:50:27,J1812-2102,4.766270930496362,-0.3669263864109412,2.0,739,419.0,419.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7630719534294834
21/03/2017 15:50:27,21/03/2017 15:51:57,J1811-1736,4.7643877202334615,-0.3069951735932237,3.0,167,87.0,87.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.912363046112758
21/03/2017 15:51:57,21/03/2017 15:57:05,J1744-1610,4.643778196715436,-0.2819879991079128,5.0,298,303.0,303.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:57:05,21/03/2017 16:02:17,J1813-1246,4.770840784254502,-0.2222424699300602,6.0,211,306.0,306.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:02:17,21/03/2017 16:06:06,J1658-47,4.443608275577563,-0.8237954069413236,30.0,284,199.0,199.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4272823326335398
21/03/2017 16:06:06,21/03/2017 16:19:20,J1546-5302,4.128241824152621,-0.9254947728276709,11.0,262,783.0,783.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:19:20,21/03/2017 16:22:48,J1528-5547,4.052013114630726,-0.973491327257515,7.0,326,201.0,201.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.620472395518016
21/03/2017 16:22:48,21/03/2017 16:29:01,B1821-11,4.819256799481241,-0.19701567484720658,50.0,261,323.0,323.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:29:01,21/03/2017 16:33:17,J1739+0612,4.622065719044209,0.10834810070908354,22.0,288,234.0,234.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:33:17,21/03/2017 16:50:29,B1323-62,3.5224671296062557,-1.0882874499253554,108.0,768,924.0,924.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:50:29,21/03/2017 16:54:17,J1322-62,3.503312141065618,-1.096939434878436,4.0,532,224.0,224.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3700842301683775
21/03/2017 16:54:17,21/03/2017 16:56:01,J1035-6345,2.7709341714616706,-1.1125581439476928,24.0,135,80.0,80.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.688782969001613
21/03/2017 16:56:01,21/03/2017 16:59:17,J1748-2446ag,4.660378168675259,-0.432041711920763,111.0,124,85.0,85.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4538700482752367
21/03/2017 16:59:17,21/03/2017 17:01:23,J1839-0627,4.884046475641462,-0.11240890010205702,18.0,196,108.0,108.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8128834423225542
21/03/2017 17:01:23,21/03/2017 17:04:40,J1839-0436,4.882563236665475,-0.08000637772510116,1.0,196,196.0,196.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:04:40,21/03/2017 17:17:20,J1843-0000,4.902045328996756,1.982887955738002E-4,3.0,892,757.0,757.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:17:20,21/03/2017 17:23:52,J1853+0011,4.945824440733261,0.0033437599586124698,0.0,475,392.0,392.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:23:52,21/03/2017 17:29:47,J1811-0154,4.761831249211602,-0.033011448360429414,11.0,257,344.0,344.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:29:47,21/03/2017 17:36:43,J1838+1650,4.881326816334542,0.2938749033481968,15.0,473,401.0,401.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1807108842245333
21/03/2017 17:36:43,21/03/2017 17:41:21,J1909+1859,5.014811197412215,0.33137373865960806,5.0,280,273.0,273.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0246555877682653
21/03/2017 17:41:21,21/03/2017 17:49:29,J1911+1758,5.026212997083182,0.31379948512622785,0.0,549,488.0,488.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1257856112723212
21/03/2017 17:49:29,21/03/2017 18:02:13,J2241-5236,5.941538451459661,-0.9178675579448986,83.0,1039,681.0,681.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:02:13,21/03/2017 18:26:55,B0538-75,1.4683156836614413,-1.3212302426111842,42.0,1410,1440.0,1440.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:26:55,21/03/2017 18:30:14,B2043-04,5.436712037324527,-0.07579577090466484,100.0,153,99.0,99.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:30:14,21/03/2017 18:36:44,B1935+25,5.135723382839153,0.4491977166914499,34.0,234,356.0,356.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
