Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 16:34:13,1490283253000
Duration,  2 days, 3 hours, 34 minutes, 13 seconds,185653000
Slew time, 0 day, 0 hour, 39 minutes, 38 seconds,2378000.0
Integration time, 1 day, 9 hours, 10 minutes, 35 seconds,1.19435E8
Waiting time, 0 day, 17 hours, 44 minutes, 0 second,6.384E7
Relative slew time, 0.012808842302575235
Relative integration time, 0.6433238353271964
Relative waiting time, 0.3438673223702283
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:52,B0919+06,2.453207307667511,0.1158864686366557,40.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:01:52,21/03/2017 13:05:18,B0626+24,1.6977492494792945,0.42345226793254537,36.0,170,170.0,170.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:18,21/03/2017 13:21:09,J0633+0632,1.7180010320107069,0.11419737777167009,13.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:21:09,21/03/2017 13:29:57,J0721-2038,1.9273456181553335,-0.3600853696341402,22.0,364,506.0,506.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:29:57,21/03/2017 13:42:36,J0923-31,2.4607688012076716,-0.5576326960121882,27.0,640,732.0,732.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:42:36,21/03/2017 13:46:03,B0833-45,2.2486103217937075,-0.7881379662280048,38.0,261,169.0,169.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5434633861662266
21/03/2017 13:46:03,21/03/2017 14:12:18,B0840-48,2.2780451912727337,-0.8524924983535592,8.0,1396,1567.0,1567.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:18,21/03/2017 14:19:04,J0922-52,2.4521875990520328,-0.9075712110370514,8.0,382,398.0,398.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:19:04,21/03/2017 14:34:46,B0953-52,2.5983225628804747,-0.9261070925069123,8.0,592,934.0,934.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:34:46,21/03/2017 14:40:51,J0955-61,2.596177262341565,-1.0786134777324956,8.0,311,357.0,357.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
