Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:35:39,1490196939000
Duration,  1 day, 3 hours, 35 minutes, 39 seconds,99339000
Slew time, 0 day, 0 hour, 30 minutes, 32 seconds,1832000.0
Integration time, 0 day, 17 hours, 14 minutes, 7 seconds,6.2047E7
Waiting time, 0 day, 9 hours, 51 minutes, 0 second,3.546E7
Relative slew time, 0.018441900965381168
Relative integration time, 0.6245985967243479
Relative waiting time, 0.3569595023102709
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:25,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,395,282.0,282.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4011487557874278
21/03/2017 13:05:25,21/03/2017 13:09:56,J0628+0909,1.6956006764480376,0.1597650156591554,34.0,322,237.0,237.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:09:56,21/03/2017 13:22:52,B0559-05,1.579448949277968,-0.09487532243652198,18.0,751,758.0,758.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:52,21/03/2017 13:28:32,J0806-4123,2.122276737193805,-0.7218347264808581,40.0,135,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:28:32,21/03/2017 13:31:19,B0833-45,2.2486103217937075,-0.7881379662280048,11.0,261,156.0,156.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.675778251334496
21/03/2017 13:31:19,21/03/2017 14:01:42,B0840-48,2.2780451912727337,-0.8524924983535592,8.0,1396,1815.0,1815.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:01:42,21/03/2017 14:06:43,J0922-52,2.4521875990520328,-0.9075712110370514,8.0,382,293.0,293.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:06:43,21/03/2017 14:15:16,B0940-55,2.540605251737544,-0.9748037178922785,9.0,370,504.0,504.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:15:16,21/03/2017 14:19:52,J0919-6040,2.441124393255954,-1.0585887334479473,6.0,82,270.0,270.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:19:52,21/03/2017 14:34:53,J1012-5830,2.6743461962152613,-1.020893500114319,7.0,598,894.0,894.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:34:53,21/03/2017 14:47:53,J1028-5819,2.742203143091757,-1.0177926318099422,0.0,370,incomplete,780.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2425 (716)
21/03/2017 14:47:53,21/03/2017 14:49:59,J1035-6345,2.7709341714616706,-1.1125581439476928,5.0,135,121.0,121.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1111230396758902
21/03/2017 14:49:59,21/03/2017 14:54:33,J1055-6905,2.861228053093076,-1.2056763561597694,6.0,367,268.0,268.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:54:33,21/03/2017 14:58:11,J1056-7117,2.865683733229313,-1.2438700070463995,2.0,543,216.0,216.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.516996998920071
21/03/2017 14:58:11,21/03/2017 15:00:16,J1148-6415,3.0919816696018545,-1.1212140558915904,7.0,178,118.0,118.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5028774950649126
21/03/2017 15:00:16,21/03/2017 15:02:28,J1211-6324,3.1913476272410213,-1.1063196099805435,4.0,128,128.0,128.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:02:28,21/03/2017 15:07:36,J1233-6344,3.2884839267607657,-1.1120898624131093,4.0,298,304.0,304.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:07:36,21/03/2017 15:11:30,B1240-64,3.3304633131502555,-1.123585522012738,0.0,234,234.0,234.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:11:30,21/03/2017 15:18:43,J1309-6415,3.4438691356247775,-1.1210880043345022,4.0,549,429.0,429.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:18:43,21/03/2017 15:33:07,J1305-6203,3.4267285479291503,-1.0828720811073618,2.0,768,862.0,862.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:33:07,21/03/2017 16:01:27,J1319-6105,3.4882092252716936,-1.065978263575419,0.0,5293,incomplete,1700.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 16:01:27,21/03/2017 16:02:51,J1329-6158,3.5301683949306804,-1.0812363197472983,4.0,415,incomplete,80.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 16:02:51,21/03/2017 17:01:53,J1319-6105,3.4882092252716936,-1.065978263575419,2.0,5293,incomplete,3540.0,0,60,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0206 (PRN E30)
21/03/2017 17:01:53,21/03/2017 17:03:56,J1435-5954,3.8179339186763754,-1.0452136936134975,4.0,189,119.0,119.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:03:56,21/03/2017 17:08:49,B1449-64,3.898828256899113,-1.1207166855361403,4.0,545,289.0,289.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.885012306990403
21/03/2017 17:08:49,21/03/2017 17:36:26,J1539-6322,4.098956653745199,-1.1056990484687232,7.0,1643,incomplete,1650.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0206 (PRN E30)
21/03/2017 17:36:26,21/03/2017 17:41:04,J1549-5722,4.1442770366553185,-1.0012275179537915,5.0,273,273.0,273.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:41:04,21/03/2017 17:43:37,J1558-5756,4.18228376277906,-1.0110008769512786,0.0,127,153.0,153.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:43:37,21/03/2017 17:54:39,J1541-5535,4.109494079104115,-0.9701073277633705,3.0,659,659.0,659.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:54:39,21/03/2017 17:57:23,J1543-5149,4.11782437563537,-0.9041063203802138,3.0,186,161.0,161.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.155749305916912
21/03/2017 17:57:23,21/03/2017 18:01:39,J1548-4821,4.138121842159952,-0.8436257409397468,6.0,432,250.0,250.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7264917752355036
21/03/2017 18:01:39,21/03/2017 18:10:57,B1600-49,4.20791603178411,-0.8575464870536535,2.0,792,556.0,556.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:10:57,21/03/2017 18:13:35,J1622-4944,4.28751039060232,-0.8678649705541804,1.0,216,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
