Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:11:43,1490148703000
Duration,  0 day, 14 hours, 11 minutes, 43 seconds,51103000
Slew time, 0 day, 0 hour, 14 minutes, 1 second,841000.0
Integration time, 0 day, 9 hours, 10 minutes, 42 seconds,3.3042E7
Waiting time, 0 day, 4 hours, 47 minutes, 0 second,1.722E7
Relative slew time, 0.016456959474003482
Relative integration time, 0.6465765219263057
Relative waiting time, 0.33696651859969085
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:16:20,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,938.0,938.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:16:20,21/03/2017 13:23:26,J0628+0909,1.6956006764480376,0.1597650156591554,59.0,322,367.0,367.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:23:26,21/03/2017 13:26:31,J0838-2621,2.261568628635438,-0.459750995457738,45.0,179,140.0,140.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:31,21/03/2017 13:30:26,J0702-4956,1.8441803375041583,-0.8713352668835623,51.0,311,184.0,184.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6934181641171338
21/03/2017 13:30:26,21/03/2017 13:33:56,J0532-6639,1.4529509684797177,-1.163081110951167,21.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:33:56,21/03/2017 14:00:48,J0542-68,1.494801782280977,-1.1914781026947956,2.0,1410,1610.0,1610.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:00:48,21/03/2017 14:05:17,J0456-7031,1.2917254516062198,-1.2307160131617148,6.0,374,263.0,263.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:05:17,21/03/2017 14:08:39,B0021-72I,0.10529665915949607,-1.2576082935314208,16.0,253,186.0,186.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:08:39,21/03/2017 14:27:00,B0021-72M,0.10431888935150277,-1.257942465905536,0.0,1181,1101.0,1101.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.072717588441012
21/03/2017 14:27:00,21/03/2017 14:31:06,B2048-72,5.470671999411363,-1.2564324700624891,17.0,346,229.0,229.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:31:06,21/03/2017 14:56:01,J1539-6322,4.098956653745199,-1.1056990484687232,22.0,1643,1473.0,1473.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:56:01,21/03/2017 15:05:13,B1449-64,3.898828256899113,-1.1207166855361403,7.0,545,545.0,545.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:05:13,21/03/2017 15:07:04,J1435-5954,3.8179339186763754,-1.0452136936134975,4.0,189,107.0,107.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:07:04,21/03/2017 15:09:57,J1418-5945,3.746080167812813,-1.0428342280666119,2.0,322,171.0,171.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.880232074368396
21/03/2017 15:09:57,21/03/2017 15:14:26,J1425-5723,3.776933225664942,-1.0013787798222977,4.0,367,265.0,265.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:14:26,21/03/2017 15:19:07,J1502-5653,3.9398909090989926,-0.9926113607317447,3.0,327,278.0,278.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:19:07,21/03/2017 16:15:33,J1525-5605,4.039088224299186,-0.9787757963816089,2.0,2800,3384.0,3384.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:15:33,21/03/2017 16:26:37,J1541-5535,4.109494079104115,-0.9701073277633705,5.0,659,659.0,659.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:26:37,21/03/2017 16:30:58,J1614-5144,4.253200126390199,-0.9026794409946561,7.0,477,254.0,254.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:30:58,21/03/2017 16:44:11,J1634-49,4.339324852770901,-0.870337520327839,3.0,647,790.0,790.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:44:11,21/03/2017 16:48:59,J1658-47,4.443608275577563,-0.8237954069413236,4.0,284,284.0,284.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:48:59,21/03/2017 17:14:46,J1638-44,4.355905480664847,-0.7795803992241338,4.0,1410,1543.0,1543.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:14:46,21/03/2017 17:21:02,J1702-4310,4.461275370930876,-0.753206534971775,2.0,562,374.0,374.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5008660927923825
21/03/2017 17:21:02,21/03/2017 17:39:51,J1714-3810,4.512093540984777,-0.6659841904170395,8.0,881,1121.0,1121.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:39:51,21/03/2017 18:30:10,J1743-35,4.638648819487928,-0.6201736608753184,3.0,1874,3016.0,3016.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:30:10,21/03/2017 18:34:34,J1759-3107,4.7096296148372865,-0.5429840506374637,9.0,186,255.0,255.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:34:34,21/03/2017 18:36:12,J1803-30,4.7279587717535225,-0.5241708557420082,1.0,234,97.0,97.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4141572469770924
21/03/2017 18:36:12,21/03/2017 18:37:24,J1758-2846,4.704782980948603,-0.5020633518834133,3.0,89,69.0,69.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.289472028156403
21/03/2017 18:37:24,21/03/2017 18:45:56,J1807-2459A,4.744412543590557,-0.43578495108040455,5.0,507,507.0,507.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:45:56,21/03/2017 18:48:22,B1814-23,4.786565473594449,-0.4046254982540187,2.0,216,144.0,144.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5043828615885808
21/03/2017 18:48:22,21/03/2017 18:49:52,J1824-2452G,4.8194947460359305,-0.43395090819697235,3.0,133,87.0,87.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.531587730067955
21/03/2017 18:49:52,21/03/2017 18:57:14,J1750-2438,4.673103582417705,-0.429651580472893,7.0,769,795.0,435.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:57:14,21/03/2017 19:03:47,J1748-2446aa,4.660378168675259,-0.432041711920763,2.0,547,391.0,391.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.399525036979753
21/03/2017 19:03:47,21/03/2017 20:19:29,J1814-1744,4.776609824652865,-0.3092723434533952,7.0,6023,4535.0,4535.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
