Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:11:34,1490148694000
Duration,  0 day, 14 hours, 11 minutes, 34 seconds,51094000
Slew time, 0 day, 0 hour, 16 minutes, 40 seconds,1000000.0
Integration time, 0 day, 11 hours, 28 minutes, 54 seconds,4.1334E7
Waiting time, 0 day, 2 hours, 26 minutes, 0 second,8760000.0
Relative slew time, 0.019571769679414413
Relative integration time, 0.8089795279289154
Relative waiting time, 0.17144870239167026
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:16:53,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,971.0,971.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:16:53,21/03/2017 13:20:44,J0628+0909,1.6956006764480376,0.1597650156591554,59.0,322,172.0,172.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:20:44,21/03/2017 13:23:55,J0806-4123,2.122276737193805,-0.7218347264808581,56.0,135,135.0,135.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:23:55,21/03/2017 13:47:12,B0840-48,2.2780451912727337,-0.8524924983535592,21.0,1396,1376.0,1376.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:47:12,21/03/2017 14:17:46,J1012-4235,2.670862809916489,-0.7432193731409187,14.0,2072,incomplete,1820.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0208 (PRN E08)
21/03/2017 14:17:46,21/03/2017 14:29:31,B0953-52,2.5983225628804747,-0.9261070925069123,13.0,592,692.0,692.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:29:31,21/03/2017 15:17:39,J1022-5813,2.716030476517059,-1.0159270687650328,10.0,2414,2878.0,2878.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:17:39,21/03/2017 15:23:38,B1112-60,2.942517490225233,-1.0644850374376016,3.0,318,356.0,356.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:23:38,21/03/2017 15:54:51,J1143-5536,3.0681281092707438,-0.9703812474931973,6.0,1211,1867.0,1867.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:54:51,21/03/2017 15:58:45,J1215-5328,3.207087588211923,-0.9330161722764042,2.0,376,232.0,232.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6187208315780928
21/03/2017 15:58:45,21/03/2017 16:31:15,J1216-50,3.212860264712895,-0.8805137594943283,4.0,1410,1946.0,1946.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:31:15,21/03/2017 16:44:30,J1305-6203,3.4267285479291503,-1.0828720811073618,12.0,768,783.0,783.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:44:30,21/03/2017 16:49:12,J1418-5945,3.746080167812813,-1.0428342280666119,15.0,322,267.0,267.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2075382538133588
21/03/2017 16:49:12,21/03/2017 16:50:10,J1454-5846,3.901604130352358,-1.025503399482517,8.0,50,50.0,50.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.0096323507818723
21/03/2017 16:50:10,21/03/2017 16:54:48,J1431-4715,3.803699136924599,-0.8245343890428916,11.0,189,267.0,267.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:54:48,21/03/2017 17:06:40,J1542-5034,4.113557132880706,-0.8825480377002638,11.0,842,701.0,701.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2004348819703243
21/03/2017 17:06:40,21/03/2017 17:10:59,J1618-4723,4.267824531080867,-0.8269025778235545,9.0,402,250.0,250.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.607857024554323
21/03/2017 17:10:59,21/03/2017 17:30:57,J1637-4450,4.354098337668512,-0.7823617753126594,5.0,1106,1193.0,1193.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:30:57,21/03/2017 17:35:39,J1659-4316,4.450326338756698,-0.7551167008753467,2.0,318,280.0,280.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:35:39,21/03/2017 17:48:12,J1702-3932,4.460360527514622,-0.6897929054826477,6.0,288,747.0,747.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:48:12,21/03/2017 20:34:56,B1727-33,4.5838570437816015,-0.5903120470010577,9.0,6023,9995.0,9995.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 20:34:56,21/03/2017 20:43:23,B1943-29,5.178663434809965,-0.5096986825472073,11.0,326,496.0,496.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:43:23,21/03/2017 20:48:37,J1909-3744,5.016907823256286,-0.6585007676844632,18.0,543,296.0,296.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8323257514172
21/03/2017 20:48:37,21/03/2017 21:07:33,J2241-5236,5.941538451459661,-0.9178675579448986,36.0,1039,1100.0,1100.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:07:33,21/03/2017 21:20:14,B1941-17,5.166554922236046,-0.31119705376740003,70.0,640,691.0,691.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:20:14,21/03/2017 21:25:26,J2033-1938,5.384006220962541,-0.3423802697363654,12.0,364,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 21:25:26,21/03/2017 21:37:34,J1911-1114,5.025769588914508,-0.19595039374570458,42.0,768,686.0,686.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:37:34,21/03/2017 21:51:08,J1918-0642,5.05622126147214,-0.11676791954099563,6.0,892,808.0,808.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:51:08,21/03/2017 21:54:16,J1916+0844,5.045389147741,0.15245935829851576,14.0,196,174.0,174.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:54:16,21/03/2017 22:06:40,B1914+09,5.046353696679909,0.1720408859157937,1.0,475,743.0,743.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:06:40,21/03/2017 22:10:57,B1929+10,5.114829159154492,0.19185250610612622,1.0,318,256.0,256.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2402378473792652
21/03/2017 22:10:57,21/03/2017 22:11:51,J1931+1440,5.1094513852134,0.255981623625835,3.0,123,51.0,51.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3990544958328313
21/03/2017 22:11:51,21/03/2017 22:14:46,B1924+16,5.090930678411758,0.2933742362597151,1.0,311,174.0,174.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7881296527246529
21/03/2017 22:14:46,21/03/2017 22:22:33,J1924+1631,5.082899109526393,0.28850680386411154,1.0,562,466.0,466.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:22:33,21/03/2017 22:31:36,J1925+19,5.085162219789812,0.3327761107135855,2.0,570,541.0,541.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:31:36,21/03/2017 22:37:22,J1934+19,5.122541354603357,0.33161255787892263,0.0,354,346.0,346.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.022175049566068
21/03/2017 22:37:22,21/03/2017 22:44:19,B1915+22,5.051580630540398,0.39060856510577985,6.0,475,411.0,411.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:44:19,21/03/2017 22:50:19,J1551-0658,4.150044986222899,-0.1215597583329995,73.0,287,287.0,287.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:50:19,21/03/2017 23:50:55,J1600-3053,4.192564730330353,-0.5387765209294614,26.0,3388,3610.0,3610.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 23:50:55,21/03/2017 23:52:25,J1712-392,4.505494741971195,-0.6931866012504145,11.0,139,379.0,79.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.7691154403114697
21/03/2017 23:52:25,21/03/2017 23:57:27,J1725-4043,4.56268481823592,-0.7105865642654359,2.0,2597,incomplete,300.0,0,5400,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 23:57:27,22/03/2017 00:10:41,B1826-17,4.842062362318582,-0.3115223637474246,43.0,751,1051.0,751.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:10:41,22/03/2017 00:34:52,J1900-09,4.975206476914169,-0.16519056556445222,15.0,1436,1736.0,1436.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:34:52,22/03/2017 00:38:10,J1821-1432,4.8069114311834165,-0.2533965970781589,20.0,189,778.0,178.0,0,180,3,0,1,0,Completed: Shortened interval; scintillation of 1.0641322256505896
22/03/2017 00:38:10,22/03/2017 00:44:04,J0244+14,0.719293817978163,0.2522000769131806,210.0,178,144.0,144.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2328655539249251
22/03/2017 00:44:04,22/03/2017 00:45:34,J2229+2643,5.889823465786239,0.4665739480767808,58.0,769,752.0,32.0,8760,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.5087048895210715Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
