Start time,  21/03/2017 13:00:00,1490097600000
End time,  24/03/2017 16:58:18,1490371098000
Duration,  3 days, 3 hours, 58 minutes, 18 seconds,273498000
Slew time, 0 day, 2 hours, 56 minutes, 47 seconds,1.0607E7
Integration time, 2 days, 13 hours, 18 minutes, 31 seconds,2.20711E8
Waiting time, 0 day, 11 hours, 43 minutes, 0 second,4.218E7
Relative slew time, 0.03878273332894573
Relative integration time, 0.8069931041543266
Relative waiting time, 0.15422416251672771
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:05,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,395,202.0,202.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9583405338546702
21/03/2017 13:04:05,21/03/2017 13:10:28,J0628+0909,1.6956006764480376,0.1597650156591554,34.0,322,349.0,349.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:10:28,21/03/2017 13:27:14,J0533+0402,1.4548642856722165,0.07039737056551017,14.0,659,992.0,992.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:27:14,21/03/2017 13:34:16,J0821-4300,2.1901966104620407,-0.750408801269649,48.0,422,374.0,374.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:16,21/03/2017 13:38:42,B0833-45,2.2486103217937075,-0.7881379662280048,5.0,261,261.0,261.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:38:42,21/03/2017 13:56:40,B1309-12,3.455217339143297,-0.21757662306306202,160.0,825,918.0,918.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:56:40,21/03/2017 14:16:09,J1142+0119,3.0630528372500483,0.022980168484592004,47.0,346,1122.0,1122.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:16:09,21/03/2017 14:24:44,J0943+41,2.543817384781735,0.7182029871956666,39.0,455,476.0,476.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:24:44,21/03/2017 14:30:40,J0647+0913,1.7770127956822,0.1611496435324042,53.0,276,303.0,303.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:30:40,21/03/2017 14:46:23,J0633+0632,1.7180010320107069,0.11419737777167009,5.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:46:23,21/03/2017 14:51:51,J0721-2038,1.9273456181553335,-0.3600853696341402,21.0,364,307.0,307.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:51:51,21/03/2017 14:56:32,J0749-4247,2.050011015904719,-0.7465057311596877,25.0,170,256.0,256.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:56:32,21/03/2017 15:01:13,J0702-4956,1.8441803375041583,-0.8713352668835623,11.0,311,270.0,270.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.152082146001924
21/03/2017 15:01:13,21/03/2017 15:10:33,B1232-55,3.2956906821304592,-0.9645852999355328,64.0,1150,496.0,496.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3177535056911642
21/03/2017 15:10:33,21/03/2017 15:17:49,B1620-09,4.290432071770159,-0.15916821001770953,79.0,769,357.0,357.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.153812752070951
21/03/2017 15:17:49,21/03/2017 15:32:11,J1400-1438,3.667397816250821,-0.2553300340384238,33.0,395,829.0,829.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:32:11,21/03/2017 15:39:48,B1310+18,3.459751631817926,0.31706814744563655,45.0,1116,412.0,412.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.7063952431327816
21/03/2017 15:39:48,21/03/2017 15:51:23,J1231-1411,3.2776783897399233,-0.24733434136546098,33.0,829,662.0,662.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:51:23,21/03/2017 15:57:55,B0940+16,2.5460063185519446,0.2884495958497406,48.0,542,344.0,344.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:57:55,21/03/2017 16:12:41,B0943+10,2.5574600417681577,0.1721815788460517,5.0,769,881.0,881.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:12:41,21/03/2017 16:24:00,J0923-31,2.4607688012076716,-0.5576326960121882,50.0,640,629.0,629.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:24:00,21/03/2017 16:40:02,B0950-38,2.5843381122488704,-0.6745203049003351,8.0,1045,954.0,954.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:40:02,21/03/2017 17:18:22,J1012-4235,2.670862809916489,-0.7432193731409187,5.0,2072,2295.0,2295.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:18:22,21/03/2017 17:49:18,J1216-50,3.212860264712895,-0.8805137594943283,19.0,1410,1837.0,1837.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:49:18,21/03/2017 17:53:53,J1215-5328,3.207087588211923,-0.9330161722764042,5.0,376,270.0,270.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3918342241834682
21/03/2017 17:53:53,21/03/2017 18:15:24,J1143-5536,3.0681281092707438,-0.9703812474931973,5.0,1211,1286.0,1286.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:15:24,21/03/2017 18:21:57,B0940-55,2.540605251737544,-0.9748037178922785,19.0,370,374.0,374.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:21:57,21/03/2017 18:29:44,B1709-15,4.5025901504856165,-0.26422491064574044,156.0,374,311.0,311.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2031272961011434
21/03/2017 18:29:44,21/03/2017 18:34:41,J0806-4123,2.122276737193805,-0.7218347264808581,162.0,135,135.0,135.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
