Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 20:50:59,1490212259000
Duration,  1 day, 7 hours, 50 minutes, 59 seconds,114659000
Slew time, 0 day, 1 hour, 9 minutes, 35 seconds,4175000.0
Integration time, 0 day, 20 hours, 23 minutes, 54 seconds,7.3434E7
Waiting time, 0 day, 10 hours, 17 minutes, 30 seconds,3.705E7
Relative slew time, 0.036412318265465426
Relative integration time, 0.6404556118577696
Relative waiting time, 0.323132069876765
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:18:33,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,1071.0,1071.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:18:33,21/03/2017 13:22:11,B0626+24,1.6977492494792945,0.42345226793254537,48.0,170,170.0,170.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:22:11,21/03/2017 13:33:03,J0628+0909,1.6956006764480376,0.1597650156591554,12.0,322,640.0,640.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:33:03,21/03/2017 13:48:44,J0633+0632,1.7180010320107069,0.11419737777167009,3.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:48:44,21/03/2017 13:59:15,J0533+0402,1.4548642856722165,0.07039737056551017,13.0,659,618.0,618.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:59:15,21/03/2017 14:02:04,B0559-05,1.579448949277968,-0.09487532243652198,9.0,751,incomplete,160.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 45 [+]
21/03/2017 14:02:04,21/03/2017 14:05:00,J0702-4956,1.8441803375041583,-0.8713352668835623,45.0,311,131.0,131.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.366968451980483
21/03/2017 14:05:00,21/03/2017 14:08:38,J1729-2117,4.577911943294944,-0.3713284946354158,117.0,101,101.0,101.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:08:38,21/03/2017 14:13:45,B1709-15,4.5025901504856165,-0.26422491064574044,7.0,374,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:13:45,21/03/2017 14:19:01,J1744-1610,4.643778196715436,-0.2819879991079128,4.0,298,312.0,312.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
