Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 20:40:26,1490125226000
Duration,  0 day, 7 hours, 40 minutes, 26 seconds,27626000
Slew time, 0 day, 0 hour, 32 minutes, 25 seconds,1945000.0
Integration time, 0 day, 7 hours, 8 minutes, 1 second,2.5681E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07040469123289654
Relative integration time, 0.9295953087671035
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:52,B0919+06,2.453207307667511,0.1158864686366557,40.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:01:52,21/03/2017 13:15:14,B0559-05,1.579448949277968,-0.09487532243652198,65.0,751,737.0,737.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:15:14,21/03/2017 13:23:06,J1012+5307,2.672785151988384,0.9270733295670593,283.0,189,189.0,189.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:23:06,21/03/2017 13:33:32,B0940+16,2.5460063185519446,0.2884495958497406,36.0,542,590.0,590.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:33:32,21/03/2017 13:37:05,B0833-45,2.2486103217937075,-0.7881379662280048,119.0,261,94.0,94.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.771355940337378
21/03/2017 13:37:05,21/03/2017 13:44:09,B0940-55,2.540605251737544,-0.9748037178922785,36.0,370,388.0,388.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:44:09,21/03/2017 13:50:20,J1737-3102,4.61448546321459,-0.5416314204671681,71.0,182,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:50:20,21/03/2017 13:56:25,J1731-3123,4.585891152302748,-0.5475340270346767,2.0,298,363.0,363.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:56:25,21/03/2017 14:02:45,J1740-3052,4.628758693115347,-0.5387041154606287,0.0,262,380.0,380.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:02:45,21/03/2017 14:09:49,J1618-4723,4.267824531080867,-0.8269025778235545,22.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:09:49,21/03/2017 14:20:52,J1747-2802,4.657596550179893,-0.4890945859137332,23.0,606,640.0,640.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:20:52,21/03/2017 14:29:01,J1738-2736,4.6174596497040925,-0.48158579162070875,3.0,769,486.0,486.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:29:01,21/03/2017 14:31:39,J1741-2054,4.633647723960444,-0.3642065816599167,6.0,257,152.0,152.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6938751569763073
21/03/2017 14:31:39,21/03/2017 14:38:36,J1748-2446W,4.660378168675259,-0.432041711920763,3.0,630,414.0,414.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.522370369304705
21/03/2017 14:38:36,21/03/2017 15:15:10,J1720-2446,4.539489392476914,-0.43212897838336267,6.0,5293,6238.0,2188.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:15:10,21/03/2017 15:17:39,J1822-1617,4.8110437163536695,-0.2840280950780217,9.0,486,incomplete,140.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 86 [+]
21/03/2017 15:17:39,21/03/2017 15:25:31,J1814-1744,4.776609824652865,-0.3092723434533952,2.0,6023,incomplete,470.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2419 (714)
21/03/2017 15:25:31,21/03/2017 15:26:23,J1821-1432,4.8069114311834165,-0.2533965970781589,2.0,189,incomplete,50.0,0,180,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 50 [+]
21/03/2017 15:26:23,21/03/2017 15:26:46,B1826-17,4.842062362318582,-0.3115223637474246,3.0,751,incomplete,20.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 50 [+]
21/03/2017 15:26:46,21/03/2017 15:53:49,J1814-1744,4.776609824652865,-0.3092723434533952,3.0,6023,incomplete,1620.0,0,1800,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
21/03/2017 15:53:49,21/03/2017 15:54:32,J1803-2149,4.726179408581115,-0.3807096393648853,9.0,82,34.0,34.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.389989647139439
21/03/2017 15:54:32,21/03/2017 16:01:15,J1843-0137,4.9009303544929415,-0.027991687506221278,18.0,405,385.0,385.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:01:15,21/03/2017 16:03:27,J1844-0302,4.904878289260954,-0.05288735484487706,1.0,192,131.0,131.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4663799391636223
21/03/2017 16:03:27,21/03/2017 16:29:36,B1842-04,4.911262630942696,-0.07955889469743707,1.0,1244,1568.0,1568.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:29:36,21/03/2017 16:33:00,B1839-04,4.8975740136193044,-0.06923236328980396,5.0,196,199.0,199.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:33:00,21/03/2017 16:35:06,J1839-0436,4.882563236665475,-0.08000637772510116,1.0,196,125.0,125.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5632078948393695
21/03/2017 16:35:06,21/03/2017 16:47:28,J1843-0000,4.902045328996756,1.982887955738002E-4,3.0,892,739.0,739.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:47:28,21/03/2017 16:53:44,J1853+0011,4.945824440733261,0.0033437599586124698,0.0,475,376.0,376.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:53:44,21/03/2017 16:54:12,J1853+03,4.943645106273938,0.05235987755982989,3.0,50,25.0,25.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0293922064841006
21/03/2017 16:54:12,21/03/2017 16:58:24,B1900+06,4.9865712610605835,0.10953594270917001,3.0,450,249.0,249.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8077063303217216
21/03/2017 16:58:24,21/03/2017 17:02:26,J1617-5055,4.265097454124627,-0.888599482067873,55.0,187,187.0,187.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:02:26,21/03/2017 17:06:44,J1614-5144,4.253200126390199,-0.9026794409946561,2.0,477,256.0,256.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:06:44,21/03/2017 17:12:38,J1541-5535,4.109494079104115,-0.9701073277633705,12.0,659,342.0,342.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.929684143972045
21/03/2017 17:12:38,21/03/2017 17:47:53,J1525-5605,4.039088224299186,-0.9787757963816089,5.0,2800,incomplete,2110.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 17:47:53,21/03/2017 17:51:02,J1526-5633,4.04343336691613,-0.9867752221199162,9.0,196,180.0,180.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0865071815675122
21/03/2017 17:51:02,21/03/2017 18:05:46,B1941-17,5.166554922236046,-0.31119705376740003,66.0,640,818.0,818.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:05:46,21/03/2017 18:10:52,J2033-1938,5.384006220962541,-0.3423802697363654,6.0,364,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:10:52,21/03/2017 18:15:50,J1658-47,4.443608275577563,-0.8237954069413236,48.0,284,250.0,250.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1371041536601665
21/03/2017 18:15:50,21/03/2017 18:50:12,J1305-6203,3.4267285479291503,-1.0828720811073618,72.0,768,1990.0,1990.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:50:12,21/03/2017 18:54:07,J0955-61,2.596177262341565,-1.0786134777324956,24.0,311,211.0,211.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:54:07,21/03/2017 19:04:19,B0021-72M,0.10431888935150277,-1.257942465905536,47.0,1181,565.0,565.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0902663006767344
21/03/2017 19:04:19,21/03/2017 19:07:28,B0021-72I,0.10529665915949607,-1.2576082935314208,0.0,253,189.0,189.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:07:28,21/03/2017 19:13:14,B2048-72,5.470671999411363,-1.2564324700624891,14.0,346,332.0,332.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:13:14,21/03/2017 19:16:38,J2033-1938,5.384006220962541,-0.3423802697363654,62.0,364,442.0,142.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 2.567391869840314
21/03/2017 19:16:38,21/03/2017 19:22:59,J1322-62,3.503312141065618,-1.096939434878436,112.0,532,269.0,269.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9770261116966372
21/03/2017 19:22:59,21/03/2017 19:28:41,J1329-6158,3.5301683949306804,-1.0812363197472983,1.0,415,341.0,341.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:28:41,21/03/2017 19:31:16,J1035-6345,2.7709341714616706,-1.1125581439476928,20.0,135,135.0,135.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:31:16,21/03/2017 19:33:35,J1101-6101,2.8874261723860326,-1.0647497457074873,3.0,245,136.0,136.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:33:35,21/03/2017 19:39:54,B1112-60,2.942517490225233,-1.0644850374376016,1.0,318,378.0,378.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:39:54,21/03/2017 19:46:23,B1659-60,4.469119171477547,-1.0515899631474501,43.0,346,346.0,346.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:46:23,21/03/2017 19:49:38,J1549-5722,4.1442770366553185,-1.0012275179537915,23.0,273,172.0,172.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5868184033276667
21/03/2017 19:49:38,21/03/2017 19:53:01,J2043+2740,5.426774059841619,0.4831459220465192,143.0,85,incomplete,60.0,0,5400,2,0,2,2,Aborted: Normal scintillation; interrupted by satellite DUMMY MASS 2 [-]
21/03/2017 19:53:01,21/03/2017 20:22:58,J1539-6322,4.098956653745199,-1.1056990484687232,142.0,1643,1655.0,1655.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:22:58,21/03/2017 20:27:07,J0855-4644,2.337008958389797,-0.8155855720654147,53.0,196,496.0,196.0,0,180,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:27:07,21/03/2017 20:34:49,J2007+0910,5.27075639456212,0.16005120117511434,162.0,570,incomplete,300.0,0,5400,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:34:49,21/03/2017 20:40:26,B1811+40,4.770078002649328,0.7021024702901233,42.0,273,295.0,295.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
